"id","name","tags"
"amulet of infectious charm","Amulet of Infectious Charm",""
"bm_amulspd1","Hunter's Amulet of Speed",""
"bm_amulstr1","Hunter's Amulet of Strength",""
"bm_black_glove_l_s","Deceit",""
"bm_black_glove_r_s","Treachery",""
"BM_Nordic01_gloveL","Left Glove",""
"BM_Nordic01_gloveR","Right Glove",""
"BM_Nordic01_pants","Common Pants",""
"BM_Nordic01_Robe","Common Robe",""
"BM_Nordic01_Robe_whitewalk","Whitewalker",""
"BM_Nordic01_shirt","Common Shirt",""
"BM_Nordic01_shoes","Common Shoes",""
"BM_Nordic02_gloveL","Left Glove",""
"BM_Nordic02_gloveR","Right Glove",""
"BM_Nordic02_pants","Common Pants",""
"BM_Nordic02_shirt","Common Shirt",""
"BM_Nordic02_shoes","Common Shoes",""
"BM_ring_Aesliip","Aesliip's Ring",""
"BM_ring_hircine","Hircine's Ring",""
"bm_ring_marksman","Ring of Raven Eye",""
"bm_ring_view","BlueDev's Ring of Viewing",""
"BM_Wool01_gloveL","Left Glove",""
"BM_Wool01_gloveR","Right Glove",""
"BM_Wool01_pants","Common Pants",""
"BM_Wool01_Robe","Common Robe",""
"BM_Wool01_shirt","Common Shirt",""
"BM_Wool01_shoes","Common Shoes",""
"BM_Wool02_gloveL","Left Glove",""
"BM_Wool02_gloveR","Right Glove",""
"BM_Wool02_pants","Common Pants",""
"BM_Wool02_shirt","Common Shirt",""
"BM_Wool02_shoes","Common Shoes",""
"common_ring_05_BM_UNI","Common Ring",""
"common_robe_unique","Glenmoril Witch Robe",""
"expensive_ring_erna","Erna the Quiet's Ring",""
"extravagant_robe_01","Extravagant Robe",""
"glenmoril_ring_BM","",""
"hroldar_ring","",""
"mantle of woe","Mantle of Woe",""
"ritual_ring","",""
"ulfgar_ring","",""
"WerewolfRobe","",""
