"id","name","tags"
"barrel_01","Barrel",""
"barrel_01_arrows","Barrel",""
"barrel_01_cheapfood5","Wooden Barrel",""
"barrel_01_cheapfood_co","Wooden Barrel",""
"barrel_01_drinks","Barrel",""
"barrel_01_drinks_nord","Barrel",""
"barrel_01_empty_co1","Barrel",""
"barrel_01_pos","Barrel",""
"barrel_01_random_pos","Barrel",""
"barrel_02","Barrel",""
"barrel_02_CheapFood_co","Wooden Barrel",""
"barrel_02_pants","Wooden Barrel",""
"bm_chest_eddard_01","Chest",""
"bm_chest_eddard_02","Chest",""
"bm_chest_eddard_03","Chest",""
"bm_chest_mirisa","Chest",""
"BM_chest_piratetreasure","Pirate's Chest",""
"bm_chest_skaal_potions","Wooden Chest",""
"BM_com_chest_clothes_01","Chest",""
"BM_contain_corpse_01","Corpse",""
"bm_corpseloot_01","Corpse",""
"bm_corpseloot_02","Corpse",""
"BM_cupboard_clothes","Cupboard",""
"BM_drawers_clothing","Chest of Drawers",""
"bm_dungeonlloot_chest","Chest",""
"bm_dungeonloot_barrel","Barrel",""
"BM_greedyman","The Greedy Man's Bag",""
"bm_karstaag_barrel","Barrel",""
"bm_karstaag_crate","Crate",""
"bm_nordictomb_01","Chest",""
"bm_nordictomb_02","Chest",""
"bm_scroll_chest","Leather-Sealed Chest",""
"bm_urn_01","Urn",""
"bm_urn_ingred","Urn",""
"BM_WindBag","Bag of Winds",""
"chest_01_v_potion_al_01","Wooden Chest",""
"chest_01_v_potion_h_03","Wooden Chest",""
"chest_01_v_potion_p_01","Wooden Chest",""
"chest_01_v_potion_p_03","Wooden Chest",""
"chest_ClawFang_UNIQUE","Chest",""
"chest_small_01_goldr500","Small Chest",""
"chest_small_01_gold_50","Small Chest",""
"chest_small_01_gold_ran","Small Chest",""
"chest_small_01_ingred10","Small Chest",""
"chest_small_01_ironarw","Small Chest",""
"chest_small_02_gold_05","Small Chest",""
"chest_small_02_gold_50","Small Chest",""
"com_basket_01_bones","Basket",""
"com_basket_01_food","Basket",""
"Com_Basket_01_POS","Basket",""
"com_chest_01_hircine","Chest",""
"com_chest_01_hircine2","Chest",""
"com_chest_01_imp_arms","Chest",""
"com_chest_01_pos","Chest",""
"com_chest_02_books","Chest",""
"com_chest_02_lev_gold","Chest",""
"com_chest_02_maryn","Chest",""
"com_chest_02_misc01","Large Chest",""
"com_chest_02_misc06","Ancient Wooden Chest",""
"com_chest_02_pos","Chest",""
"com_chest_02_v_armor04","Chest",""
"com_chest_02_v_armor09","Chest",""
"com_chest_02_v_trader03","Chest",""
"com_chest_02_v_weapon05","Wooden Chest",""
"com_chest_02_v_weapon08","Chest",""
"Com_Chest_11_empty","Wooden Chest",""
"Com_Chest_11_k01","Worn Chest",""
"com_chest_BM_armor_01","Chest",""
"com_chest_BM_armor_02","Chest",""
"com_chest_gustav","Gustav's Chest",""
"com_closet_01_mclothes","Closet",""
"com_cupboard_01_pos","Cupboard",""
"com_sack_01_chpfood5","Sack",""
"com_sack_01_colony","Cloth Sack",""
"com_sack_01_ingred","Sack",""
"com_sack_02_chpfood3","Cloth Sack",""
"com_sack_02_colony","Cloth Sack",""
"Com_Sack_02_Ingred","Sack",""
"com_sack_03","Sack",""
"com_sack_03_ingredients","Sack",""
"Contain_BM_belladonna_0","Dried Belladonna",""
"Contain_BM_fakerock","Hollowed-Out Ice Rock",""
"Contain_BM_fakerock_2","Hollowed-Out Icicle",""
"Contain_BM_hollowstump","Hollow Treestump",""
"Contain_BM_stalhrim_01","Stalhrim",""
"Contain_BM_wolfbane_01","Dried Wolfbane",""
"contain_corpse20","Corpse",""
"contain_corpse_angria","Angria's Corpse",""
"contain_corpse_fjalding","Corpse",""
"contain_corpse_legge","Settler's Corpse",""
"contain_corpse_thief1","Corpse",""
"contain_corpse_thief2","Corpse",""
"crate_01_de_mclothes","Crate",""
"crate_01_ebony","Crate",""
"crate_01_imp_weapons","Crate",""
"crate_01_iron_weapons","Crate",""
"crate_01_iron_weapons2","Crate",""
"crate_01_random_pos","Crate",""
"crate_01_random_pos_co","Crate",""
"crate_01_steel_armor","Crate",""
"crate_01_vivec_fg","Crate",""
"crate_02_food","Crate",""
"crate_02_mead_berserker","Case of Mead",""
"crate_02_mead_unique","Shipment of Mead",""
"de_drawers_02_fcommonde","Chest of Drawers",""
"de_p_chest_02_fclothes3","Chest",""
"de_p_closet_02_nuncius","Antonius Nuncius' Closet",""
"de_p_desk_nuncius","Antonius Nuncius' Desk",""
"Flora_BM_belladonna_01","Unripened Belladonna",""
"Flora_BM_belladonna_02","Unripened Belladonna",""
"Flora_BM_belladonna_03","Ripened Belladonna",""
"Flora_BM_holly_01","Holly Bush",""
"Flora_BM_holly_02","Holly Bush",""
"Flora_BM_holly_04","Holly Bush",""
"Flora_BM_holly_05","Holly Bush",""
"Flora_BM_holly_06","Holly Bush",""
"Flora_BM_wolfsbane_01","Wolfsbane",""
"rock_ebony_01","Raw Ebony",""
"rock_ebony_01_colony","Raw Ebony",""
"rock_ebony_02_colony","Raw Ebony",""
"rock_ebony_05_colony","Raw Ebony",""
"rock_ebony_06_colony","Raw Ebony",""
"rock_ebony_07","Raw Ebony",""
"rock_ebony_07_colony","Raw Ebony",""
"stolen_goods","Chest marked ""Evidence""",""
"test_crate_all_armor_bm","Chest of Bloodmoon Armor",""
"test_crate_all_cloth_bm","Chest of Bloodmoon Clothes",""
"test_crate_all_wpn_bm","Chest of Bloodmoon Weapons",""
"urn_01_ingred","Urn",""
"urn_02_food","Urn",""
"urn_03_food","Urn",""
"urn_05_food","Urn",""
"zzzzzz","Basket",""
