"id","name","tags"
"ingred_ash_yam_01","Ash Yam",""
"ingred_bear_pelt","Bear Pelt",""
"ingred_belladonna_01","Ripened Belladonna Berries",""
"ingred_belladonna_02","Unripened Belladonna Berries",""
"ingred_blood_innocent_unique","Blood of an Innocent",""
"ingred_boar_leather","Bristleback Leather",""
"ingred_bread_01","Bread",""
"ingred_emerald_01","Emerald",""
"ingred_emerald_pinetear","Pinetear",""
"ingred_eyeball","Grahl Eyeball",""
"ingred_eyeball_unique","Flaming Eye of the Lightkeeper",""
"ingred_gravetar_01","Gravetar",""
"ingred_heartwood_01","Heartwood",""
"ingred_holly_01","Holly Berries",""
"ingred_horker_tusk_01","Horker Tusk",""
"ingred_human_meat_01","Human Flesh",""
"ingred_innocent_heart","Heart of an Innocent",""
"ingred_moon_sugar_01","Moon Sugar",""
"ingred_raw_Stalhrim_01","Raw Stalhrim",""
"ingred_saltrice_01","Saltrice",""
"ingred_snowbear_pelt_unique","Snow Bear Pelt",""
"ingred_snowwolf_pelt_unique","Snow Wolf Pelt",""
"ingred_udyrfrykte_heart","Heart of the Udyrfrykte",""
"ingred_wolfsbane_01","Wolfsbane Petals",""
"ingred_wolf_heart","Heart of the Wolf",""
"ingred_wolf_pelt","Wolf Pelt",""
