"id","name","tags"
"BM_bearheart_UNIQUE","Heart of the Spirit Bear",""
"BM_Seeds_UNIQUE","Strange Seeds",""
"BM_waterlife_UNIQUE1","Waters of Life",""
"key_erich","Erich the Unworthy's Key",""
"key_gustav_chest","Key to Gustav's chest",""
"key_gyldenhul","Key to Gyldenhul",""
"key_hircine1","A Glowing Key",""
"key_hircine2","A Glowing Key",""
"key_hircine3","A Glowing Key",""
"key_Lassnr_well","Lassnr's Well Key",""
"key_maryn","Maren House Key",""
"key_nuncius","Nuncius' key",""
"key_nuncius2","Nuncius' key",""
"key_pirate","Pirate Captain's Key",""
"misc_argonianhead_01","The Head Of Scourge",""
"misc_beaker_01","Beaker",""
"Misc_BM_ClawFang_UNIQUE","Totem of Claw and Fang",""
"misc_com_basket_02","Basket",""
"misc_com_bottle_01","Bottle",""
"misc_com_bottle_02","Bottle",""
"misc_com_bottle_03","Jug",""
"Misc_Com_Bottle_04","Bottle",""
"misc_com_bottle_05","Bottle",""
"misc_com_bottle_06","Bottle",""
"misc_com_bottle_07","Jug",""
"Misc_Com_Bottle_08","Bottle",""
"misc_com_bottle_09","Bottle",""
"misc_com_bottle_10","Bottle",""
"misc_com_bottle_11","Bottle",""
"misc_com_bottle_12","Jug",""
"Misc_Com_Bottle_14","Bottle",""
"misc_com_bottle_15","Bottle",""
"misc_com_broom_01","Broom",""
"misc_com_bucket_01","Bucket",""
"Misc_Com_Bucket_Metal","Metal Bucket",""
"misc_com_metal_goblet_01","Goblet",""
"misc_com_metal_plate_04","Plate",""
"misc_com_metal_plate_05","Plate",""
"Misc_Com_Pitcher_Metal_01","Pitcher",""
"misc_com_redware_flask","Flask",""
"misc_com_redware_pitcher","Pitcher",""
"misc_com_tankard_01","Tankard",""
"misc_com_wood_bowl_02","Bowl",""
"misc_com_wood_cup_01","Cup",""
"misc_com_wood_cup_02","Cup",""
"misc_com_wood_fork","Fork",""
"misc_com_wood_knife","Knife",""
"misc_com_wood_spoon_01","Spoon",""
"misc_de_basket_01","Basket",""
"misc_de_bellows10","Bellows",""
"misc_de_bowl_glass_peach_01","Peach Glass Bowl",""
"misc_de_bowl_glass_yellow_01","Yellow Glass Bowl",""
"misc_de_bowl_orange_green_01","Ceramic Bowl",""
"misc_de_bowl_redware_01","Redware Bowl",""
"misc_de_bowl_redware_02","Large Redware Bowl",""
"misc_de_drum_01","Drum",""
"misc_de_foldedcloth00","Folded Cloth",""
"misc_de_goblet_04","Goblet",""
"misc_de_pot_glass_peach_02","Peach Glass Pot",""
"misc_de_pot_mottled_01","Clay Pot",""
"misc_de_tankard_01","Tankard",""
"misc_flask_01","Flask",""
"misc_hook","Hook",""
"Misc_Imp_Silverware_Bowl","Silverware Bowl",""
"misc_imp_silverware_cup","Silverware Cup",""
"misc_imp_silverware_pitcher","Silverware Pitcher",""
"misc_imp_silverware_plate_01","Silverware Plate",""
"misc_imp_silverware_plate_02","Silverware Plate",""
"misc_imp_silverware_plate_03","Silverware Plate",""
"Misc_Quill","Quill Pen",""
"misc_skull00","Skull",""
"misc_skull_griss","Skull of Griss the Yellow",""
"misc_skull_griss_floor","Skull of Griss the Yellow",""
"misc_skull_oddfrid","Oddfrid White-Lip",""
"misc_skull_Skaal","Skull of a Skaal Warrior",""
"misc_uni_pillow_01","Pillow",""
