"id","name","tags"
"BM frostgore","Frostgore",""
"BM huntsman axe","Huntsman Axe",""
"BM huntsman crossbow","Huntsman Crossbow",""
"BM huntsman longsword","Huntsman Longsword",""
"BM Huntsman Spear","Huntsman Spear",""
"BM huntsman war axe","Huntsman War Axe",""
"BM Huntsmanbolt","Huntsman Bolt",""
"BM ice dagger","Stalhrim Dagger",""
"BM ice longsword","Stalhrim Longsword",""
"BM ice longsword_FG_Unique","Stalhrim Longsword of Flame",""
"BM ice mace","Stalhrim Mace",""
"BM ice war axe","Stalhrim War Axe",""
"BM nord leg","Severed Nord Leg",""
"BM Nordic Pick","Ancient Nordic Pick Axe",""
"BM nordic silver axe","Nordic Silver Axe",""
"BM nordic silver axe_ber","Berserker Silver Axe",""
"BM nordic silver axe_spurius","Nordic Axe of Paralysis",""
"BM nordic silver battleaxe","Nordic Silver Battleaxe",""
"BM nordic silver battleaxe_ber","Berserker Silver Battleaxe",""
"BM nordic silver claymore","Nordic Silver Claymore",""
"BM nordic silver claymore_ber","Berserker Silver Claymore",""
"BM nordic silver dagger","Nordic Silver Dagger",""
"BM nordic silver longsword","Nordic Silver Longsword",""
"BM nordic silver longsword_ber","Berserker Silver Longsword",""
"BM nordic silver longsword_cft","Clanbringer",""
"BM nordic silver mace","Nordic Silver Mace",""
"BM nordic silver shortsword","Nordic Silver Shortsword",""
"BM nordic_longsword_tracker","Nordic Silver Longsword",""
"bm reaver battle axe","Blood Axe",""
"BM riekling lance","Riekling Lance",""
"BM riekling sword","Riekling Blade",""
"BM riekling sword_rusted","Rusted Riekling Blade",""
"BM silver dagger wolfender","Wolfender Silver Dagger",""
"BM Winterwound Dagger","Winterwound Dagger",""
"BM_arrow_riekling_uni","Chitin Arrow",""
"BM_axe_Heartfang_Unique","Nordic Silver Battleaxe",""
"BM_dagger_wolfgiver","Wolfgiver Silver Dagger",""
"bm_ebonyarrow_s","Ebony Arrow of Slaying",""
"bm_ebonylongsword_s","Shadowsting",""
"bm_ebony_staff_necro","Staff of Carnal Channeling",""
"BM_hunterspear_unique","Spear of the Hunter",""
"BM_hunter_battleaxe_unique","Nordic Silver Battleaxe",""
"BM_ice_minion_lance","Riekling Lance",""
"BM_Mace_Aevar_UNI","Mace of Aevar Stone-Singer",""
"BM_nordic_silver_lgswd_bloodska","Bloodskal",""
"bm_saber_seasplitter","Seasplitter",""
"daedric dagger","Daedric Dagger",""
"daedric mace","Daedric Mace",""
"imperial shortsword severio","Severia's Imperial Shortsword",""
"Lucky_Break","Haakon's Lucky Break",""
"miner's pick","Miner's Pick",""
"nordic claymore_stormfang","Stormfang",""
"silver arrow","Silver Arrow",""
"silver arrow_thirsk_0","Silver Arrow",""
"silver arrow_thirsk_1","Silver Arrow",""
"silver arrow_thirsk_2","Silver Arrow",""
"silver arrow_thirsk_3","Silver Arrow",""
"silver arrow_thirsk_4","Silver Arrow",""
"silver arrow_thirsk_5","Silver Arrow",""
"silver arrow_thirsk_6","Silver Arrow",""
"silver arrow_thirsk_7","Silver Arrow",""
"silver arrow_thirsk_8","Silver Arrow",""
"silver arrow_thirsk_9","Silver Arrow",""
"silver axe of paralysis","Silver Axe of Paralysis",""
"silver bolt","Silver Bolt",""
"silver claymore","Silver Claymore",""
"silver dagger","Silver Dagger",""
"Silver Dagger_Hanin Cursed","Ancient Silver Dagger",""
"silver dart","Silver Dart",""
"silver flameaxe","Silver Flameaxe",""
"silver flameblade","Silver Flameblade",""
"silver flameskewer","Silver Flameskewer",""
"silver flameslayer","Silver Flameslayer",""
"silver flamesword","Silver Flamesword",""
"silver longsword","Silver Longsword",""
"silver shardaxe","Silver Shardaxe",""
"silver shardblade","Silver Shardblade",""
"silver shardskewer","Silver Flameskewer",""
"silver shardslayer","Silver Shardslayer",""
"silver shardsword","Silver Shardsword",""
"silver shortsword","Silver Shortsword",""
"silver sparkaxe","Silver Sparkaxe",""
"silver sparkblade","Silver Sparkblade",""
"silver sparkskewer","Silver Sparkskewer",""
"silver sparkslayer","Silver Sparkslayer",""
"silver sparksword","Silver Sparksword",""
"silver spear","Silver Spear",""
"silver staff of chastening","Silver Staff of Chastening",""
"silver staff of hunger","Silver Staff of Hunger",""
"silver staff of paralysis","Silver Staff of Paralysis",""
"silver staff of peace","Silver Staff of Peace",""
"silver staff of reckoning","Silver Staff of Reckoning",""
"silver staff of shaming","Silver Staff of Shaming",""
"silver staff of war","Silver Staff of War",""
"silver staff","Silver Staff",""
"silver sword of paralysis","Silver Sword of Paralysis",""
"silver throwing star","Silver Throwing Star",""
"silver viperaxe","Silver Viperaxe",""
"silver viperblade","Silver Viperblade",""
"silver viperskewer","Silver Viperskewer",""
"silver viperslayer","Silver Viperslayer",""
"silver vipersword","Silver Vipersword",""
"silver war axe","Silver War Axe",""
"silver_staff_dawn_uniq","Silver Staff",""
"solvistapp","Solvistapp",""
"steel arrow_Carnius","Poisoned Arrow",""
"steel longbow_carnius","Steel Longbow",""
"steel saber_elberoth","Elberoth's Saber",""
"steel spear snow prince","Spear of the Snow Prince",""
"warhammer_rammekald_unique","Rammekald",""
