"id","name","tags"
"active_6th_bell_01","Bell",""
"active_6th_bell_02","Bell",""
"active_6th_bell_03","Bell",""
"active_6th_bell_04","Bell",""
"active_6th_bell_05","Bell",""
"active_6th_bell_06","Bell",""
"active_akula_fire","fire shield",""
"active_akula_frost","frost shield",""
"active_akula_lightning","lightning shield",""
"active_akula_shield","akula shield",""
"active_bubbles00","Bubbles",""
"active_cauldron_balyn","Balyn's Cauldron",""
"active_chimney_smoke02","",""
"Active_Com_Bar_Door","Bar Door",""
"active_com_bed_01","Bed",""
"active_com_bed_02","Bed",""
"active_com_bed_03","Bed",""
"active_com_bed_04","Bed",""
"active_com_bed_05","Bed",""
"active_com_bed_06","Bed",""
"active_com_bed_07","Bed",""
"active_com_bookshelf_02","Bookshelf",""
"active_com_bunk_01","Bed",""
"active_com_bunk_02","Bed",""
"active_dae_azura","Statue of Azura",""
"active_dae_boethiah","Statue of Boethiah",""
"active_dae_boethiah_ruin","Ruined Statue of Boethiah",""
"active_DAE_B_Bo_Head","Ruined Shrine to Boethiah",""
"active_dae_malacath","Statue of Malacath",""
"active_dae_malacath_df","Statue of Malacath",""
"active_dae_mehrunes","Statue of Mehrunes Dagon",""
"active_dae_mehrunes_as","Statue of Mehrunes Dagon",""
"active_dae_mephala","Shrine to Mephala",""
"active_dae_molagbal","Statue of Molag Bal",""
"active_dae_molagbal2","Statue of Molag Bal",""
"active_dae_sheogorath","Statue of Sheogorath",""
"active_dae_sheogorath_ad","Statue of Sheogorath",""
"Active_De_Bar_Door","Bar Door",""
"active_de_bedroll","Bedroll",""
"active_de_bed_29","Hammock",""
"active_de_bed_30","Hammock",""
"active_de_pr_bed_07","Bed",""
"active_de_pr_bed_08","Bed",""
"active_de_pr_bed_21","Bed",""
"active_de_pr_bed_22","Bed",""
"active_de_pr_bed_23","Bed",""
"active_de_pr_bed_24","Bed",""
"active_de_pr_bed_25","Bed",""
"active_de_pr_bed_26","Bed",""
"active_de_pr_bed_27","Bed",""
"active_de_p_bed_03","Bed",""
"active_de_p_bed_04","Bed",""
"active_de_p_bed_05","Bed",""
"active_de_p_bed_09","Bed",""
"active_de_p_bed_10","Bed",""
"active_de_p_bed_11","Bed",""
"active_de_p_bed_12","Bed",""
"active_de_p_bed_13","Bed",""
"active_de_p_bed_14","Bed",""
"active_de_p_bed_15","Bed",""
"active_de_p_bed_16","Bed",""
"active_de_p_bed_28","Hammock",""
"active_de_r_bed_01","Bed",""
"active_de_r_bed_02","Hammock",""
"active_de_r_bed_06","Bed",""
"active_de_r_bed_17","Bed",""
"active_de_r_bed_18","Bed",""
"active_de_r_bed_19","Bed",""
"active_de_r_bed_20","Bed",""
"active_lookout_unique","",""
"active_nels_pelagiad","Nels Llendo Scriptholder",""
"active_port_andra","Andasreth Propylon",""
"active_port_beran","Berandas Propylon",""
"active_port_falas","Falasmaryon Propylon",""
"active_port_falen","Falensarano Propylon",""
"active_port_hlor","Hlormaren Propylon",""
"active_port_indo","Indoranyon Propylon",""
"active_port_maran","Marandus Propylon",""
"active_port_roth","Rotheran Propylon",""
"active_port_telas","Telasero Propylon",""
"active_port_valen","Valenvaryon Propylon",""
"active_signpost_01","",""
"active_signpost_02","",""
"active_sign_ald-ruhnB_01","Ald-ruhn (back road)",""
"active_sign_ald-ruhnM_01","Ald-ruhn (main road)",""
"active_sign_ald-ruhn_01","Ald-ruhn",""
"active_sign_ald-ruhn_02","Ald-ruhn",""
"active_sign_aldvelothi_01","Ald Velothi",""
"active_sign_balmora_01","Balmora",""
"active_sign_balmora_02","Balmora",""
"active_sign_buckmothB_01","Buckmoth Fort (back road)",""
"active_sign_buckmothM_01","Buckmoth Fort (main road)",""
"active_sign_buckmoth_01","Buckmoth Legion Fort",""
"active_sign_buckmoth_02","Buckmoth Legion Fort",""
"active_sign_caldera_01","Caldera",""
"active_sign_caldera_02","Caldera",""
"active_sign_cal_mine_02","Caldera Mining Company",""
"active_sign_c_alchemy_01","Imperial Alchemy",""
"active_sign_c_arms_01","Imperial Arms",""
"active_sign_c_arms_02","Imperial Arms",""
