"id","name","tags"
"Adusamsi's_Ring","Adusamsi's Ring",""
"Adusamsi's_robe","Adusamsi's Robe",""
"Akatosh Ring","Akatosh's Ring",""
"Akatosh's Ring","Akatosh's Ring",""
"amulet of 6th house","6th House Amulet",""
"amulet of admonition","Amulet of Admonition",""
"amulet of almsivi intervention","Amulet of Almsivi Intervention",""
"amulet of ashamanu (unique)","Amulet of Ashamanu",""
"amulet of balyna's antidote","Amulet of Balyna's Antidote",""
"amulet of balyna's soothing bal","Amulet of Soothing Balm",""
"amulet of divine intervention","Amulet of Divine Intervention",""
"amulet of domination","Amulet of Domination",""
"amulet of far silence","Amulet of Far Silence",""
"amulet of frost","Amulet of Frost",""
"amulet of health","Amulet of Health",""
"amulet of igniis","Amulet of Igniis",""
"amulet of levitating","Amulet of Levitating",""
"amulet of light","Amulet of Light",""
"amulet of locking","Amulet of Locking",""
"amulet of mark","Amulet of Mark",""
"amulet of mighty blows","Amulet of Mighty Blows",""
"amulet of opening","Amulet of Opening",""
"amulet of recall","Amulet of Recall",""
"amulet of rest","Amulet of Rest",""
"amulet of shades","Amulet of Shades",""
"amulet of shadows","Amulet of Shadows",""
"amulet of shield","Amulet of Shield",""
"amulet of silence","Amulet of Silence",""
"amulet of slowfalling","Amulet of Slowfalling",""
"amulet of spell absorption","Amulet of Spell Absorption",""
"amulet of stamina","Amulet of Stamina",""
"amulet of water walking","Amulet of Water Walking",""
"amuletfleshmadewhole_uniq","Amulet of Flesh Made Whole",""
"amulet_Agustas_unique","Augustus' Amulet",""
"amulet_aundae","Aundae Amulet",""
"amulet_berne","Berne Amulet",""
"amulet_gem_feeding","Amulet of Gem Feeding",""
"amulet_Pop00","Pop's Amulet",""
"amulet_quarra","Quarra Amulet",""
"amulet_skink_unique","Skink's Amulet",""
"amulet_unity_uniq","Amulet of Unity",""
"amulet_usheeja","Amulet of Usheeja",""
"ancestor's ring","Ancestor's Ring",""
"artifact_amulet of heartfire","Amulet of Heartfire",""
"artifact_amulet of heartheal","Amulet of Heartheal",""
"artifact_amulet of heartrime","Amulet of Heartrime",""
"artifact_amulet of heartthrum","Amulet of Heartthrum",""
"artifact_belt_of_heartfire","Belt of Heartfire",""
"artifact_blood_ring","Blood Ring",""
"artifact_heart_ring","Heart Ring",""
"artifact_soul_ring","Soul Ring",""
