"id","name","tags"
"AB_IngCrea_ClannClaw_01","Clannfear Claw",""
"AB_IngCrea_DaeTeeth_01","Daedroth Teeth",""
"AB_IngCrea_DreughShell_01","Dreugh Shell",""
"AB_IngCrea_DungCake","Dung Cake",""
"AB_IngCrea_GlowbugThoraxBlue","Glowbug Thorax",""
"AB_IngCrea_GlowbugThoraxGreen","Glowbug Thorax",""
"AB_IngCrea_GuarMeat_01","Guar Meat",""
"AB_IngCrea_HorseMeat01","Horse Meat",""
"AB_IngCrea_KwamaEggBlighted","Blighted Kwama Egg",""
"AB_IngCrea_KwamaPoison","Kwama Poison",""
"AB_IngCrea_LichDust","Lich Dust",""
"AB_IngCrea_OgrimLard","Grim Lard",""
"AB_IngCrea_SaintsHair","Saint's Hair",""
"AB_IngCrea_ScribShell_01","Scrib Shell",""
"AB_IngCrea_SfMeat_01","Slaughterfish Meat",""
"AB_IngCrea_Silkgut","Silkgut",""
"AB_IngCrea_SpiderMilk","Spider's Milk",""
"AB_IngCrea_SpiderVenom","Spider Venom",""
"AB_IngCrea_SprigganEar","Spriggan's Ear",""
"AB_IngCrea_SturgeonMeat01","Sturgeon Meat",""
"AB_IngCrea_SturgeonMeat02","Sturgeon Meat",""
"AB_IngCrea_SturgeonMeat03","Sturgeon Meat",""
"AB_IngCrea_SturgeonRoe","Sturgeon Roe",""
"AB_IngCrea_TwilightMembrane","Winged Twilight Membrane",""
"AB_IngFlor_BgSlime_01","Bittergreen Slime",""
"AB_IngFlor_Bloodgrass_01","Bloodgrass",""
"AB_IngFlor_Bloodgrass_02","Planeriven Bloodgrass",""
"AB_IngFlor_BlueKanet_01","Blue Kanet",""
"AB_IngFlor_CinderSparkLichen_01","Cinderspark Lichen",""
"AB_IngFlor_Dustcap","Dustcap",""
"AB_IngFlor_Fomentarius","Blistering Fomentarius",""
"AB_IngFlor_GlMuscaria_01","Glowing Chanterelle",""
"AB_IngFlor_Harrada_01","Harrada",""
"AB_IngFlor_Harrada_02","Planeriven Harrada",""
"AB_IngFlor_Pomegranate01","Pomegranate",""
"AB_IngFlor_Pomegranate02","Pomegranate",""
"AB_IngFlor_Scypha","Scypha Mycena Caps",""
"AB_IngFlor_TelvanniResin","Telvanni Resin",""
"AB_IngFlor_Urnula","Veiled Urnula Cap",""
"AB_IngFlor_ViMuscaria_01","Vicious Chanterelle",""
"AB_IngFood_Bread01a","Bread",""
"AB_IngFood_Bread01b","Bread",""
"AB_IngFood_Bread02","Bread",""
"AB_IngFood_ComJam","Comberry Jam",""
"AB_IngFood_DoughLump","Dough",""
"AB_IngFood_DoughRolled","Dough",""
"AB_IngFood_KwamaEggCentCut","Century Kwama Egg",""
"AB_IngFood_KwamaEggCentWrap","Wrapped Century Kwama Egg",""
"AB_IngFood_KwamaEggSpoilLarge","Spoiled Kwama Egg",""
"AB_IngFood_KwamaEggSpoilSmall","Spoiled Kwama Egg",""
"AB_IngFood_KwamaLoaf","Goros",""
"AB_IngFood_KwamaLoafSlice","Goros Slice",""
"AB_IngFood_SaltriceBread","Saltrice Bread",""
"AB_IngFood_SaltricePorridge","Saltrice Porridge",""
"AB_IngFood_ScuttlePie","Scuttle Pie",""
"AB_IngFood_Sweetroll","Sweetroll",""
"AB_IngFood_WickwheatDumpling","Wickwheat Dumpling",""
"AB_IngMine_Amber_01","Amber",""
"AB_IngMine_Amethyst_01","Amethyst",""
"AB_IngMine_BlackPearl_01","Black Pearl",""
"AB_IngMine_BlackTourmaline_01","Black Tourmaline",""
"AB_IngMine_BlueDiamond","Blue Diamond",""
"AB_IngMine_ChalkWhite","Chalk",""
"AB_IngMine_Clay01","Clay",""
"AB_IngMine_Clay02","Clay",""
"AB_IngMine_Diopside_01","Star Diopside",""
"AB_IngMine_Firejade_01","Firejade",""
"AB_IngMine_Garnet_01","Garnet",""
"AB_IngMine_GoldPearl_01","Golden Pearl",""
"AB_IngMine_Lodestone","Lodestone",""
"AB_IngMine_Obsidian_01","Obsidian",""
"AB_IngMine_Peridot_01","Peridot",""
"AB_IngMine_RedDiamond","Red Diamond",""
"AB_IngMine_Sapphire_01","Sapphire",""
"AB_IngMine_Sulphur","Sulphur",""
"AB_IngMine_Topaz_01","Topaz",""
"AB_IngMine_Tourmaline_01","Tourmaline",""
