"id","name","tags"
"AB_Key_IronRuin01","Iron Key",""
"AB_Key_IronRuin02","Iron Key",""
"AB_Key_IronRuin03","Iron Key",""
"AB_Key_Junk","Worthless Old Key",""
"AB_Key_Keyring","Keyring",""
"AB_Misc_6thAshStatue02","Ash Statue",""
"AB_Misc_6thAshStatue04","Ash Statue",""
"AB_Misc_6thAshStatue07","Ash Statue",""
"AB_Misc_6thAshStatue13","Ash Statue",""
"AB_Misc_6thBell","Sixth House Bell",""
"AB_Misc_6thBowl","Sixth House Bowl",""
"AB_Misc_6thFlute","Sixth House Flute",""
"AB_Misc_6thMug","Sixth House Mug",""
"AB_Misc_6thPlate01","Sixth House Plate",""
"AB_Misc_6thPlate02","Sixth House Plate",""
"AB_Misc_Abacus","Abacus",""
"AB_Misc_AlchJarEmpty01","Alchemical Jar",""
"AB_Misc_AlchJarEmpty02","Alchemical Jar",""
"AB_Misc_AshlFlute","Ashlander Flute",""
"AB_Misc_BallLeather","Leather Ball",""
"AB_Misc_BallWoodBrown","Wooden Ball",""
"AB_Misc_BallWoodRed","Wooden Ball",""
"AB_Misc_BkRuinedFolio","Ruined Book",""
"AB_Misc_BkRuinedOctavo01","Ruined Book",""
"AB_Misc_BkRuinedOctavo02","Ruined Book",""
"AB_Misc_BkRuinedQuarto","Ruined Book",""
"AB_Misc_Blotter","Blotter",""
"AB_Misc_Bobbin_01","Bobbin",""
"AB_Misc_Bobbin_02","Bobbin",""
"AB_Misc_Bobbin_03","Bobbin",""
"AB_Misc_Bobbin_04","Bobbin",""
"AB_Misc_Bobbin_05","Bobbin",""
"AB_Misc_Bone","Bone",""
"AB_Misc_BoneRacerSkull","Cliff Racer Skull",""
"AB_Misc_BoneRatSkull","Rat Skull",""
"AB_Misc_BoneSkelArgFoot","Foot",""
"AB_Misc_BoneSkelArgPelvis","Pelvis",""
"AB_Misc_BoneSkelArgSkull","Skull",""
"AB_Misc_BoneSkelArgSkullJaw","Jaw",""
"AB_Misc_BoneSkelArgSkullUpper","Skull",""
"AB_Misc_BoneSkelArgTail","Tail",""
"AB_Misc_BoneSkelArmL","Left Arm",""
"AB_Misc_BoneSkelArmR","Right Arm",""
"AB_Misc_BoneSkelArmUpperL.1","Left Upper Arm",""
"AB_Misc_BoneSkelArmUpperL","Left Upper Arm",""
"AB_Misc_BoneSkelArmUpperR.1","Right Upper Arm",""
"AB_Misc_BoneSkelArmUpperR","Right Upper Arm",""
"AB_Misc_BoneSkelArmWristL.1","Left Wrist",""
"AB_Misc_BoneSkelArmWristL","Left Wrist",""
"AB_Misc_BoneSkelArmWristR.1","Right Wrist",""
"AB_Misc_BoneSkelArmWristR","Right Wrist",""
"AB_Misc_BoneSkelFootL.1","Left Foot",""
"AB_Misc_BoneSkelFootL","Left Foot",""
"AB_Misc_BoneSkelFootR.1","Right Foot",""
"AB_Misc_BoneSkelFootR","Right Foot",""
"AB_Misc_BoneSkelHandL.1","Left Hand",""
"AB_Misc_BoneSkelHandL","Left Hand",""
"AB_Misc_BoneSkelHandR.1","Right Hand",""
"AB_Misc_BoneSkelHandR","Right Hand",""
"AB_Misc_BoneSkelKhaFoot","Foot",""
"AB_Misc_BoneSkelKhaTail","Tail",""
"AB_Misc_BoneSkelLegL","Left Leg",""
"AB_Misc_BoneSkelLegR","Right Leg",""
"AB_Misc_BoneSkelLegShinL.1","Left Shin",""
"AB_Misc_BoneSkelLegShinL","Left Shin",""
"AB_Misc_BoneSkelLegShinR.1","Right Shin",""
"AB_Misc_BoneSkelLegShinR","Right Shin",""
"AB_Misc_BoneSkelLegUpperL.1","Upper Left Leg",""
"AB_Misc_BoneSkelLegUpperL","Upper Left Leg",""
"AB_Misc_BoneSkelLegUpperR.1","Upper Right Leg",""
"AB_Misc_BoneSkelLegUpperR","Upper Right Leg",""
"AB_Misc_BoneSkelPelvis","Pelvis",""
"AB_Misc_BoneSkelRibs","Ribs",""
"AB_Misc_BoneSkelSkullGhoul","Ash Ghoul Skull",""
