"id","name","tags"
"TR_a-m2-56-gashcrown","Gashcrown",""
"TR_Alandro_towershield","Alandro's Shield",""
"TR_a_i3-737_Tarons_Reach","Captain Taron's Reach",""
"TR_Firemoth_Scrap_Helmet_En","Bthamun's Soothsight",""
"TR_i2-235_bonemold_towershield","Bonemold Tower Shield",""
"TR_i2-235_dragonscale_tower","Dragonscale Tower Shield",""
"TR_i2-235_dwemer_shield","Dwemer Shield",""
"TR_i2-235_goblin_shield","Goblin Buckler",""
"TR_i2-235_imperial shield","Imperial Shield",""
"TR_i2-235_iron_towershield","Iron Tower Shield",""
"TR_i2-235_steel_towershield","Steel Tower Shield",""
"TR_i2-410_a_dres_cuirass_broken","Native Gah'Kogo Cuirass",""
"TR_i3-280_a_ProvocativeHelm","Provocative Helmet",""
"TR_i3-649_imp shield nopickup","Imperial Shield",""
"TR_m1_C_Eyeball88_Helm","Helm of the Creative",""
"TR_m1_Ench_Shield_i62","Lleneris Darys' Shield",""
"TR_m1_Ench_Shield_i62_free","Lleneris Darys' Shield",""
"TR_m1_Ench_Towershield","Mirror Shield",""
"TR_m1_FWMG_BootsOfCapacity","Boots of Capacity",""
"TR_m1_FW_WizardRestraintL","Left Wizard's Shackle",""
"TR_m1_FW_WizardRestraintR","Right Wizard's Shackle",""
"TR_m1_GalanBrandtCuirass","Cuirass of Great Bulwark",""
"TR_m1_Goblin_Trophy","Goblin Slayer's Trophy",""
"TR_m1_GrazgobShield","Grazgob gro-Muzbog's Shield",""
"TR_m1_g_boots_jump","Acrobat's Boots",""
"TR_m1_molecrab_cuirass_protect","Mole Crab Cuirass of Fortitude",""
"TR_m1_q_GadavesGreaves","Gadaves' Dreugh Greaves",""
"TR_m1_q_RanShield1","Iron Shield",""
"TR_m1_q_RanShield2","Iron Shield",""
"TR_m1_raptures fist","Rapture's Fist",""
"TR_m1_silver_duchguard_cuirass","Duchess' Guard Silver Cuirass",""
"TR_m1_TT_RatagosGauntlet","Ratagos' Guard",""
"TR_m1_TW_AeonianShield","Aeonian Shield",""
"TR_m2_a_Crabwalker_boots","Boots of the Crabwalker",""
"TR_m2_a_explorer_boots","Boots of the Explorer",""
"TR_m2_a_Gidaves'_Bracer","Gidaves' Bracer",""
"TR_m2_a_Lzigat_PauldL_Uni","Left Pauldron of Lzigat",""
"TR_m2_a_Lzigat_PauldR_Uni","Right Pauldron of Lzigat",""
"TR_m2_a_RepairHelm_uni","Dwemer Mechanic's Headgear",""
"TR_m2_face_hortator_uni","Face of the Hortator",""
"TR_M2_MG_Lamp_Kaishi_Cuirass","Cuirass of Star's Benison",""
"TR_m2_q_22_CursedShield","Dwemer Shield",""
"TR_m2_q_22_CursedShieldEx","Dwemer Shield",""
"TR_m2_q_22_CursedShieldEx2","Dwemer Shield",""
"TR_m2_q_27_SBheelkur","Heel-Kur's Left Slave Bracer",""
"TR_m2_q_27_SBlijarra","Lijarra's Left Slave Bracer",""
"TR_m2_q_29_gauntlet_left","Left Gauntlet of Shieldbearing",""
"TR_m2_q_29_gauntlet_right","Right Gauntlet of Blind Rage",""
"TR_m2_q_A9_6_Shield","Solusi's Shield",""
"TR_m2_q_VaerinHat","Conch of Dismay",""
"TR_m2_Sailen_Vulgate_sh","Vulgate",""
"TR_m3-278_a_dwrvhelm","Radack-Dizvir",""
"TR_m3-278_a_rebelbracer_l","Left Hand of Freedom",""
"TR_m3-278_a_rebelbracer_r","Right Hand of Freedom",""
"TR_m3-512_helm","Ice Ward of St. Felms",""
"TR_m3-718 Decorative Armor","Decorative Armor",""
"TR_m3-758_a_tadrils_temper","Tadril's Temper",""
"TR_m3_A8_rickshaw_helm","Rickshaw Puller Helmet",""
"TR_m3_AT_MG07_helm","Helm of Subaqueous Pursuits",""
"TR_m3_AT_MGBonus_cuirass","Battlemage's Cuirass",""
"TR_m3_a_antumbral_shield_uni","Antumbral Shield",""
"TR_m3_Brother_IndorilHelm","Indoril Helm of Verity",""
"TR_m3_calcius_mail_uni","Mail of Calcius Fire-Walker",""
"TR_m3_EEC_Bearish","Bearish",""
"TR_m3_FG_Extrahelm","Helm of Quick Solutions",""
"TR_m3_Greaves_Carefree_Leaps","Greaves of Carefree Leaps",""
"TR_m3_Helm_of_Finesse","Helm of Finesse",""
"TR_M3_i605_Greaves","Lucky Helga's Legs",""
"TR_m3_indshield_i3-606-ind","Indoril Guard Shield",""
"TR_m3_lightningboots","Boots of Lightning Speed",""
"TR_m3_MT_intuition","Mask of Assassin's Intuition",""
"TR_m3_OE_a_madhoosa_uni","Shield of Mad-Hoosa's Gaze",""
"TR_m3_OE_CassynderArmor","Cuirass of Cassynder Septim",""
"TR_m3_OE_TG_KatariahDisp01","Death Mask of Katariah",""
"TR_m3_OE_TG_SnowHareBoots","Hhontjulf's Snow Hare Boots",""
"TR_m3_prismatic_shield","Prismatic Shield",""
"tr_m3_q_AT_MG04_boots","Boots of Pilgrim's Pliability",""
"TR_m3_q_ST_Honns_1","Honns' Lockbane Boots",""
"TR_m3_q_ST_Honns_2","Honns' Crotchkicker Boots",""
"TR_m3_q_ST_Honns_3","Honns' Dungfinder Boots",""
"TR_m3_q_ST_Honns_4","Honns' Snowtrekker Boots",""
"TR_m3_speaker_boots","Boots of the Speaker",""
"TR_m3_speaker_cuirass","Heart of the Speaker",""
"TR_m3_speaker_gauntlet_L","Left Hand of the Speaker",""
"TR_m3_speaker_gauntlet_R","Right Hand of the Speaker",""
"TR_m3_speaker_greaves","Greaves of the Speaker",""
"TR_m3_speaker_helm","Helmet of the Speaker",""
"TR_m3_speaker_pauldron_L","Left Pauldron of the Speaker",""
"TR_m3_speaker_pauldron_R","Right Pauldron of the Speaker",""
"TR_m3_steel_fireheart_i3-647","Steel Fireheart",""
"TR_m4-476_hartwigs_grip","Hartwig's Iron Right Grip",""
"TR_m4-518_spellweavers_skins","Spellweaver's Cuirass",""
"TR_m4_AndothTGThreeEyedHelm","Advanced Vault-Stalker Helmet",""
"TR_m4_Ando_MG_Polyhedrascope","Polyhedrascope",""
"TR_m4_A_AlverLegBrace","Nols Alver's Leg Brace",""
"TR_m4_a_Atsiru-Din_Shield_uni","Atsiru-Din's Fire Shield",""
"TR_m4_Bal_VelynCuirass","Baal Cuirass of Tamed Flames",""
"TR_m4_Bal_VunalBoots","Ancient Baalvayn Boots",""
"TR_m4_Bal_VunalCuirass","Ancient Baalvayn Cuirass",""
"TR_m4_Bal_VunalGauntletL","Ancient Baalvayn Left Gauntlet",""
"TR_m4_Bal_VunalGauntletR","Ancient Baalvayn Right Gauntlet",""
"TR_m4_Bal_VunalGreaves","Ancient Baalvayn Greaves",""
"TR_m4_Bal_VunalHelm","Ancient Baalvayn Helm",""
"TR_m4_Bal_VunalPauldronL","Ancient Baalvayn Left Pauldron",""
"TR_m4_Bal_VunalPauldronR","Ancient Baalvayn Right Pauldron",""
"TR_m4_Bal_VunalShield","Ancient Baalvayn Shield",""
"TR_m4_DelvenuBavani_shield","Delvenu Bavani's Shield",""
"TR_m4_Hendor_Cuirass","Master Forger's Mail",""
"TR_m4_HH_AND_Demand","Demand",""
"TR_m4_HH_And_Demand2","Demand",""
"TR_m4_HH_And_Supply","Supply",""
"TR_m4_HH_And_Supply2","Supply",""
"TR_m4_IL_Bracerleft","Silver Bracer of Diplomacy",""
"TR_m4_IL_Bracerright","Silver Bracer of Assertion",""
"TR_m4_IL_chaincuirass","Chains of Credibility",""
"TR_m4_immetarca_boots","Boots of Wayward Flying",""
"TR_m4_olmshelm_i4-261-hla","Helm of St. Olms",""
"TR_m4_orcish_boots_uni","Goreriders",""
"TR_m4_orcish_helmofbattle_uni","Orcish Helm of Battle",""
"TR_m4_q_ArvenasHelmet","Arvena's Helmet",""
"TR_m4_q_ArvenasHelmet_ar","Arvena's Helmet",""
"TR_m4_q_DramMarvos_Cuirass","Bloodstained Cuirass",""
"TR_m4_RR_VCave_4_Footpads","Explorer's Footpads",""
"TR_m4_Shield_Leftunch","Escutcheon of Duunmarkng",""
"TR_m4_steel_cuirass_MM_a","Shoddy Steel Cuirass",""
"TR_m4_steel_cuirass_MM_b","Fortified Steel Cuirass",""
"TR_m4_TT_OrcNoCuirass","Orcish Cuirass",""
"TR_m4_TT_OrcNoGreaves","Orcish Greaves",""
"TR_m4_TT_OrcNoHelm","Orcish Helm",""
"TR_m4_UshuDimmuCrown_01","Crown of Ushu-Dimmu",""
"TR_m4_UshuDimmuCrown_02","Crown of Ushu-Dimmu",""
"TR_m4_vesidur_helm","Baris' Diving Helmet",""
"TR_m7_AldIuvalJNS_Helm","Magickeater Helm ",""
"TR_m7_a_Kababu_shield","Kababu",""
"TR_m7_BenthicMail","Benthic Mail",""
"TR_m7_CrownShalpar","Crown of Shalpar",""
"TR_m7_Cuirass_Ethala","Glass Cuirass",""
"TR_m7_dbhand_L","Kiss of the Goddess",""
"TR_m7_dbhand_R","Embrace of the Goddess",""
"TR_m7_DwemerBootsReflexes","Dwemer Boots of Reflexes",""
"TR_m7_Havenmail","Havenmail",""
"TR_m7_HH_Alvynu_7_Greaves","Gilded Glass Greaves of Freedom",""
"tr_m7_HO_19 fakeAshmask","Vivec's Ashmask",""
"TR_m7_Iuval_Reman_Helm","Marak Taker's Helm",""
"TR_m7_JNS_KVatraHelmClosed","Terror of K'Vatra",""
"TR_m7_JNS_KVatraHelmOpen","Deceit of K'Vatra",""
"TR_m7_Mansit_Nur_Helm","Helm of Mauloch's Cleaving",""
"TR_m7_masque_of_dibella","Masque of Dibella's Love",""
"TR_m7_NarsisFG_nightshield","Night Shield",""
"TR_m7_NarsisMH_FirstStrike","Cuirass of First Strike",""
"TR_m7_NarsisMH_Mint_Gauntlet_l","Goldsmith's Grasp Left",""
"TR_m7_NarsisMH_Mint_Gauntlet_r","Goldsmith's Grasp Right",""
"TR_m7_Narsis_JanusCuirass","Janus Heartplate",""
"TR_m7_Ns_IL_2_Helm","Narsis Patroller's Helm",""
"TR_m7_Ns_IL_7_PauldronL","Left Shoulder of Might",""
"TR_m7_Ns_IL_7_PauldronR","Right Shoulder of Might",""
"TR_m7_Ns_JNS_4_CuirReward","Instigator's Cuirass",""
"TR_m7_Ns_MG_TechnicianHelm","Reactor Technician Helm",""
"TR_m7_Ns_MG_YsadoraHat","Strange Wizard's Hat",""
"TR_m7_Ns_RagamulShield","Ravager's Shield",""
"TR_m7_Ns_Ralvam_Boots","Ralvam Turil's Boots",""
"TR_m7_Ns_Ralvam_BracerL","Ralvam Turil's Left Bracer",""
"TR_m7_Ns_Ralvam_BracerR","Ralvam Turil's Right Bracer",""
"TR_m7_Ns_Ralvam_Cuirass","Ralvam Turil's Cuirass",""
"TR_m7_Ns_Ralvam_Greaves","Ralvam Turil's Greaves",""
"TR_m7_Ns_Ralvam_PauldronL","Ralvam Turil's Left Pauldron",""
"TR_m7_Ns_Ralvam_PauldronR","Ralvam Turil's Pauldron",""
"TR_m7_Ns_SandweaverCuirass","Sandweaver's Cuirass",""
"TR_m7_NussorabakulCuirass","Nasar Flame Defender",""
"TR_m7_PhilosophersArmor_Temp","Philosopher's Armor",""
