"id","name","tags"
"TR_AimrahIC6_Drawers","Drawers",""
"TR_AimrahIC6_DreughEgg1","Dreugh Cocoon",""
"TR_AimrahIC6_DreughEgg2","Dreugh Cocoon",""
"TR_AimrahIC6_DreughEgg3","Dreugh Cocoon",""
"TR_AimrahIC6_FurnPDesk","Desk",""
"TR_AimrahIC6_SmallSack","Small Sack",""
"TR_Aimrah_AC_Chest_01","Chest",""
"TR_Aimrah_AC_Chest_02","Small Chest",""
"TR_Aimrah_AC_Chest_03","Large Chest",""
"TR_Aimrah_AC_Drawers_01","Drawers",""
"TR_Aimrah_AC_Drawers_02","Drawers",""
"TR_Aimrah_Healer_Chest","Chest",""
"TR_Aimrah_WH_Barrel","Barrel",""
"TR_Aimrah_WH_Crate","Crate",""
"TR_AND_i4-88_chest_02","Chest",""
"TR_AND_i4-88_Inv1","Chest",""
"TR_barrel_m3-733_corkbu","Wooden Barrel",""
"TR_chest_i3-737_shipmnt","Chest",""
"TR_Chest_i4-398-Chest","Chest",""
"TR_chest_m3-290_tomb","Chest",""
"TR_chest_m3-664_bracers","Chest",""
"TR_chest_m3-664_special","Chest",""
"TR_chest_m3-664_weapons","Chest",""
"TR_chest_m4-506_utensil","Chest",""
"TR_chest_m4-516_loot","Chest",""
"TR_cirifae_sack_02","Sack",""
"TR_com_sack_02_i501_mry","Cloth Sack",""
"TR_cont-m2-56-ashunihla","Ashes of Brevur Uvayn",""
"TR_cont-m2-56-ashunired","Ashes of Hleras Narom",""
"TR_cont_crate_i3-795","Crate",""
"TR_cont_crate_m1_booze1","Crate",""
"TR_cont_crate_m1_booze2","Crate",""
"TR_cont_crate_m1_booze3","Crate",""
"TR_cont_crate_m1_booze4","Crate",""
"TR_cont_crate_m1_tablew","Crate",""
"TR_cont_i3-730_satstash","Small Chest",""
"TR_cont_m2-450_clochest","Chest",""
"TR_cont_m2-450_sweeps_c","Chest",""
"TR_cont_m2_i2-437-Tri_a","Closet",""
"TR_cont_m2_i2-437-Tri_o","Small Stone Chest",""
"TR_cont_m2_i2-437-Tri_p","Chest",""
"TR_cont_m2_i2-437-Tri_r","Chest",""
"TR_cont_m3-301-chest","Chest",""
"TR_cont_m3-641_wheat","Sack",""
"TR_cont_m3-700_chestcth","Chest",""
"TR_cont_m3-700_cratearm","Crate",""
"TR_cont_m3-706_baitsack","Cloth Sack",""
"TR_cont_m3-706_brlofish","Barrel",""
"TR_cont_m3-710_corkbulb","Barrel",""
"TR_cont_m3-733_corkbulb","Sack",""
"TR_cont_m3-798_desk","Desk",""
"TR_cont_m3_hadrum01","Chest",""
"TR_cont_m4-358_corpse","Crushed Corpse",""
"TR_cont_m4_399_closet","Closet",""
"TR_crate_m3-712_guar","Crate",""
"TR_De_Rm_Chest_i4_284","Chest",""
"TR_De_Rm_Chest_i4_284_2","Chest",""
"TR_DI_Chest","Small Chest",""
"TR_flora_m3-798_debra","Diana the Plant",""
"TR_FM_Stage3_Crate","Crate",""
"TR_FM_Stage8_corpse10","Corpse",""
"TR_FW_k_chest_forks","Small Chest",""
"TR_FW_k_com_cupboard_01","Cupboard",""
"TR_i2-309_ap_chest","Chest",""
"TR_i2-309_barrel_bloat1","Barrel",""
"TR_i2-309_barrel_bloat2","Barrel",""
"TR_i2-309_crate_iron01","Crate",""
"TR_i2-309_crate_iron02","Crate",""
"TR_i2-309_crate_ma01","Crate",""
"TR_i2-309_crate_ma02","Crate",""
"TR_i2-309_crate_ma03","Crate",""
"TR_i2-309_crate_steel01","Crate",""
"TR_i2-342-Ind_BoilingMS","Pot",""
"TR_i2-342-Ind_MarshM&MS","Pot",""
"TR_i2-363-Imp-comchest1","Chest",""
"TR_i2-427_silendai","Corpse of General Silendai",""
"TR_i2-427_travelso","Corpse of Councilor Travelso",""
"TR_i2-428-Bosryn","Corpse of Commander Bosryn",""
"Tr_i2-428_Rael","Corpse of Commander Garol Rael",""
"Tr_i2-428_Toval","Corpse of Commander Dels Toval",""
"TR_i2-444_corpse_thief","Corpse",""
"TR_i2-66_cont_indoril_d","Culdem",""
"TR_i2-66_cont_indoril_f","Culdem",""
"TR_i2-66_pot_01","Soup Pot",""
"TR_i2-72_de_r_chest_01","Chest",""
"TR_i2-72_de_r_closet_01","Closet",""
"TR_i2-72_de_r_closet_02","Closet",""
"TR_i2-72_de_r_drawers_c","Drawers",""
"TR_i2_22_crate_eggs30","Crate",""
"TR_i2_238_chest_folclo","Small Chest",""
"TR_i2_238_chest_guards","Wooden Chest",""
"TR_i2_238_chest_healer","Wooden Chest",""
"TR_i2_238_corpse_imp","Imperial corpse",""
"TR_i2_238_couldron","Large Iron Couldron",""
"TR_i2_238_crate_alaud","Crate",""
