"id","name","tags"
"TR_i3-280_ingred_cursed_diamond","Maniel's Diamond",""
"TR_i3-591_ingred_RaathimAsh","Raathim Gravedust",""
"TR_i3-685_OutlawsBlood","Blood Stone",""
"TR_i4-507_ingred_hla_pearl","Edelmine's Pearl",""
"TR_m1_ingred_ceph_shell_uni","Ruined Cephalopod Shell",""
"TR_m1_Ingred_Opal_i62","Opal Stone",""
"TR_m1_q51_ingred_BOmusk_UNI","Raw Musk",""
"TR_m1_Q59_PR_disease_meat","Diseased Rat Meat",""
"TR_m1_q67_Fa1_Seeds","Desert Siren Seeds",""
"TR_m1_Q_BlackRose_Stationary","Black Rose Offering",""
"TR_m1_Q_Ingred_BlackRose","Black Rose Offering",""
"TR_m1_Q_Ingred_NobleSedge","Noble Sedge Flowers Offering",""
"TR_m1_Q_Ingred_Topaz","Topaz Offering",""
"TR_m1_Q_NobleSedge_Stationary","Noble Sedge Flowers Offering",""
"TR_m1_Q_Topaz_Stationary","Topaz Offering",""
"TR_m2_aztear_i2-383-ind","Azura's Tear",""
"TR_m2_meteor_i2-383-ind","Meteor Fragment",""
"TR_m2_q_22_Dust","Ancient Dust",""
"TR_m2_q_29_4_silk","Daedra Silk",""
"TR_m2_q_38_ashbonemeal","Contaminated Bonemeal",""
"TR_m2_q_38_ectoplasm","Ectoplasm",""
"TR_m2_q_38_purebonemeal","Bonemeal",""
"TR_m2_q_9_BGPetals","Bittergreen Petals",""
"TR_m2_q_9_Eyestar_uni","Star's Eye",""
"TR_m3_i3_413_white clay","White Clay",""
"TR_m3_nelyn_cursed_pearl","Pearl",""
"TR_m3_OE_q_HorseMeat","Horse Meat",""
"TR_m3_OE_RatMeatPoison","Poisoned Rat Meat",""
"TR_m3_OE_TG_Vomit","Vomit",""
"TR_m3_q_14_fish","Delamus' Stinky Fish Meat",""
"TR_m3_q_A5_SmuggledEbony","Raw Ebony",""
"TR_m3_q_A9_rewardemerald","Emerald",""
"TR_m3_q_kwamasmuggle","Large Kwama Egg",""
"TR_m3_q_OE_MG_Dae_Gems","<Cursed Gem Spawn Point>",""
"TR_m3_q_OE_MG_Dae_Sapphire","<Cursed Gem Spawn Point>",""
"TR_m3_TT_Dis_marshrootincense","Marsh Root Incense",""
"TR_m3_TT_JalorPowder","Suspicious Powder",""
"TR_m3_TT_JalorPowder02","Suspicious Powder",""
"TR_m4_AA_SehutuHeart","Bel-Betu's Heart",""
"TR_m4_AA_Tomb_2_Emerald","Emerald",""
"TR_m4_ing_rotten_guar_meat","Rotten Guar Meat",""
"TR_m4_menaan_int_8_biscuit","Complimentary Biscuit",""
"TR_m4_q_AG_gift","Heirloom of the Lost Tribe",""
"TR_m4_TJ_MoonshadowRose","Moonshadow Rose",""
"TR_m4_TT_SpawnBittergreen","Bittergreen Petals",""
"TR_m4_TT_SpawnHackleLo","Hackle-Lo Leaf",""
"TR_m7_AHPicnicBread_01","Bread",""
"TR_m7_AHPicnicBread_02","Bread",""
"TR_m7_AHPicnicCabbage","Cabbage Leaf",""
"TR_m7_AHPicnicCrabMeat","Crab Meat",""
"TR_m7_Dradivas_Stone","Healing Stone",""
"TR_m7_Kalk_Evenfall_Sapphire","Evenfall",""
"TR_m7_Kalk_Orc_Flesh","Orc Flesh",""
"TR_m7_Ns_JNS_3_TombAD","Ashdew",""
"TR_m7_Ns_MG_Hemlock_01","Hemlock Seeds",""
"TR_m7_NVA8_boar_leather","Bristleback Leather",""
"TR_m7_NVA8_IngCrea_GoatPelt_01","Goat Fur",""
"TR_m7_NVA8_ingred_bear_pelt","Bear Pelt",""
"TR_m7_NVA8_ingred_guar_hide_01","Guar Hide",""
"TR_m7_NVA8_ingred_wolf_pelt","Wolf Pelt",""
"TR_m7_NVA8_snowbear_pelt","Snow Bear Pelt",""
"TR_m7_q_guarliver","Guar Liver",""
"TR_m7_q_Ns_IC8_gem1","Ametrine",""
"TR_m7_q_Ns_IC8_gem2","Ruby",""
"TR_m7_q_Ns_IC8_gem3","Emerald",""
"TR_m7_q_Ns_IC8_gem4","Sapphire",""
"TR_m7_q_Ns_IC8_gem5","Amethyst",""
"TR_m7_q_Ns_IC8_gem6","Garnet",""
"TR_m7_q_Ns_IC8_gem7","Topaz",""
"TR_m7_q_Ns_IC8_gem8","Onyx",""
"TR_m7_q_Ns_IC8_gem9","Raw Gold",""
