"id","name","tags"
"TR_AldIuval_AbndBarrack_key","Key to Barracks",""
"TR_AldIuval_AbndTavern_key","Tavern Key",""
"TR_Armun_i03_Bazak_key","Key to Bazak",""
"TR_i-238_KEY_01","Thelaro Chapels Key",""
"TR_i-238_KEY_02","Thelaro Family Tombs Key",""
"TR_i-238_KEY_03","Thelaro Maintenance Key",""
"TR_i2-342-Ind_Key","Marisanibal Key",""
"TR_i2-342-Ind_Slave Key","Marisanibal Slave Key",""
"TR_i2-66_key_DD08","Akamora Jail Key",""
"TR_i2_445_DummyKeyA","Necrom Temple Key 'A'",""
"TR_i2_445_DummyKeyS","Necrom Temple Key 'S'",""
"TR_i2_445_DummyKeyV","Necrom Temple Key 'V'",""
"TR_i2_445_key_A","Ornate Key Marked 'A'",""
"TR_i2_445_key_S","Ornate Key Marked 'S'",""
"TR_i2_445_key_V","Ornate Key Marked 'V'",""
"TR_i2_445_schematic","Dwemer Schematic",""
"TR_i2_445_SealingSkull","Dolesi Rothalor's Skull",""
"TR_i2_key_i340_slaves","Berantus Slave Key",""
"TR_i3-276_key-lower","Iron Key",""
"TR_i3-276_key-upper","Iron Key",""
"TR_i3-279-room","Silver Key",""
"TR_i3-283_key_vault","Long Silver Key",""
"TR_i3-287_chests","Iron Key",""
"TR_i3-287_Door","Silver Key",""
"TR_i3-287_Door2","Ornate Steel Key",""
"TR_i3-287_key_wall","Corroded Key",""
"TR_i3-591_RaathimLichgateKey","Ancient Key",""
"TR_i3-702_key_small_chest","Small Key",""
"TR_i3-721-cellar","Nickel Key",""
"TR_i3-721-CHESTS","Bronze Key",""
"TR_i3-721-treasure","Ornate Copper Key",""
"TR_i3-743_VereKey","Veremmu Gate Key",""
"TR_i3-743_VereKey2","Veremmu Minor Chest Key",""
"TR_i3-743_VereKey3","Veremmu Major Chest Key",""
"TR_i3-762_Key_Chest","Worn Iron Key",""
"TR_i3-762_Key_Door","Old Door Key",""
"TR_i3-775-Imp_key","Bronze Key",""
"TR_i3-789-Ind_Key","Vhul Tradehouse Key",""
"TR_i4-292_slavekey","Slave Key",""
"TR_key_divayth01","Divayth's 567th Key",""
"TR_key_divayth02","Divayth's 590th Key",""
"TR_key_divayth03","Divayth's 601st Key",""
"TR_key_divayth04","Divayth's 899th Key",""
"TR_key_divayth05","Divayth's 700th Key",""
"TR_key_i3-686-Cellar","Steel Key",""
"TR_key_i3-686-prison","Long Silver Key",""
"TR_key_i3-686","Nickel Key",""
"TR_key_i3-730_satkey","Sathis' Key",""
"TR_key_i4-398_Old_key","Litu-Dur Chest Key",""
"TR_key_i4_284","Copper Key",""
"TR_key_i4_517_chest","Chest Key",""
"TR_key_m3-290_undercroft","Old Key",""
"TR_key_m3-664_slavedoors","Salandus Slave Key",""
"TR_key_m3-695-Ind","Bedroom Key",""
"TR_key_m4-516_chest","Old Key",""
"TR_key_m4_Mortenius","Mortenius' Key",""
"TR_m0_Firemoth_cell_key","Firemoth Prison Cell Key",""
"TR_m0_Firemoth_Commander","Firemoth Commander's Key",""
"TR_m1_bandit_key_i1_23","Dagorda Cavern Key",""
"TR_m1_BO_DungeonKey","Bal Oyra Dungeon Key",""
"TR_m1_BO_LighthouseKey","Lighthouse Key",""
"TR_m1_BO_muskfly_oil","Lighthouse Oil",""
"TR_m1_C_Eyeball88_Devote","Ashes of D. McRae",""
"TR_m1_Duchess_Key_01","Small Key",""
"TR_m1_Ebonyblade_Chest_Key","Chest Key",""
"TR_m1_EEC_HareCoherer","Professor Hare's Coherer",""
"TR_m1_EEC_ZarenPack","Zaren's Package",""
"TR_m1_faruna_roll_pin","Faruna's Rolling Pin",""
"TR_m1_FW_IC2_Package","Package for Anice Derielle",""
"TR_m1_FW_prisonKey","Firewatch Prison Key",""
"TR_m1_guarkey_i1-65-tel","Old Rusty Key",""
"TR_m1_i1-4_key_slavedoor","Rusted Key",""
"TR_m1_ITO_AL_KeyElfmaid","Elfmaid Key",""
"TR_m1_ITO_AL_KeyIcebreaker01","Allia Aberus' Key",""
"TR_m1_ITO_AL_KeyIcebreaker02","Icebreaker Keep Dungeons Key",""
"TR_m1_ITO_AL_KeyMarthen","Marthen Redri's Key",""
"TR_m1_ITO_AL_KeyNirthfly","Nirthfly Captain's Key",""
"TR_m1_ITO_AL_KeyNorthernWind","Jackarn's Key",""
"TR_m1_ITO_AL_KeyPioneersWake","Pioneer's Wake Captain's Key",""
"TR_m1_ITO_AL_KeySmith","Marcella's Key",""
"TR_m1_ITO_AL_KeyTelRivus","Tel Rivus Key",""
"TR_m1_ITO_AL_KeyTrader","Jana Livia's Key",""
"TR_m1_ITO_DU_KeyEbunammidan","Ebunammidan Key",""
"TR_m1_ITO_FW_KeyAntoni","Antoni Manor Key",""
"TR_m1_ITO_FW_KeyApothecary","Mist-Eyes' Key",""
"TR_m1_ITO_FW_KeyArmorer","Chatal Mendor's Key",""
"TR_m1_ITO_FW_KeyBarrister","Urelan Daranith's Key",""
"TR_m1_ITO_FW_KeyBookseller","Edheldur's Key",""
"TR_m1_ITO_FW_KeyBrazenMaiden","Bidsi Vidryon's Key",""
"TR_m1_ITO_FW_KeyBriricca","Briricca Vaults Key (Firewatch)",""
"TR_m1_ITO_FW_KeyC&E","Census & Excise Key (Firewatch)",""
"TR_m1_ITO_FW_KeyChapel","Tarom's Key",""
"TR_m1_ITO_FW_KeyClothier01","Fedrin Adlan's Key",""
"TR_m1_ITO_FW_KeyCollege01","Firewatch College Library Key",""
"TR_m1_ITO_FW_KeyCollege02","Library Restricted Section Key",""
"TR_m1_ITO_FW_KeyCollege03","Firewatch College Museum Key",""
"TR_m1_ITO_FW_KeyCollege04","Tedyne Llarom's Key",""
"TR_m1_ITO_FW_KeyCollege05","Adrieldan's Key",""
"TR_m1_ITO_FW_KeyCollege06","Theraile Salerne's Key",""
"TR_m1_ITO_FW_KeyDrakelightBeaco","Drakelight Beacon Key",""
"TR_m1_ITO_FW_KeyDustmoth01","Thromil's Key",""
"TR_m1_ITO_FW_KeyDustmoth02","Fort Dustmoth Dungeons Key",""
"TR_m1_ITO_FW_KeyEEC01","Firewatch EEC Office Key",""
"TR_m1_ITO_FW_KeyEEC02","Firewatch EEC Basement Key",""
"TR_m1_ITO_FW_KeyEmberKeep01","Duchess Jandacia's Key",""
"TR_m1_ITO_FW_KeyEmberKeep02","Jula Minthri's Key",""
"TR_m1_ITO_FW_KeyEmberKeep03","Ember Keep Staff Key",""
"TR_m1_ITO_FW_KeyEmberKeep04","Selura's Key",""
"TR_m1_ITO_FW_KeyEmberKeep05","Listiele Rirne's Key",""
"TR_m1_ITO_FW_KeyEmberKeep06","Ember Keep Treasure Chamber Key",""
"TR_m1_ITO_FW_KeyEmberKeep07","Garrus Mellorus' Key",""
"TR_m1_ITO_FW_KeyFG","Fighters Guild Key (Firewatch)",""
"TR_m1_ITO_FW_KeyGalleon","Captain Garz's Key",""
"TR_m1_ITO_FW_KeyHowlingNoose","Howling Noose Basement Key",""
"TR_m1_ITO_FW_KeyJeweler","Destarmion's Key",""
"TR_m1_ITO_FW_KeyKulTei","Kul-Tei's Key",""
"TR_m1_ITO_FW_KeyMelia","Melia Aurivia's Key",""
"TR_m1_ITO_FW_KeyNavyBase01","Admiral Kuvir's Key",""
"TR_m1_ITO_FW_KeyNavyBase_02","Tania Rautrine's Key",""
"TR_m1_ITO_FW_KeyNorShip","Grey-Walker Hold Key",""
"TR_m1_ITO_FW_KeyOdunia","Odunia Hare's Key",""
"TR_m1_ITO_FW_KeyPainter","Lelu Velald's Key",""
"TR_m1_ITO_FW_KeyQueensCutlass","Queen's Cutlass Basement Key",""
"TR_m1_ITO_FW_KeyRoban","Roban's Key",""
"TR_m1_ITO_FW_KeySavri","Savri Hlervu's Key",""
"TR_m1_ITO_FW_KeySewersOF","Rusty Key",""
"TR_m1_ITO_FW_KeySewersUQ","Corroded Key",""
"TR_m1_ITO_FW_KeySewersVQ","Vaynth Quarter Safehouse Key",""
"TR_m1_ITO_FW_KeySilverSerpent","Polanna's Key",""
"TR_m1_ITO_FW_KeyTheran","Theran Arlethi's Key",""
"TR_m1_ITO_FW_KeyTorbald","Torbald Green-Hull's Key",""
"TR_m1_ITO_FW_KeyVantus01","Vantus Mine Key",""
"TR_m1_ITO_FW_KeyVantus02","Vantus Manor Key",""
"TR_m1_ITO_FW_KeyWarehouse01","Ervilla Deschamp's Key",""
"TR_m1_ITO_FW_KeyWarehouse02","Kojan's Key",""
"TR_m1_ITO_FW_KeyWarehouse03","Firewatch Warehouse Key",""
"TR_m1_ITO_FW_KeyWatchtowers","Firewatch Towers Key",""
"TR_m1_ITO_FW_Q_KeyGorinia","Gorinia's Key",""
"TR_m1_ITO_KoranyonKey","Koranyon Propylon Chamber Key",""
"TR_m1_ITO_Onimushili_slavekey","Rusty Key",""
"TR_m1_key_(33,21)DwemerKey","Dwarven key",""
"TR_m1_key_df","Engraved Key ""D.F""",""
"TR_m1_key_FW_kitchen","Brass Key",""
"TR_m1_key_FW_lighthouse","Firewatch Lighthouse Key",""
"TR_m1_key_FW_storage_01","Storage Key",""
"TR_m1_key_PT_Redram","Redram Oran's Key",""
"TR_m1_key_Q_Niv_Lish","TEM Ghostrunner Chest Key",""
"TR_m1_key_slave_alendu","Alendu Plantation Slave Key",""
"TR_m1_key_spzGreenEyes","Coppery Key",""
"TR_m1_key_taaldrun","Small Key",""
"TR_m1_key_tomb_i62","Tel Darys Tomb Key",""
"TR_m1_key_Workershack_i4-268","Iron Key",""
"TR_m1_misc_key_i63","Key to Research Cells",""
"TR_m1_Nandor_Key","Nandor's Key",""
"TR_m1_Q50_Cloth_1","High Quality Bolt of Cloth",""
"TR_m1_Q50_Cloth_2","High Quality Bolt of Cloth",""
"TR_m1_Q50_GO2_FineThread","Spool of Fine Thread",""
"TR_m1_Q52_key_Gwai-lo_uni","Ornamental Key",""
"TR_m1_Q59_MaI_key","Redram Oran's Key",""
"TR_m1_q_57_FeatherSpear","Feather Spear",""
"TR_m1_q_AttackPiece2","Rusty Dwemer Cog",""
"TR_m1_q_AttackPiece3","Ornate Dwemer Goblet",""
"TR_m1_q_AttackPiece4","Dwemer Tube",""
"TR_m1_q_DiamondSample","Diamond Sample",""
"TR_m1_Q_HernesSoul","Greater Soul Gem (Herne)",""
"TR_m1_Q_OlivieKey","Slave Bracer Key",""
"TR_m1_q_RR_MQ_BossKey","Catacombs Chamber Key",""
"TR_m1_Q_Yashazmus_KEY","Yashazmus Slave Key",""
"TR_m1_RR_KeyRatagos","Ratagos' Key",""
"TR_m1_slave_key_i1_23","Dagorda Cavern Slave Key",""
"TR_m1_SoulGem_curse_i62","Grand Soul Gem",""
"TR_m1_Tomb4_key","Old key",""
"TR_m1_Voun_AshesUNI01","Ashes of Dram",""
"TR_m1_Voun_AshesUNI02","Ashes of Maelo Tranem",""
"TR_m1_Voun_AshesUNI03","Ashes of Vasinu Dreloth",""
"TR_m1_Voun_AshesUNI04","Ashes of Relor Hlaalu",""
"TR_m1_Voun_AshesUNI05","Ashes of Sulori Veno",""
"TR_m1_Voun_Forge_Key01","Key to Forge",""
"TR_m1_Yamanakal_Spoon","Shiny Silver Spoon",""
"TR_m2-344_key_slave","Ahhesha Slave Key",""
"TR_m2_231_key_guardtower","Thin Steel Key",""
"TR_m2_231_key_Tomaril","Tomaril Family Key",""
"TR_m2_A9_Savani_key","Savani House Key",""
"TR_M2_bthangthmuzand_key","Bthangthamuzand Entry Key",""
"TR_m2_Bthang_key2","Key from Lower Bthangthamuzand",""
"TR_m2_DrolarManor_key","Drolar Manor Key",""
"TR_m2_dwrv_artifact70_01","Dwemer Schematic",""
"TR_m2_enduur_key_chest","Key to En-Duur's chest",""
"TR_m2_Gilan_Bones","Bone",""
"TR_m2_i274_key_daegrottochest","Ancient Key",""
"TR_m2_i386_key1","Long Silver Key",""
"TR_m2_i386_key2","Steel Key",""
"TR_m2_i386_key3","Silver Key",""
"TR_m2_i394_key_DD08","Ornate Copper Key",""
"TR_m2_ITO_HE_KeyBarrister","Janson's Key",""
"TR_m2_ITO_HE_KeyC&E","Census and Excise Key (Helnim)",""
"TR_m2_ITO_HE_KeyEggMine","Tel Gilan Eggmine Key",""
"TR_m2_ITO_HE_KeyFeliwa","Feliwa's Key",""
