"id","name","tags"
"TR_Aug_m2_pilgrim_staff","Pilgrim's staff",""
"TR_FM_Wp_Decay","Decay",""
"TR_FM_Wp_Eclipse","Eclipse",""
"TR_FM_Wp_StaffDraconicEvasion","Staff of Draconic Evasion",""
"TR_i2-307_Staff_Fire","Dwarven Staff Of Fire",""
"TR_i2-410_silver longsword_brok","Silver Longsword",""
"TR_i2_313_axe Silversling","Silversling",""
"TR_i2_445_Muatra_dummy","Muatra",""
"TR_i3-217_Knife","Knife",""
"TR_i3-476-Ind_staff","Dalen-Zanchu Staff",""
"tr_i4-507_w_hla_club","Utu-Ihha's Dreugh Club",""
"TR_i4-517_rathal_staff","Giron Rathal's Staff",""
"TR_m1_Adadpaliki_Vhammer","Steel Viper Longhammer",""
"tr_m1_bthal_oathrung_dummy","Oathrung",""
"TR_m1_CS_Flamespear","Glass Flamespear",""
"TR_m1_dae_naginata_curse_i62","Daedric Naginata",""
"TR_m1_FW_IC5_StaffHomecoming","Silver Staff of Homecoming",""
"TR_m1_FW_IC6_DivineLightRod","Rod of Divine Light",""
"TR_m1_FW_IC_TaldeusSword","Sword of Taldeus",""
"TR_m1_FW_MG09_Witherbrand","Witherbrand",""
"TR_m1_FW_QueensCutlassUNI","Cutlass of Queen Barenziah",""
"TR_m1_FW_TG3_HronDagger","Hrongal's Nordic Dagger",""
"TR_m1_GalanBrandtScimitar","Brandt's Adamantium Scimitar",""
"TR_m1_IC_Warhammer","Warhammer of Empire Everlasting",""
"TR_m1_IL_reflectkatana","Ebony Mirror-Blade",""
"TR_m1_IL_Thromilspear","Ebony Bardiche of Corruption",""
"TR_m1_IL_Vyciusspear","Dwarven Longspear of Extraction",""
"TR_m1_Niv_q_LishAxe","Lish gro-Garrok's Axe",""
"TR_m1_Q50_G05_Dagger","Dull Chitin Dagger",""
"TR_m1_Q50_GO5_Fake_axe_uni","Axe of Boethiah's Cleaving",""
"TR_m1_Q50_GO5_Real_axe_uni","Axe of Boethiah's Cleaving",""
"TR_m1_q_AttackPiece6","Dwarven Shortsword",""
"TR_m1_q_DeliveryPick","Miner's Pick",""
"TR_m1_q_DeliveryPickEx1","Miner's Pick",""
"TR_m1_q_DeliveryPickEx2","Miner's Pick",""
"TR_m1_q_doublemean_staff","Arvyn Helevel's Staff",""
"TR_m1_q_Dr2Reward","Soul's Hunger",""
"TR_m1_q_DwarvenFirestaff","Mzulangth's Fire Wielder",""
"TR_m1_q_Mithras Stanchion","Mithras' Stanchion",""
"tr_m1_q_molag_saber","Soul Anchor",""
"tr_m1_q_molag_saber_act","Soul Anchor",""
"tr_m1_q_molag_trident","Soul Anchor",""
"TR_m1_q_NatayaLongsword","Blightcutter",""
"TR_m1_q_RanSword1","Silver Longsword",""
"TR_m1_q_RanSword2","Silver Longsword",""
"TR_m1_q_RathraStaff","Traitor's Bane",""
"TR_m1_Q_tanto_murder_weapon","Iron Tanto",""
"TR_m1_q_TT_7_Reward","Staff of Meris' Grace",""
"TR_m1_Q_woebringer","Woebringer",""
"TR_m1_SaberStraits","Saber of the Straits",""
"TR_m1_ShalathChampBlade","Sparking Imperial Dai-katana",""
"TR_m1_Soulburn","Soulburn",""
"TR_m1_SSoW_cursed_i62","Silver Staff of War",""
"TR_m1_TW_InsatiableSword","Insatiable Sword",""
