"id","name","tags"
"T_Aka_Regular_Shield_01","Akaviri Shield",""
"T_Arg_Hist_Cuirass_01","Hist Cuirass",""
"T_Arg_Hist_Cuirass_Freedom","Hist Cuirass of Freedom",""
"T_Arg_Hist_Cuirass_Visitor","Hist Cuirass of the Visitor",""
"T_Ayl_Saliache_Boots_01","Saliache Boots",""
"T_Ayl_Saliache_BracerL_01","Saliache Left Bracer",""
"T_Ayl_Saliache_BracerR_01","Saliache Right Bracer",""
"T_Ayl_Saliache_Cuirass_01","Saliache Cuirass",""
"T_Ayl_Saliache_Greaves_01","Saliache Greaves",""
"T_Ayl_Saliache_Helm_01","Saliache Helm",""
"T_Ayl_Saliache_PauldronL_01","Saliache Left Pauldron",""
"T_Ayl_Saliache_PauldronR_01","Saliache Right Pauldron",""
"T_Ayl_Saliache_Shield_01","Saliache Shield",""
"T_Bre_BjoulsaeFur_Helm_01","Bjoulsae Fur Helm",""
"T_Bre_Ep_HatWizard_01","Expensive Wizard Hat",""
"T_Bre_Ep_HatWizard_02","Expensive Wizard Hat",""
"T_Bre_Mithril_Shield_01","Mithril Shield",""
"T_Bre_TourneyHeater_Shield_FG","Wooden Heater Shield",""
"T_Bre_TourneyHeater_Shield_HDre","Wooden Heater Shield",""
"T_Bre_TourneyHeater_Shield_HHla","Wooden Heater Shield",""
"T_Bre_TourneyHeater_Shield_HInd","Wooden Heater Shield",""
"T_Bre_TourneyHeater_Shield_HRed","Wooden Heater Shield",""
"T_Bre_TourneyHeater_Shield_HTel","Wooden Heater Shield",""
"T_Bre_TourneyHeater_Shield_MAS","Wooden Heater Shield",""
"T_Bre_TourneyHeater_Shield_MG","Wooden Heater Shield",""
"T_Bre_TourneyHeater_Shield_OE","Wooden Heater Shield",""
"T_Bre_UNI_LordlyHeaterShield","Shield of the Lord Commander",""
"T_Bre_UNI_TricksterShield","Shield of the Trickster",""
"T_Bre_WoodenHeater_Shield_01","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_02","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_03","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_04","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_05","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_06","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_07","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_08","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_09","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_10","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_11","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_12","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_13","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_14","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_15","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_Gn","Wooden Heater Shield",""
"T_Bre_WoodenHeater_Shield_Rose","Wooden Heater Shield",""
"T_Com_Adamant_Helm_01","Adamantium Helm",""
"T_Com_Adamant_Shield_01","Adamantium Shield",""
"T_Com_Adamant_TowerShield_01","Adamantium Tower Shield",""
"T_Com_Bound_Greaves_01","Bound Greaves",""
"T_Com_Bound_PauldronL_01","Bound Left Pauldron",""
"T_Com_Bound_PauldronR_01","Bound Right Pauldron",""
"T_Com_Chain_Cuirass_01","Chain Cuirass",""
"T_Com_Chain_Cuirass_02","Chain Cuirass",""
"T_Com_Chain_Cuirass_03","Chain Cuirass",""
"T_Com_Cm_HatClothCoif_01","Common Cloth Coif",""
"T_Com_Cm_HatClothCoif_02","Common Cloth Coif",""
"T_Com_Cm_Hat_01","Common Hat",""
"T_Com_Cm_Hat_02","Common Hat",""
"T_Com_Cm_Hat_03","Common Hat",""
"T_Com_Cm_Hat_04","Common Hat",""
"T_Com_Cm_Hat_05","Common Hat",""
"T_Com_Cm_Hat_06","Common Hat",""
"T_Com_Cm_Hat_Haggling","Hat of Haggling",""
"T_Com_Eq_Hat_01","Exquisite Hat",""
"T_Com_Et_HatClothCoif_01","Extravagant Cloth Coif",""
"T_Com_Et_Hat_01","Extravagant Hat",""
"T_Com_Et_Hat_02","Extravagant Hat",""
"T_Com_Et_Hat_03","Extravagant Hat",""
"T_Com_Et_Hat_04","Extravagant Hat",""
"T_Com_Et_Hat_05","Extravagant Hat",""
"T_Com_Et_Hat_Foresight","Cap of Foresight",""
"T_Com_Et_Hat_Imperious","Imperious Cap",""
"T_Com_FoolsHat_01","Fool's Hat",""
"T_Com_FoolsHat_02","Fool's Hat",""
"T_Com_IronSkull_PauldronL_01","Gruesome Iron Left Pauldron",""
"T_Com_IronSkull_PauldronR_01","Gruesome Iron Right Pauldron",""
"T_Com_IronSpike_Helm_01","Spiked Iron Helmet",""
"T_Com_IronSpike_PauldronL_01","Spiked Iron Left Pauldron",""
"T_Com_IronSpike_PauldronR_01","Spiked Iron Right Pauldron",""
"T_Com_Iron_Boots_01","Iron Boots",""
"T_Com_Iron_Boots_02","Iron Boots",""
"T_Com_Iron_BracerL_01","Iron Left Bracer",""
"T_Com_Iron_BracerL_02","Iron Left Bracer",""
"T_Com_Iron_BracerR_01","Iron Right Bracer",""
"T_Com_Iron_BracerR_02","Iron Right Bracer",""
"T_Com_Iron_Cuirass_01","Iron Cuirass",""
"T_Com_Iron_Cuirass_02","Iron Cuirass",""
"T_Com_Iron_Greaves_01","Iron Greaves",""
"T_Com_Iron_Greaves_02","Iron Greaves",""
"T_Com_Iron_Helm_01","Iron Helmet",""
"T_Com_Iron_Helm_02","Iron Helmet",""
"T_Com_Iron_Helm_03","Iron Helmet",""
"T_Com_Iron_Helm_04","Iron Helmet",""
"T_Com_Iron_Helm_Open","Iron Helmet",""
"T_Com_Iron_Helm_Open_02","Iron Helmet",""
"T_Com_Iron_PauldronL_01","Iron Left Pauldron",""
"T_Com_Iron_PauldronL_02","Iron Left Pauldron",""
"T_Com_Iron_PauldronR_01","Iron Right Pauldron",""
"T_Com_Iron_PauldronR_02","Iron Right Pauldron",""
"T_Com_SteelSpike_PauldronL_01","Spiked Steel Left Pauldron",""
"T_Com_SteelSpike_PauldronR_01","Spiked Steel Right Pauldron",""
"T_Com_Steel_Boots_Consuming","Boots of Consuming Indwelling",""
"T_Com_Steel_Boots_Creeping","Boots of the Creeping Things",""
"T_Com_Steel_Boots_Glacial","Boots of Glacial Hue",""
"T_Com_Steel_Boots_Perfection","Boots of Exquisite Perfection",""
"T_Com_Steel_Cuirass_01","Steel Cuirass",""
"T_Com_Steel_Cuirass_02","Steel Cuirass",""
"T_Com_Steel_Cuirass_03","Steel Cuirass",""
"T_Com_Steel_Cuirass_04","Steel Cuirass",""
"T_Com_Steel_Cuirass_DuskDawn","Cuirass of Dusk and the Dawn",""
"T_Com_Steel_Cuirass_FinalVirtue","Cuirass of Final Virtue",""
"T_Com_Steel_Cuirass_Outermost","Cuirass of the Outermost Wastes",""
"T_Com_Steel_Cuirass_ScalyPelt","Cuirass of the Scaly Pelt",""
"T_Com_Steel_Cuirass_Steelhearth","Cuirass of Steelhearth",""
"T_Com_Steel_GauntletL_RainFire","L Gauntlet of the Rain of Fire",""
"T_Com_Steel_GauntletL_Scathing","Left Gauntlet of Scathing",""
"T_Com_Steel_GauntletL_Summer","L Gauntlet of the Summer's Day",""
"T_Com_Steel_GauntletL_Wonder","L Gauntlet of Expectant Wonder",""
"T_Com_Steel_GauntletR_RainFire","R Gauntlet of the Rain of Fire",""
"T_Com_Steel_GauntletR_Scathing","Right Gauntlet of Scathing",""
"T_Com_Steel_GauntletR_Summer","R Gauntlet of the Summer's Day",""
"T_Com_Steel_GauntletR_Wonder","R Gauntlet of Expectant Wonder",""
"T_Com_Steel_Greaves_BitingPains","Greaves of the Biting Pains",""
"T_Com_Steel_Greaves_Kings","Greaves of Kings",""
"T_Com_Steel_Greaves_StampToad","Greaves of Stamp of the Toad",""
"T_Com_Steel_Greaves_Unrequited","Greaves of Unrequited Intent",""
"T_Com_Steel_Helm_01","Steel Helm",""
"T_Com_Steel_Helm_Despair","Helmet of Despair",""
"T_Com_Steel_Helm_Open_01","Steel Helm",""
"T_Com_Steel_Helm_Open_02","Steel Helm",""
"T_Com_Steel_Helm_Preciptious","Helm of Precipitous Revelation",""
"T_Com_Steel_Helm_TongueWyrm","Helm of the Tongue of the Wyrm",""
"T_Com_Steel_Helm_WindingRoad","Helmet of the Winding Road",""
"T_Com_Steel_PauldronL_01","Steel Left Pauldron",""
"T_Com_Steel_PauldronL_02","Steel Left Pauldron",""
"T_Com_Steel_PauldronL_03","Steel Left Pauldron",""
"T_Com_Steel_PauldronL_MisHand","L Pauldron of Mischievous Hand",""
"T_Com_Steel_PauldronL_MonkeyApp","L Pauldron Monkey Apprehension",""
"T_Com_Steel_PauldronL_Sacred","Left Pauldron of Sacred Honor",""
"T_Com_Steel_PauldronL_WinterWin","L Pauldron of Winter's Winds",""
"T_Com_Steel_PauldronR_01","Steel Right Pauldron",""
"T_Com_Steel_PauldronR_02","Steel Right Pauldron",""
"T_Com_Steel_PauldronR_03","Steel Right Pauldron",""
"T_Com_Steel_PauldronR_MisHand","R Pauldron of Mischievous Hand",""
"T_Com_Steel_PauldronR_MonkeyApp","R Pauldron Monkey Apprehension",""
"T_Com_Steel_PauldronR_Sacred","Right Pauldron of Sacred Honor",""
"T_Com_Steel_PauldronR_WinterWin","R Pauldron of Winter's Winds",""
"T_Com_UNI_HandOfGlory_Helnim","Hand of Glory",""
"T_Com_UNI_Requiem","Requiem",""
"T_Cr_Goblin_Helm_01","Goblin Helmet",""
"T_Cr_Goblin_PauldronL_01","Goblin Left Pauldron",""
"T_Cr_Goblin_PauldronR_01","Goblin Right Pauldron",""
"T_Cr_Goblin_Shield_01","Goblin Shield",""
"T_Dae_Alternate_Boots_01","Daedric Boots",""
"T_Dae_Alternate_Buckler_01","Daedric Buckler",""
"T_Dae_Alternate_Cuirass_01","Daedric Cuirass",""
"T_Dae_Alternate_GauntletL_01","Daedric Left Gauntlet",""
"T_Dae_Alternate_GauntletR_01","Daedric Right Gauntlet",""
"T_Dae_Alternate_Greaves_01","Daedric Greaves",""
"T_Dae_Alternate_HelmOpen_01","Daedric Open Helm",""
"T_Dae_Alternate_Helm_01","Daedric Helm",""
"T_Dae_Alternate_PauldronL_01","Daedric Left Pauldron",""
"T_Dae_Alternate_PauldronR_01","Daedric Right Pauldron",""
"T_Dae_Gold_Boots_01","Golden Saint Boots",""
"T_Dae_Gold_Cuirass_01","Golden Saint Cuirass",""
"T_Dae_Gold_GauntletL_01","Golden Saint Left Gauntlet",""
"T_Dae_Gold_GauntletR_01","Golden Saint Right Gauntlet",""
"T_Dae_Gold_Greaves_01","Golden Saint Greaves",""
"T_Dae_Gold_Helm_01","Golden Saint Helm",""
"T_Dae_Gold_PauldronL_01","Golden Saint Left Pauldron",""
"T_Dae_Gold_PauldronR_01","Golden Saint Right Pauldron",""
"T_Dae_Lord_Boots_01","Daedric Lord Boots",""
"T_Dae_Lord_GauntletL_01","Daedric Lord Left Gauntlet",""
"T_Dae_Lord_GauntletR_01","Daedric Lord Right Gauntlet",""
"T_Dae_Lord_Helm_01","Daedric Lord Helm",""
"T_Dae_Lord_PauldronL_01","Daedric Lord Left Pauldron",""
"T_Dae_Lord_PauldronR_01","Daedric Lord Right Pauldron",""
"T_Dae_Regular_HelmAberration_01","Daedric Face of Aberration",""
"T_Dae_Regular_HelmConsolat_01","Daedric Face of Consolation",""
"T_Dae_Regular_HelmHumiliat_01","Daedric Face of Humiliation",""
"T_Dae_Regular_HelmHumiliat_02","Daedric Face of Humiliation",""
"T_Dae_Regular_HelmRebellion_01","Daedric Face of Rebellion",""
"T_Dae_Regular_HelmRenewal_01","Daedric Face of Renewal",""
"T_Dae_Regular_PauldronL_01","Daedric Left Pauldron",""
"T_Dae_Regular_PauldronR_01","Daedric Right Pauldron",""
"T_Dae_Regular_ShieldTower_01","Daedric Tower Shield",""
"T_Dae_UNI_AuroranGauntletL","Auroran Left Gauntlet",""
"T_Dae_UNI_AuroranGauntletR","Auroran Right Gauntlet",""
"T_Dae_UNI_BootsOfAtronach","Boots of the Atronach",""
"T_Dae_UNI_BootsOfPeace_01","Boots of Peace",""
"T_Dae_UNI_BootsSaviorsHide","Boots of the Savior's Hide",""
"T_Dae_UNI_Fearstruck","Fearstruck",""
"T_Dae_UNI_GauntletOfPoor_L","Left Gauntlet of the Poor",""
"T_Dae_UNI_GauntletOfPoor_R","Right Gauntlet of the Poor",""
"T_Dae_UNI_GreavesSaviorsHide","Greaves of the Savior's Hide",""
"T_Dae_UNI_HelmLightWithin_01","Helm of Light Within",""
"T_Dae_UNI_HelmSaviorsHide","Helm of the Savior's Hide",""
"T_Dae_UNI_LGauntSaviorsHide","L Gauntlet of the Savior's Hide",""
"T_Dae_UNI_LMethatsPauldron","Lord Methats' Left Pauldron",""
"T_Dae_UNI_LPauldSaviorsHide","L Pauldron of the Savior's Hide",""
"T_Dae_UNI_Polyhedrascope_01","Bizarre Helmet",""
"T_Dae_UNI_RGauntSaviorsHide","R Gauntlet of the Savior's Hide",""
"T_Dae_UNI_RMethatsPauldron","Lord Methats' Right Pauldron",""
"T_Dae_UNI_RPauldSaviorsHide","R Pauldron of the Savior's Hide",""
"T_De_AlitHide_Boots_01","Alit Hide Boots",""
"T_De_AlitHide_BracerL_01","Alit Hide Left Bracer",""
"T_De_AlitHide_BracerR_01","Alit Hide Right Bracer",""
"T_De_AlitHide_Cuirass_01","Alit Hide Cuirass",""
"T_De_AlitHide_Greaves_01","Alit Hide Greaves",""
"T_De_AlitHide_HelmOpen_01","Alit Hide Open Helm",""
"T_De_AlitHide_Helm_01","Alit Hide Helm",""
"T_De_AlitHide_PauldronL_01","Alit Hide Left Pauldron",""
"T_De_AlitHide_PauldronR_01","Alit Hide Right Pauldron",""
"T_De_AlitHide_Shield_01","Alit Hide Shield",""
"T_De_AlitHide_TowerShield_01","Alit Hide Tower Shield",""
"T_De_AlmaRula_Helm_UNI","Mask of the Alma Rula",""
"T_De_BonemoldKragen_Helm_01","Native Kragen Bonemold Helm",""
"T_De_BonemoldKrage_Boots_01","Morath-An Bonemold Boots",""
"T_De_BonemoldKrage_Cuirass_01","Morath-An Bonemold Cuirass",""
"T_De_BonemoldKrage_GauntletL_01","Morath-An Bonemold L Gauntlet",""
"T_De_BonemoldKrage_GauntletR_01","Morath-An Bonemold R Gauntlet",""
"T_De_BonemoldKrage_Greaves_01","Morath-An Bonemold Greaves",""
"T_De_BonemoldKrage_Helm_01","Native Morath-An Bonemold Helm",""
"T_De_BonemoldKrage_PauldronL_01","Morath-An Bonemold L Pauldron",""
"T_De_BonemoldKrage_PauldronR_01","Morath-An Bonemold R Pauldron",""
"T_De_BonemoldMarad_Cuirass_01","Maradlai Bonemold Cuirass",""
"T_De_BonemoldMarad_Helm_01","Native Maradlai Bonemold Helm",""
"T_De_BonemoldMarad_Helm_02","Native Maradlai Veteran Helm",""
"T_De_BonemoldMarad_PauldronL_01","Maradlai Bonemold L Pauldron",""
"T_De_BonemoldMarad_PauldronR_01","Maradlai Bonemold R Pauldron",""
"T_De_BonemoldMarad_Shield_01","Maradlai Bonemold Shield",""
"T_De_BonemoldSacred_Boots_01","Sacred Lands Boots",""
"T_De_BonemoldSacred_Cuirass_01","Sacred Lands Cuirass",""
"T_De_BonemoldSacred_GauntL_01","Sacred Lands Left Gauntlet",""
"T_De_BonemoldSacred_GauntR_01","Sacred Lands Right Gauntlet",""
"T_De_BonemoldSacred_Helm_01","Sacred Lands Helm",""
"T_De_BonemoldSacred_PauldL_01","Sacred Lands Left Pauldron",""
"T_De_BonemoldSacred_PauldR_01","Sacred Lands Right Pauldron",""
"T_De_BonemoldSammas_Helm_01","Native Sammas Bonemold Helm",""
"T_De_Bonemold_Chuzei_Boots","Chuzei Bonemold Boots",""
