"id","name","tags"
"T_Ayl_Amulet_01","Ayleid Amulet",""
"T_Ayl_Ring_01","Ayleid Ring",""
"T_Ayl_Ring_02","Ayleid Ring",""
"T_Bre_Cm_Ring_01","Common Ring",""
"T_Bre_Cm_Ring_02","Common Ring",""
"T_Bre_Cm_Ring_03","Common Ring",""
"T_Bre_Cm_Ring_04","Common Ring",""
"T_Bre_Cm_Ring_05","Common Ring",""
"T_Bre_Ep_Ring_01","Expensive Ring",""
"T_Bre_Ep_Ring_02","Expensive Ring",""
"T_Bre_Ep_Ring_03","Expensive Ring",""
"T_Bre_Ep_RobeWizard_01","Expensive Wizard Robe",""
"T_Bre_Et_Ring_01","Extravagant Ring",""
"T_Bre_Et_Ring_02","Extravagant Ring",""
"T_Bre_Ex_Ring_01","Exquisite Ring",""
"T_Com_Cm_Belt_ResistParalysis","Belt of Resist Paralysis",""
"T_Com_Cm_Pants_01","Common Pants",""
"T_Com_Cm_Pants_02","Common Pants",""
"T_Com_Cm_Pants_03","Common Pants",""
"T_Com_Cm_Pants_04","Common Pants",""
"T_Com_Cm_Pants_ResistParalysis","Pants of Resist Paralysis",""
"T_Com_Cm_Ring_DivineIntervent","Ring of Divine Intervention",""
"T_Com_Cm_Ring_RestoreConst","Ring of Restore Constitution",""
"T_Com_Cm_Ring_RestoreFinesse","Ring of Restore Finesse",""
"T_Com_Cm_Ring_RestoreFortitude","Ring of Restore Fortitude",""
"T_Com_Cm_Ring_RestoreSorcery","Ring of Restore Sorcery",""
"T_Com_Cm_Robe_ResistParalysis","Robe of Resist Paralysis",""
"T_Com_Cm_Shirt_01","Common Shirt",""
"T_Com_Cm_Shirt_02","Common Shirt",""
"T_Com_Cm_Shirt_03","Common Shirt",""
"T_Com_Cm_Shirt_04","Common Shirt",""
"T_Com_Cm_Shirt_ResistParalysis","Shirt of Resist Paralysis",""
"T_Com_Cm_Shoes_01","Common Shoes",""
"T_Com_Cm_Shoes_02","Common Shoes",""
"T_Com_Cm_Shoes_03","Common Shoes",""
"T_Com_Cm_Shoes_ResistParalysis","Shoes of Resist Paralysis",""
"T_Com_Cm_Skirt_01","Common Skirt",""
"T_Com_Ep_GloveL_01","Expensive Left Glove",""
"T_Com_Ep_GloveL_02","Expensive Left Glove",""
"T_Com_Ep_GloveL_03","Expensive Left Glove",""
"T_Com_Ep_GloveL_04","Expensive Left Glove",""
"T_Com_Ep_GloveL_Unseen","Glove of Unseen Hand",""
"T_Com_Ep_GloveR_01","Expensive Right Glove",""
"T_Com_Ep_GloveR_02","Expensive Right Glove",""
"T_Com_Ep_GloveR_03","Expensive Right Glove",""
"T_Com_Ep_GloveR_04","Expensive Right Glove",""
"T_Com_Ep_GloveR_Nimble","Glove of Nimble Fingers",""
"T_Com_Ep_Ring_FallingFirstBarr","Falling First Barrier Ring",""
"T_Com_Ep_Ring_FallingSecondBarr","Falling Second Barrier Ring",""
"T_Com_Ep_Robe_01","Expensive Robe",""
"T_Com_Ep_Shirt_01","Expensive Shirt",""
"T_Com_Ep_Shirt_02","Expensive Shirt",""
"T_Com_Ep_Shirt_03","Expensive Shirt",""
"T_Com_Ep_Shoes_01","Expensive Shoes",""
