"id","name","tags"
"tr_misc_exp_compass","Expensive Compass",""
"T_Arg_CeramicBottle_01","Ceramic Bottle",""
"T_Arg_CeramicBottle_02","Ceramic Bottle",""
"T_Arg_CeramicCup_01","Ceramic Cup",""
"T_Arg_CeramicCup_02","Ceramic Cup",""
"T_Arg_CeramicFlask_01","Ceramic Flask",""
"T_Arg_CeramicFlask_02","Ceramic Flask",""
"T_Arg_CeramicFlask_03","Ceramic Flask",""
"T_Arg_CeramicJug_01","Ceramic Jug",""
"T_Arg_CeramicJug_02","Ceramic Jug",""
"T_Arg_CeramicPitcher_01","Ceramic Pitcher",""
"T_Arg_CeramicPitcher_02","Ceramic Pitcher",""
"T_Arg_CeramicPlate_01","Ceramic Plate",""
"T_Arg_CeramicPlate_02","Ceramic Plate",""
"T_Arg_CeramicPot_01","Ceramic Pot",""
"T_Arg_CeramicPot_02","Ceramic Pot",""
"T_Arg_WoodenBowl_01","Wooden Bowl",""
"T_Arg_WoodenBowl_02","Wooden Bowl",""
"T_Arg_WoodenBowl_03","Wooden Bowl",""
"T_Arg_WoodenCup_01","Wooden Cup",""
"T_Arg_WoodenCup_02","Wooden Cup",""
"T_Arg_WoodenCup_03","Wooden Cup",""
"T_Arg_WoodenFlask_01","Wooden Flask",""
"T_Arg_WoodenFork_01","Wooden Fork",""
"T_Arg_WoodenJar_01","Wooden Jar",""
"T_Arg_WoodenKettle_01","Wooden Kettle",""
"T_Arg_WoodenKnife_01","Wooden Knife",""
"T_Arg_WoodenLadle_01","Wooden Ladle",""
"T_Arg_WoodenMatRolled_01","Wooden Mat",""
"T_Arg_WoodenMat_01","Wooden Mat",""
"T_Arg_WoodenPitcher_01","Wooden Pitcher",""
"T_Arg_WoodenPlate_01","Wooden Plate",""
"T_Arg_WoodenPlatter_01","Wooden Platter",""
"T_Arg_WoodenPlatter_02","Wooden Platter",""
"T_Arg_WoodenPot_01","Wooden Pot",""
"T_Arg_WoodenSpoon_01","Wooden Spoon",""
"T_Ayl_ClayBowl_01","Clay Bowl",""
"T_Ayl_ClayBowl_02","Clay Bowl",""
"T_Ayl_ClayBowl_03","Clay Bowl",""
"T_Ayl_ClayCup_01","Clay Cup",""
"T_Ayl_ClayJar_01","Clay Jar",""
"T_Ayl_ClayJar_02","Clay Jar",""
"T_Ayl_ClayPot_01","Clay Pot",""
"T_Ayl_ClayPot_02","Clay Pot",""
"T_Ayl_CoinBig_01","Large Ayleid Coin",""
"T_Ayl_CoinGold_01","Gold Ayleid Coin",""
"T_Ayl_CoinSquare_01","Square Ayleid Coin",""
"T_Ayl_DWelkyndInv_01","Inactive Loria Stone",""
"T_Ayl_Goblet_01","Ayleid Goblet",""
"T_Ayl_Hook_01","Ayleid Hook",""
"T_Ayl_Key_01","Ayleid Keystone",""
"T_Ayl_Knife_01","Ayleid Knife",""
"T_Ayl_Plate_01","Ayleid Plate",""
"T_Ayl_Scrollcase_01","Ayleid Scroll Case",""
"T_Ayl_Statuette_01","Ayleid Statuette",""
"T_Ayl_VarlaInv_01","Varla Stone",""
"T_Ayl_WelkyndInv_01","Welkynd Stone",""
"T_Bre_Basket_01","Basket",""
"T_Bre_Basket_02","Basket",""
"T_Bre_Basket_03","Basket",""
"T_Bre_Bottle_01","Bottle",""
"T_Bre_Bottle_02","Bottle",""
"T_Bre_Bottle_03","Jug",""
"T_Bre_Bottle_04","Jar",""
"T_Bre_Bottle_05","Bottle",""
"T_Bre_Bottle_06","Bottle",""
"T_Bre_Bottle_07","Jug",""
"T_Bre_Bottle_08","Jar",""
"T_Bre_Bottle_09","Bottle",""
"T_Bre_Bottle_10","Bottle",""
"T_Bre_Bottle_11","Jug",""
"T_Bre_Bottle_12","Jar",""
"T_Bre_Bottle_13","Bottle",""
"T_Bre_Bottle_14","Bottle",""
"T_Bre_Bottle_15","Jug",""
"T_Bre_Bottle_16","Jar",""
"T_Bre_BrassCandlestick_01","Brass Candlestick",""
"T_Bre_Bucket_01","Bucket",""
"T_Bre_ClayBowl_01","Clay Bowl",""
"T_Bre_ClayBowl_02","Clay Bowl",""
"T_Bre_ClayCup_01","Clay Cup",""
"T_Bre_ClayCup_02","Clay Cup",""
"T_Bre_ClayJug_01","Clay Jug",""
"T_Bre_ClayPitcher_01","Clay Pitcher",""
"T_Bre_ClayPlate_01","Clay Plate",""
"T_Bre_ClayPlatter_01","Clay Platter",""
"T_Bre_ClayVase_01","Clay Vase",""
"T_Bre_Clothbolt_01","Bolt of Cloth",""
"T_Bre_Clothbolt_02","Bolt of Cloth",""
"T_Bre_Clothbolt_03","Bolt of Cloth",""
"T_Bre_GreenGlassBeaker_01","Green Glass Beaker",""
"T_Bre_GreenGlassBowl_01","Green Glass Bowl",""
"T_Bre_GreenGlassCup_01","Green Glass Cup",""
"T_Bre_GreenGlassFlask_01","Green Glass Flask",""
"T_Bre_GreenGlassGoblet_01","Green Glass Goblet",""
"T_Bre_GreenGlassPitcher_01","Green Glass Pitcher",""
"T_Bre_GreenGlassPlate_01","Green Glass Plate",""
"T_Bre_GreenGlassPlatter_01","Green Glass Platter",""
"T_Bre_GreenGlassPot_01","Green Glass Pot",""
"T_Bre_GreenGlassPot_02","Green Glass Pot",""
"T_Bre_GreenGlassVase_01","Green Glass Vase",""
"T_Bre_GreenGlassVase_02","Green Glass Vase",""
