"id","name","tags"
"T_Arg_UNI_SpearUlaqth","Spear of Warchief Ulaqth",""
"T_Ayl_Arrow_01","Ayleid Arrow",""
"T_Ayl_Regular_Dagger_01","Ayleid Sacrificial Dagger",""
"T_Ayl_Regular_LongBlade_01","Ayleid Curved Long Blade",""
"T_Ayl_Regular_LongBow_01","Ayleid Longbow",""
"T_Ayl_Regular_ShortBlade_01","Ayleid Curved Short Blade",""
"T_Ayl_Regular_Spear_01","Ayleid Spear",""
"T_Ayl_Regular_WarAxe_01","Ayleid War Axe",""
"T_Ayl_UNI_Chillrend","Chillrend",""
"T_Ayl_UNI_Sinweaver","Sinweaver",""
"T_Bre_Artisan_Broadsword_01","Wayrest Artisan Broadsword",""
"T_Bre_Artisan_Claymore_01","Wayrest Artisan Claymore",""
"T_Bre_Artisan_Dagger_01","Wayrest Artisan Dagger",""
"T_Bre_Artisan_Longsword_01","Wayrest Artisan Longsword",""
"T_Bre_Artisan_Shortsword_01","Wayrest Artisan Shortsword",""
"T_Bre_Barrow_Sword_01","Ancient Nedic Longsword",""
"T_Bre_Fine_Dagger_01","Fine Betony Dagger",""
"T_Bre_Mithril_Claymore_01","Mithril Claymore",""
"T_Bre_Mithril_Dagger_01","Mithril Dagger",""
"T_Bre_Mithril_DaiKatana_01","Mithril Dai-Katana",""
"T_Bre_Mithril_Halberd_01","Mithril Halberd",""
"T_Bre_Mithril_Katana_01","Mithril Katana",""
"T_Bre_Mithril_Longsword_01","Mithril Longsword",""
"T_Bre_Mithril_Mace_01","Mithril Mace",""
"T_Bre_Mithril_Shordsword_01","Mithril Shortsword",""
"T_Bre_Mithril_Shortsword_01","Mithril Shortsword",""
"T_Bre_Mithril_Tanto_01","Mithril Tanto",""
"T_Bre_Mithril_ThrowKnife_01","Mithril Throwing Knife",""
"T_Bre_Mithril_Wakizashi_01","Mithril Wakizashi",""
"T_Bre_UNI_AzraMace","Azra's Mace",""
"T_Bre_UNI_Ruvheidesword","Ruvheide Barrow Sword",""
"T_Bre_UNI_ShardOfVehemence","Shard of Vehemence",""
"T_Bre_UNI_Staff_Lich","Staff of the Lich",""
"T_Ce_Bronze_Gpesh_01","Bronze Claymore",""
"T_Ce_Bronze_Kpesh_01","Bronze Longsword",""
"T_Com_Adamant_Arrow_01","Adamantium Arrow",""
"T_Com_Adamant_Bolt_01","Adamantium Bolt",""
"T_Com_Adamant_Bow_01","Adamantium Long Bow",""
"T_Com_Adamant_Broadsword_01","Adamantium Broadsword",""
"T_Com_Adamant_Club_01","Adamantium Club",""
"T_Com_Adamant_Crossbow_01","Adamantium Crossbow",""
"T_Com_Adamant_Dagger_01","Adamantium Dagger",""
"T_Com_Adamant_DaiKatana_01","Adamantium Dai-Katana",""
"T_Com_Adamant_Dart","Adamantium Dart",""
"T_Com_Adamant_DoubleAxe_01","Adamantium Battle Axe",""
"T_Com_Adamant_DoubleAxe_02","Adamantium Battle Axe",""
"T_Com_Adamant_Gisern","Adamantium Halberd",""
"T_Com_Adamant_Halberd_01","Adamantium Halberd",""
"T_Com_Adamant_Katana_01","Adamantium Katana",""
"T_Com_Adamant_Knife","Adamantium Throwing Knife",""
"T_Com_Adamant_Longsword_01","Adamantium Longsword",""
"T_Com_Adamant_Saber_01","Adamantium Saber",""
"T_Com_Adamant_Scimitar_01","Adamantium Scimitar",""
"T_Com_Adamant_Staff_01","Adamantium Staff",""
"T_Com_Adamant_Star","Adamantium Throwing Star",""
"T_Com_Adamant_Tanto_01","Adamantium Tanto",""
"T_Com_Adamant_Wakizashi_01","Adamantium Wakizashi",""
"T_Com_Adamant_WarAxe_01","Adamantium War Axe",""
"T_Com_Adamant_Warhammer_01","Adamantium Warhammer",""
"T_Com_Bound_Greatsword_01","Bound Greatsword",""
"T_Com_Bound_WarAxe_01","Bound War Axe",""
"T_Com_Bound_Warhammer_01","Bound Warhammer",""
"T_Com_CruelFirestormArrow_01","Cruel Firestorm Arrow",""
"T_Com_CruelFirestormBolt_01","Cruel Firestorm Bolt",""
"T_Com_CruelFirestormDart_01","Cruel Firestorm Dart",""
"T_Com_CruelFirestormStar_01","Cruel Firestorm Star",""
"T_Com_CruelFrostbloomArrow_01","Cruel Frostbloom Arrow",""
"T_Com_CruelFrostbloomBolt_01","Cruel Frostbloom Bolt",""
"T_Com_CruelFrostbloomDart_01","Cruel Frostbloom Dart",""
"T_Com_CruelFrostbloomStar_01","Cruel Frostbloom Star",""
"T_Com_CruelPoisonbloomArrow_01","Cruel Poisonbloom Arrow",""
"T_Com_CruelPoisonbloomBolt_01","Cruel Poisonbloom Bolt",""
"T_Com_CruelPoisonbloomDart_01","Cruel Poisonbloom Dart",""
"T_Com_CruelPoisonbloomStar_01","Cruel Poisonbloom Star",""
"T_Com_CruelShockbloomArrow_01","Cruel Shockbloom Arrow",""
"T_Com_CruelShockbloomBolt_01","Cruel Shockbloom Bolt",""
"T_Com_CruelShockbloomDart_01","Cruel Shockbloom Dart",""
"T_Com_CruelShockbloomStar_01","Cruel Shockbloom Star",""
"T_Com_DaedSteel_Broadsword_01","Witch Steel Broadsword",""
"T_Com_DaedSteel_Broadsword_Drem","Broadsword of Darkness",""
"T_Com_DaedSteel_Claymore_01","Witch Steel Claymore",""
"T_Com_DaedSteel_Claymore_Twilli","Claymore of Dusk",""
"T_Com_DaedSteel_Dagger_01","Witch Steel Dagger",""
"T_Com_DaedSteel_Dagger_Scamp","Dagger of Mischief",""
"T_Com_DaedSteel_Longsword_01","Witch Steel Longsword",""
"T_Com_DaedSteel_Longsword_Hungr","Longsword of Starvation",""
"T_Com_DaedSteel_Shortsword_01","Witch Steel Shortsword",""
"T_Com_DaedSteel_Shortsword_Clan","Shortsword of Fright",""
"T_Com_DireFirestormArrow_01","Dire Firestorm Arrow",""
"T_Com_DireFirestormBolt_01","Dire Firestorm Bolt",""
"T_Com_DireFirestormDart_01","Dire Firestorm Dart",""
