"id","name","tags"
"a_ar_chitin_boots","Dark Chitin Leg Guards","Armor, Light, Boots, Chitin"
"a_ar_chitin_bracer_left_01","Dark Chitin Left Bracer","Armor, Light, Bracer, Left, Chitin"
"a_ar_chitin_bracer_right_01","Dark Chitin Right Bracer","Armor, Light, Bracer, Right, Chitin"
"a_ar_chitin_cuirass","Dark Chitin Cuirass","Armor, Light, Cuirass, Chitin"
"a_ar_chitin_greaves","Dark Chitin Greaves","Armor, Light, Greaves, Chitin"
"a_ar_chitin_paul_left","Dark Chitin Left Pauldron","Armor, Light, Pauldron, Left, Chitin"
"a_ar_chitin_paul_right","Dark Chitin Right Pauldron","Armor, Light, Pauldron, Right, Chitin"
"a_ar_chitin_tower","Dark Chitin Tower Shield","Armor, Light, Shield, Chitin"
"a_ar_hide_boots_01","Hide Boots","Armor, Light, Boots"
"a_ar_hide_bracer_left_01","Hide Left Bracer","Armor, Light, Bracer, Left"
"a_ar_hide_bracer_right_01","Hide Right Bracer","Armor, Light, Bracer, Right"
"a_ar_hide_chest_01","Hide Jerkin","Armor, Light, Cuirass"
"a_ar_leather_band_01","Leather Headband","Armor, Light, Pauldron, Right, Leather"
"a_ar_leather_boots_01","Leather Boots","Armor, Light, Boots, Leather"
"a_ar_leather_bracer_left_01","Hardened Leather Left Bracer","Armor, Light, Bracer, Left, Leather"
"a_ar_leather_bracer_right_01","Hardened Leather Right Bracer","Armor, Light, Bracer, Right, Leather"
"a_ar_leather_chest_01","Hardened Leather Cuirass","Armor, Light, Cuirass, Leather"
"a_ar_leather_chest_02","Leather Jerkin","Armor, Light, Cuirass, Leather"
"a_ar_leather_glove_left_01","Leather Left Glove","Armor, Light, Gauntlet, Left, Leather"
"a_ar_leather_glove_right_01","Leather Right Glove","Armor, Light, Gauntlet, Right, Leather"
