"id","name","tags"
"a_wp_bonemold_bow_02","Ashlander War Bow","Weapon, Marksman, Bow, Ashlander"
"a_wp_bonemold_bow_03","Zainab War Bow","Weapon, Marksman, Bow"
"a_wp_chitin_axe_02","Ashlander Champion War Axe","Weapon, Axe, One-Handed, War Axe, Ashlander"
"a_wp_chitin_axe_03","Mabrigash War Axe","Weapon, Axe, One-Handed, War Axe"
"a_wp_chitin_bow_02","Ashlander Hunter Short Bow","Weapon, Marksman, Bow, Short Bow, Ashlander"
"a_wp_chitin_bow_03","Ashkhan Short Bow","Weapon, Marksman, Bow, Short Bow"
"a_wp_chitin_club_02","Ashlander Herder Club","Weapon, Blunt, One-Handed, Club, Ashlander"
"a_wp_chitin_club_03","Wise Woman Club","Weapon, Blunt, One-Handed, Club"
"a_wp_chitin_dagger_02","Ashlander Hunter Dagger","Weapon, Short Blade, One-Handed, Dagger, Ashlander"
"a_wp_chitin_dagger_03","Ahemmusa Dagger","Weapon, Short Blade, One-Handed, Dagger"
"a_wp_chitin_spear_02","Ashlander Herder Spear","Weapon, Spear, Two-Handed, Ashlander"
"a_wp_chitin_spear_03","Urshilaku Spear","Weapon, Spear, Two-Handed"
"a_wp_chitin_star_02","Ashlander Scout Throwing Star","Weapon, Marksman, Thrown, Throwing Star, Ashlander"
"a_wp_chitin_star_03","Gulakhan Throwing Star","Weapon, Marksman, Thrown, Throwing Star"
"a_wp_chitin_sword_02","Ashlander Scout Shortsword","Weapon, Short Blade, One-Handed, Shortsword, Ashlander"
"a_wp_chitin_sword_03","Erabenimsun Shortsword","Weapon, Short Blade, One-Handed, Shortsword"
