"id","name","tags"
"blessed_shield","Blessed Shield",""
"BM bear boots","Bear Boots",""
"BM bear cuirass","Bear Cuirass",""
"BM bear greaves","Bear Greaves",""
"BM Bear Helmet eddard","Helm of Bear Scent",""
"BM Bear Helmet","Bear Helmet",""
"BM Bear Helmet_ber","Helmet of Bearkind",""
"bm bear left gauntlet","Bear Left Gauntlet",""
"BM Bear left Pauldron","Bear Left Pauldron",""
"BM bear right gauntlet","Bear Right Gauntlet",""
"BM bear right pauldron","Bear Right Pauldron",""
"BM bear shield","Bear Shield",""
"BM wolf boots","Wolf Boots",""
"BM wolf cuirass","Wolf Cuirass",""
"BM wolf greaves","Wolf Greaves",""
"BM Wolf Helmet","Wolf Helmet",""
"BM Wolf Helmet_heartfang","Helm of the Wolf's Heart",""
"bm wolf left gauntlet","Wolf Left Gauntlet",""
"BM Wolf Left Pauldron","Wolf Left Pauldron",""
"BM wolf right gauntlet","Wolf Right Gauntlet",""
"BM Wolf right pauldron","Wolf Right Pauldron",""
"BM wolf shield","Wolf Shield",""
"BM_bear_boots_snow","Snow Bear Boots",""
"BM_bear_cuirass_snow","Snow Bear Cuirass",""
"BM_bear_greaves_snow","Snow Bear Greaves",""
"BM_bear_helmet_snow","Snow Bear Helmet",""
"BM_bear_left_gauntlet_snow","Snow Bear Left Gauntlet",""
"BM_Bear_left_Pauldron_snow","Snow Bear Left Pauldron",""
"BM_bear_right_gauntlet_snow","Snow Bear Right Gauntlet",""
"BM_bear_right_pauldron_snow","Snow Bear Right Pauldron",""
"BM_Ice minion_Shield1","Riekling Shield",""
"BM_Ice_Boots","Ice Armor Boots",""
"BM_Ice_cuirass","Ice Armor Cuirass",""
"BM_Ice_gauntletL","Ice Armor Left Gauntlet",""
"BM_Ice_gauntletR","Ice Armor Right Gauntlet",""
"BM_Ice_greaves","Ice Armor Greaves",""
"BM_Ice_Helmet","Ice Armor Helmet",""
"BM_Ice_PauldronL","Ice Armor Left Pauldron",""
"BM_Ice_PauldronR","Ice Armor Right Pauldron",""
"BM_Ice_Shield","Ice Shield",""
"BM_NordicMail_Boots","Nordic Mail Boots",""
"BM_NordicMail_cuirass","Nordic Mail Cuirass",""
"BM_NordicMail_gauntletL","Nordic Mail Left Gauntlet",""
"BM_NordicMail_gauntletR","Nordic Mail Right Gauntlet",""
"BM_NordicMail_greaves","Nordic Mail Greaves",""
"BM_NordicMail_Helmet","Nordic Mail Helmet",""
"BM_NordicMail_PauldronL","Nordic Mail Left Pauldron",""
"BM_NordicMail_PauldronR","Nordic Mail Right Pauldron",""
"BM_NordicMail_Shield","Nordic Mail Shield",""
"BM_wolf_boots_snow","Snow Wolf Boots",""
"BM_wolf_cuirass_snow","Snow Wolf Cuirass",""
"BM_wolf_greaves_snow","Snow Wolf Greaves",""
"BM_wolf_helmet_snow","Snow Wolf Helmet",""
"BM_wolf_left_gauntlet_snow","Snow Wolf Left Gauntlet",""
"BM_wolf_left_pauldron_snow","Snow Wolf Left Pauldron",""
"BM_wolf_right_gauntlet_snow","Snow Wolf Right Gauntlet",""
"BM_wolf_right_pauldron_snow","Snow Wolf Right Pauldron",""
"fur_colovian_helm_red","Red Colovian Fur Helm",""
"fur_colovian_helm_white","White Colovian Fur Helm",""
"nordic_leather_shield","Nordic Leather Shield",""
"saint's shield","Saint's Shield",""
"steel_boots","Steel Boots",""
"steel_boots_ancient","Ancient Steel Boots",""
"steel_cuirass","Steel Cuirass",""
"steel_cuirass_ancient","Ancient Steel Cuirass",""
"steel_gauntlet_left_ancient","Ancient Steel Left Gauntlet",""
"steel_gauntlet_right_ancient","Ancient Steel Right Gauntlet",""
"steel_greaves","Steel Greaves",""
"steel_greaves_ancient","Ancient Steel Greaves",""
"steel_helm","Steel Helm",""
"steel_helm_ancient","Ancient Steel Helm",""
"steel_pauldron_left_ancient","Ancient Steel Left Pauldron",""
"steel_pauldron_right","Steel Right Pauldron",""
"steel_pauldron_right_ancient","Ancient Steel Right Pauldron",""
"steel_shield","Steel Shield",""
"steel_towershield_ancient","Ancient Steel Tower Shield",""
"storm helm","Storm Helm",""
"templar_helmet_armor","Imperial Templar Helmet",""
"wolfwalkers","Paws of the Wolf-Runner",""
