"id","name","tags"
"Act_BM_firelake00","",""
"blue ice ref 512","",""
"blue_256_deed pulse","",""
"BM_firepit_uni","",""
"BM_IC_big","",""
"BM_IC_big_2","",""
"BM_IC_big_3","",""
"BM_IC_brownish","",""
"BM_IC_green","",""
"BM_IC_med_green_02","",""
"BM_IC_med_yellow","",""
"BM_IC_med_yellow_dark","",""
"BM_IC_med_yellow_dark2","",""
"BM_IC_small_bright","",""
"BM_IC_small_dark","",""
"BM_IC_small_green","",""
"BM_KA_bluefire","",""
"BM_KA_bluefire_small","",""
"BM_KA_glo1","",""
"BM_KA_glo1_bright","",""
"BM_KA_glo2","",""
"BM_KA_glo2_5","",""
"BM_KA_glo2_5_green","",""
"BM_KA_glo3","",""
"BM_KA_glo4","",""
"BM_KA_glo_dark","",""
"BM_KA_green_big","",""
"BM_KA_green_big_dark","",""
"bm_light_penumbra1","",""
"BM_water glo","",""
"colony blue","",""
"colony blue3","",""
"colony cave bue1024","",""
"colony orange","",""
"colony red LG","",""
"colony red MED","",""
"colony red SM","",""
"colony red SM2","",""
"Colony_torch_1","",""
"Colony_torch_2","",""
"Colony_torch_3","",""
"Furn_De_Firepit_F_128","",""
"glacier light 1024","",""
"glacier light 512","",""
"glacier light","",""
"glacier_red_300","",""
"Light_BM_tomb","",""
"Light_BM_tomb_wind","",""
"Light_Com_Candle_01","Iron Candlestick",""
"Light_Com_Candle_01_64","Iron Candlestick",""
"light_com_candle_05_64","Pewter Candlestick",""
"light_com_candle_09_128","Pewter Candlestick",""
"light_com_candle_09_off","Pewter Candlestick",""
"light_com_lamp_01","",""
"light_com_lamp_01_175","",""
"light_com_lamp_01_77","",""
"light_com_lantern_01","Travel Lantern",""
"light_com_lantern_01_128","Travel Lantern",""
"light_com_lantern_01_256","Travel Lantern",""
"light_com_lantern_02_256","Travel Lantern",""
"light_com_lantern_bm_unique","The Watchman's Eye",""
"light_com_lantern_sweetie1","",""
"light_com_lantern_sweetie2","",""
"light_com_lantern_sweetie3","",""
"light_com_rm_chandelier_05_256","",""
"light_com_sconce_01","",""
"light_com_wall_01","",""
"light_dae_brazier00","",""
"Light_De_Lantern_01white","Paper Lantern",""
"Light_Fire_NoSmoke_256","",""
"light_logpile_177","",""
"raf_blue","",""
"Solstheim red SM2","",""
"Z","",""
