"id","name","tags"
"a_ex_colonyboat","Rowboat",""
"A_Ex_De_Oar","Oar",""
"a_ex_de_rowboat","Rowboat",""
"a_ex_de_rowboat_colony","",""
"a_ex_de_shack_door","Shack Door",""
"a_furn_com_table_colony","",""
"a_furn_de_chair_3","Chair",""
"a_furn_de_table_6","Table",""
"a_furn_de_table_8","Table",""
"a_light_com_lantern_2","Travel Lantern",""
"a_light_dw_neon","",""
"a_siltstrider","Silt Strider",""
"ac_furn_rug_big_04_dren","Common Rug (Trapped)",""
"ac_furn_rug_colony","",""
"ac_furn_rug_colony2","",""
"ac_maar_gan_magic_rock","Magic Rock of Maar Gan",""
"ac_mount_kand_triolith","Mount Kand Shrine",""
"ac_sanctus_shrine_triolith","Sanctus Shrine",""
"ac_shrine_assarnibibi","Assarnibibi Shrine",""
"ac_shrine_gnisis","Shrine of the Mask",""
"ac_shrine_gnisis_mv","Shrine of the Mask",""
"ac_shrine_koalcave","Koal Cave Shrine",""
"ac_shrine_palace","Palace Shrine",""
"ac_shrine_puzzlecanal","Shrine of the Puzzle Canal",""
"ac_shrine_stopmoon","Shrine to Stop the Moon",""
"Act_banner_Ald_Velothi","Ald Velothi",""
"Act_banner_Gnaar_Mok","Gnaar Mok",""
"Act_banner_Hla_Oad","Hla Oad",""
"Act_banner_Khuul","Khuul",""
"Act_banner_Sadrith_Mora","Sadrith Mora",""
"Act_banner_Tel_Aruhn","Tel Aruhn",""
"Act_banner_Tel_Branora","Tel Branora",""
"Act_banner_Tel_Fyr","Tel Fyr",""
"Act_banner_Tel_Mora","Tel Mora",""
"Act_banner_Tel_Vos","Tel Vos",""
"Act_banner_Vos","Vos",""
"act_black_load00","Dark crevice",""
"act_black_load01","Dark Crevice",""
"act_black_load02","Dark Crevice",""
"act_black_load03","Dark Crevice",""
"act_black_load04","Dark Crevice",""
"Act_BM_axe_hrothmund","Hrothmund's Axe",""
"act_BM_beast_parts","",""
"act_BM_earth_parts","",""
"Act_BM_garden_plot_01","Patch of Fertile Soil",""
"Act_BM_imp_plat_01","",""
"Act_BM_imp_plat_02","",""
"Act_BM_pipe_01","Hollow Stalagmite",""
"Act_BM_pipe_02","Hollow Stalagmite",""
"Act_BM_pipe_03","Hollow Stalagmite",""
"Act_BM_pipe_04","",""
"Act_BM_pipe_05","",""
"Act_BM_pipe_06","",""
"Act_BM_rubble_01","",""
"Act_BM_rubble_02","",""
"act_bm_snowdoor1","",""
"act_bm_snowdoor2","",""
"act_bm_snowdoor3","",""
"act_bm_snowdoor4","",""
"act_bm_snowdoor5","",""
"Act_BM_steam_01","",""
"Act_BM_steam_02","",""
"Act_BM_steam_03","",""
"Act_BM_steam_04","",""
"Act_BM_steam_05","",""
"Act_BM_steam_06","",""
"Act_BM_stone_beast_01","Beast Stone",""
"Act_BM_stone_earth_01","Earth Stone",""
"Act_BM_stone_erlendr","Stone of Erlendr",""
"Act_BM_stone_hunroor","Stone of Hunroor",""
"Act_BM_stone_nikulas","Stone of Nikulas",""
"Act_BM_stone_sun_01","Sun Stone",""
"Act_BM_stone_tree_01","Tree Stone",""
"Act_BM_stone_ulfgar","Stone of Ulfgar",""
"Act_BM_stone_water_01","Water Stone",""
"Act_BM_stone_wind_01","Wind Stone",""
"Act_BM_stoneeffect_01","",""
"act_BM_sun_parts","",""
"act_bm_tombdoor1","",""
"act_bm_tombdoor2","",""
"act_bm_tombdoor3","",""
"act_bm_tombdoor4","",""
"Act_BM_tree_01","First Tree Seedling",""
"Act_BM_tree_02","First Tree Sapling",""
"Act_BM_tree_03","First Tree",""
"act_BM_tree_parts","",""
"Act_BM_wall_01","",""
"Act_BM_wall_02","",""
"Act_BM_wall_03","",""
"Act_BM_wall_arch_01","",""
"Act_BM_wall_arch_02","",""
"Act_BM_wall_corner_01","",""
"Act_BM_wall_corner_02","",""
"Act_BM_wall_corner_03","",""
"act_BM_water_parts","",""
"Act_BM_well_01","",""
"Act_BM_well_02","",""
"act_BM_wind_parts","",""
"Act_Crystal_01_Pulse","",""
"Act_Crystal_02_Pulse","",""
"act_dwe_cavein00","Collapsed Rocks",""
"act_dwe_fan00","",""
"act_dwe_gyro00","",""
"act_dwe_lever_a","Dwemer Lever",""
"act_dwe_lever_b","Dwemer Lever",""
"act_dwe_lever_c","Dwemer Lever",""
"act_dwe_powerbox00","Dwemer Junction Box",""
"act_dwe_weather00","",""
"act_ex_colony_root_1","",""
"act_ex_colony_root_1b","",""
"act_ex_colony_root_2","",""
"act_ex_colony_root_2b","",""
"act_ex_colony_root_3","",""
"act_ex_colony_root_3b","",""
"act_ex_colony_root_4","",""
"act_ex_colony_root_4b","",""
"Act_Ex_DE_ship_door","Barred Door",""
"Act_Ex_DE_ship_door_baro","Barred Door",""
"Act_Ex_DE_ship_trapdoor","Barred Trapdoor",""
"act_flora_tree_MH_01","",""
"act_flora_tree_MH_02","",""
"act_flora_treedead_MH_01","",""
"act_flora_treedead_MH_02","",""
"Act_Furn_DAE_rubble_01b","",""
"act_h20crank_-550_400","Crank",""
"act_hot_oil_512","",""
"act_plague_rock1","",""
"act_plague_rock2","",""
"act_plague_rock3","",""
"act_plague_starter","",""
"Act_Rockslide01","",""
"act_sotha_clockwork","",""
"act_sotha_collide","",""
"act_sotha_dicer","",""
"act_sotha_door10","",""
