"id","name","tags"
"potion_ancient_brandy","Ancient Dagoth Brandy",""
"potion_comberry_brandy_01","Greef",""
"potion_comberry_wine_01","Shein",""
"potion_cyro_brandy_01","Cyrodiilic Brandy",""
"Potion_Cyro_Whiskey_01","Flin",""
"Potion_Local_Brew_01","Mazte",""
"potion_local_liquor_01","Sujamma",""
"potion_skooma_01","Skooma",""
"potion_t_bug_musk_01","Telvanni Bug Musk",""
"p_almsivi_intervention_s","Potion of Fool's Luck",""
"p_burden_b","Bargain Potion of Burden",""
"p_burden_c","Cheap Potion of Burden",""
"p_burden_e","Exclusive Potion of Burden",""
"p_burden_q","Quality Potion of Burden",""
"p_burden_s","Standard Potion of Burden",""
"p_chameleon_b","Bargain Potion of Shadow",""
"p_chameleon_c","Cheap Potion of Shadow",""
"p_chameleon_e","Exclusive Potion of Shadow",""
"p_chameleon_q","Quality Potion of Shadow",""
"p_chameleon_s","Standard Potion of Shadow",""
"p_cure_blight_s","Potion of Cure Blight Disease",""
"p_cure_common_s","Potion of Cure Common Disease",""
"p_cure_common_unique","Trebonius' Potion of Curing",""
"p_cure_paralyzation_s","Potion of Cure Paralyzation",""
"p_cure_poison_s","Potion of Cure Poison",""
"p_detect_creatures_s","Potion of Detect Creatures",""
"p_detect_enchantment_s","Potion of Detect Enchantments",""
"p_detect_key_s","Potion of Detect Key",""
"p_disease_resistance_b","Bargain Disease Resistance",""
"p_disease_resistance_c","Cheap Disease Resistance",""
"p_disease_resistance_e","Exclusive Disease Resistance",""
"p_disease_resistance_q","Quality Disease Resistance",""
"p_disease_resistance_s","Standard Disease Resistance",""
"p_dispel_s","Potion of Dispel",""
"p_drain willpower_q","Spoiled Cure Disease Potion",""
"p_drain_agility_q","Spoiled SlowFall Potion",""
"p_drain_endurance_q","Spoiled SlowFall Potion",""
"p_drain_intelligence_q","Spoiled Potion of Swift Swim",""
"p_drain_luck_q","Spoiled Cure Disease Potion",""
"p_drain_magicka_q","Spoiled Cure Poison Potion",""
"p_drain_personality_q","Spoiled Potion of Swift Swim",""
"p_drain_speed_q","Spoiled Cure Poison Potion",""
"p_drain_strength_q","Spoiled Cure Disease Potion",""
"p_feather_b","Bargain Potion of Feather",""
"p_feather_c","Cheap Potion of Feather",""
"p_feather_e","Exclusive Potion of Feather",""
"p_feather_q","Quality Potion of Feather",""
"p_fire resistance_s","Standard Fire Resistance",""
"p_fire_resistance_b","Bargain Fire Resistance",""
"p_fire_resistance_c","Cheap Fire Resistance",""
"p_fire_resistance_e","Exclusive Fire Resistance",""
"p_fire_resistance_q","Quality Fire Resistance",""
"p_fire_shield_b","Bargain Potion of Fire Shield",""
"p_fire_shield_c","Cheap Potion of Fire Shield",""
"p_fire_shield_e","Exclusive Potion of Fire Shield",""
"p_fire_shield_q","Quality Potion of Fire Shield",""
"p_fire_shield_s","Standard Potion of Fire Shield",""
"p_fortify_agility_b","Bargain Fortify Agility",""
"p_fortify_agility_c","Cheap Fortify Agility",""
"p_fortify_agility_e","Exclusive Fortify Agility",""
"p_fortify_agility_q","Quality Fortify Agility",""
"p_fortify_agility_s","Standard Fortify Agility Potion",""
"p_fortify_attack_e","Exclusive Fortify Attack",""
"p_fortify_endurance_b","Bargain Fortify Endurance",""
"p_fortify_endurance_c","Cheap Fortify Endurance",""
"p_fortify_endurance_e","Exclusive Fortify Endurance",""
