"id","name","tags"
"apparatus_a_alembic_01","Apprentice's Alembic",""
"apparatus_a_calcinator_01","Apprentice's Calcinator",""
"apparatus_a_mortar_01","Apprentice's Mortar and Pestle",""
"apparatus_a_retort_01","Apprentice's Retort",""
"apparatus_a_spipe_01","Good Skooma Pipe",""
"apparatus_a_spipe_tsiya","Tsiya's Skooma Pipe",""
"apparatus_g_alembic_01","Grandmaster's Alembic",""
"apparatus_g_calcinator_01","Grandmaster's Calcinator",""
"apparatus_g_mortar_01","Grandmaster's Mortar and Pestle",""
"apparatus_g_retort_01","Grandmaster's Retort",""
"apparatus_j_alembic_01","Journeyman's Alembic",""
"apparatus_j_calcinator_01","Journeyman's Calcinator",""
"apparatus_j_mortar_01","Journeyman's Mortar and Pestle",""
"apparatus_j_retort_01","Journeyman's Retort",""
"apparatus_m_alembic_01","Master's Alembic",""
"apparatus_m_calcinator_01","Master's Calcinator",""
"apparatus_m_mortar_01","Master's Mortar and Pestle",""
"apparatus_m_retort_01","Master's Retort",""
"apparatus_sm_alembic_01","SecretMaster's Alembic",""
"apparatus_sm_calcinator_01","SecretMaster's Calcinator",""
"apparatus_sm_mortar_01","SecretMaster's Mortar and Pestl",""
"apparatus_sm_retort_01","SecretMaster's Retort",""
