"id","name","tags"
"adamantium boots","Adamantium Boots","Armor, Medium, Boots, Adamantium"
"adamantium_bracer_left","Adamantium Left Bracer","Armor, Medium, Bracer, Left, Adamantium"
"adamantium_bracer_right","Adamantium Right Bracer","Armor, Medium, Bracer, Right, Adamantium"
"adamantium_cuirass","Adamantium Cuirass","Armor, Medium, Cuirass, Adamantium"
"adamantium_greaves","Adamantium Greaves","Armor, Medium, Greaves, Adamantium"
"adamantium_helm","Adamantium Helm","Armor, Medium, Helmet, Adamantium"
"adamantium_pauldron_left","Adamantium Left Pauldron","Armor, Medium, Pauldron, Left, Adamantium"
"adamantium_pauldron_right","Adamantium Right Pauldron","Armor, Medium, Pauldron, Right, Adamantium"
"addamantium_helm","Adamantium Helm","Armor, Medium, Helmet, Adamantium"
"azura's servant","Azura's Servant","Armor, Heavy, Shield"
"blessed_shield","Blessed Shield","Armor, Heavy, Shield"
"blessed_tower_shield","Blessed Tower Shield","Armor, Heavy, Shield"
"Blood_Feast_Shield","Blood Feat Shield","Armor, Heavy, Shield"
"bloodworm_helm_unique","Bloodworm Helm","Armor, Heavy, Helmet, Unique"
"bloodworm_helm_unique_x","Bloodworm Helm","Armor, Heavy, Helmet, Unique"
"BM bear boots","Bear Boots","Armor, Medium, Boots"
"BM bear cuirass","Bear Cuirass","Armor, Medium, Cuirass"
"BM bear greaves","Bear Greaves","Armor, Medium, Greaves"
"BM Bear Helmet","Bear Helmet","Armor, Medium, Helmet"
"BM Bear Helmet eddard","Helm of Bear Scent","Armor, Medium, Helmet"
"BM Bear Helmet_ber","Helmet of Bearkind","Armor, Medium, Helmet"
"bm bear left gauntlet","Bear Left Gauntlet","Armor, Medium, Gauntlet, Left"
"BM Bear left Pauldron","Bear Left Pauldron","Armor, Medium, Pauldron, Left"
"BM bear right gauntlet","Bear Right Gauntlet","Armor, Medium, Gauntlet, Right"
"BM bear right pauldron","Bear Right Pauldron","Armor, Medium, Pauldron, Right"
"BM bear shield","Bear Shield","Armor, Medium, Shield"
"BM wolf boots","Wolf Boots","Armor, Light, Boots"
"BM wolf cuirass","Wolf Cuirass","Armor, Light, Cuirass"
"BM wolf greaves","Wolf Greaves","Armor, Light, Greaves"
"BM Wolf Helmet","Wolf Helmet","Armor, Light, Helmet"
"BM Wolf Helmet_heartfang","Helm of the Wolf's Heart","Armor, Light, Helmet"
"bm wolf left gauntlet","Wolf Left Gauntlet","Armor, Light, Gauntlet, Left"
"BM Wolf Left Pauldron","Wolf Left Pauldron","Armor, Light, Pauldron, Left"
"BM wolf right gauntlet","Wolf Right Gauntlet","Armor, Light, Gauntlet, Right"
"BM Wolf right pauldron","Wolf Right Pauldron","Armor, Light, Pauldron, Right"
"BM wolf shield","Wolf Shield","Armor, Light, Shield"
"BM_bear_boots_snow","Snow Bear Boots","Armor, Medium, Boots"
"BM_bear_cuirass_snow","Snow Bear Cuirass","Armor, Medium, Cuirass"
"BM_bear_greaves_snow","Snow Bear Greaves","Armor, Medium, Greaves"
"BM_bear_helmet_snow","Snow Bear Helmet","Armor, Medium, Helmet"
"BM_bear_left_gauntlet_snow","Snow Bear Left Gauntlet","Armor, Medium, Gauntlet, Left"
"BM_Bear_left_Pauldron_snow","Snow Bear Left Pauldron","Armor, Medium, Pauldron, Left"
"BM_bear_right_gauntlet_snow","Snow Bear Right Gauntlet","Armor, Medium, Gauntlet, Right"
"BM_bear_right_pauldron_snow","Snow Bear Right Pauldron","Armor, Medium, Pauldron, Right"
"BM_Ice minion_Shield1","Riekling Shield","Armor, Light, Shield"
"BM_Ice_Boots","Ice Armor Boots","Armor, Medium, Boots"
"BM_Ice_cuirass","Ice Armor Cuirass","Armor, Medium, Cuirass"
"BM_Ice_gauntletL","Ice Armor Left Gauntlet","Armor, Medium, Gauntlet, Left"
"BM_Ice_gauntletR","Ice Armor Right Gauntlet","Armor, Medium, Gauntlet, Right"
"BM_Ice_greaves","Ice Armor Greaves","Armor, Medium, Greaves"
"BM_Ice_Helmet","Ice Armor Helmet","Armor, Medium, Helmet"
"BM_Ice_PauldronL","Ice Armor Left Pauldron","Armor, Medium, Pauldron, Left"
"BM_Ice_PauldronR","Ice Armor Right Pauldron","Armor, Medium, Pauldron, Right"
"BM_Ice_Shield","Ice Shield","Armor, Medium, Shield"
"BM_NordicMail_Boots","Nordic Mail Boots","Armor, Heavy, Boots, Nordic"
"BM_NordicMail_cuirass","Nordic Mail Cuirass","Armor, Heavy, Cuirass, Nordic"
"BM_NordicMail_gauntletL","Nordic Mail Left Gauntlet","Armor, Heavy, Gauntlet, Left, Nordic"
"BM_NordicMail_gauntletR","Nordic Mail Right Gauntlet","Armor, Heavy, Gauntlet, Right, Nordic"
"BM_NordicMail_greaves","Nordic Mail Greaves","Armor, Heavy, Greaves, Nordic"
"BM_NordicMail_Helmet","Nordic Mail Helmet","Armor, Heavy, Helmet, Nordic"
"BM_NordicMail_PauldronL","Nordic Mail Left Pauldron","Armor, Heavy, Pauldron, Left, Nordic"
"BM_NordicMail_PauldronR","Nordic Mail Right Pauldron","Armor, Heavy, Pauldron, Right, Nordic"
"BM_NordicMail_Shield","Nordic Mail Shield","Armor, Heavy, Shield, Nordic"
"BM_wolf_boots_snow","Snow Wolf Boots","Armor, Light, Boots"
"BM_wolf_cuirass_snow","Snow Wolf Cuirass","Armor, Light, Cuirass"
"BM_wolf_greaves_snow","Snow Wolf Greaves","Armor, Light, Greaves"
"BM_wolf_helmet_snow","Snow Wolf Helmet","Armor, Light, Helmet"
"BM_wolf_left_gauntlet_snow","Snow Wolf Left Gauntlet","Armor, Light, Gauntlet, Left"
"BM_wolf_left_pauldron_snow","Snow Wolf Left Pauldron","Armor, Light, Pauldron, Left"
"BM_wolf_right_gauntlet_snow","Snow Wolf Right Gauntlet","Armor, Light, Gauntlet, Right"
"BM_wolf_right_pauldron_snow","Snow Wolf Right Pauldron","Armor, Light, Pauldron, Right"
"bonedancer gauntlet","Bonedancer Gauntlet","Armor, Light, Gauntlet, Right"
"bonemold_armun-an_cuirass","Armun-An Bonemold Cuirass","Armor, Medium, Cuirass, Bonemold"
"bonemold_armun-an_helm","Native Armun-An Bonemold Helm","Armor, Medium, Helmet, Bonemold"
"bonemold_armun-an_pauldron_l","Armun-An Bonemold L Pauldron","Armor, Medium, Pauldron, Left, Bonemold"
"bonemold_armun-an_pauldron_r","Armun-An Bonemold R Pauldron","Armor, Medium, Pauldron, Right, Bonemold"
"bonemold_boots","Bonemold Boots","Armor, Medium, Boots, Bonemold"
"bonemold_bracer_left","Bonemold Left Bracer","Armor, Medium, Bracer, Left, Bonemold"
"bonemold_bracer_right","Bonemold Right Bracer","Armor, Medium, Bracer, Right, Bonemold"
"bonemold_chuzei_helm","Native Chuzei Bonemold Helm","Armor, Medium, Helmet, Bonemold, Chuzei"
"bonemold_cuirass","Bonemold Cuirass","Armor, Medium, Cuirass, Bonemold"
"bonemold_founders_helm","Redoran Founder's Helm","Armor, Medium, Helmet, Redoran"
"bonemold_gah-julan_cuirass","Gah-Julan Bonemold Cuirass","Armor, Medium, Cuirass, Bonemold"
"bonemold_gah-julan_helm","Native Gah-Julan Bonemold Helm","Armor, Medium, Helmet, Bonemold"
"bonemold_gah-julan_hhda","Native Gah-Julan Bonemold Helm","Armor, Medium, Helmet, Bonemold"
"bonemold_gah-julan_pauldron_l","Gah-Julan Bonemold L Pauldron","Armor, Medium, Pauldron, Left, Bonemold"
"bonemold_gah-julan_pauldron_r","Gah-Julan Bonemold R Pauldron","Armor, Medium, Pauldron, Right, Bonemold"
"bonemold_greaves","Bonemold Greaves","Armor, Medium, Greaves, Bonemold"
"bonemold_helm","Bonemold Helm","Armor, Medium, Helmet, Bonemold"
"bonemold_pauldron_l","Bonemold L Pauldron","Armor, Medium, Pauldron, Left, Bonemold"
"bonemold_pauldron_r","Bonemold R Pauldron","Armor, Medium, Pauldron, Right, Bonemold"
"bonemold_shield","Bonemold Shield","Armor, Medium, Shield, Bonemold"
"bonemold_towershield","Bonemold Tower Shield","Armor, Medium, Shield, Bonemold"
"bonemold_tshield_hlaaluguard","Hlaalu Guard Shield","Armor, Medium, Shield, Hlaalu"
"bonemold_tshield_hrlb","Redoran Banner Shield","Armor, Medium, Shield, Redoran"
"bonemold_tshield_redoranguard","Redoran Guard Shield","Armor, Medium, Shield, Redoran"
"bonemold_tshield_telvanniguard","Telvanni Guard Shield","Armor, Medium, Shield, Telvanni"
"boneweave gauntlet","Boneweave Gauntlet","Armor, Light, Gauntlet, Left"
"boots of blinding speed[unique]","Boots of Blinding Speed","Armor, Light, Boots, Unique"
"boots of blinding speed_x","Boots of Blinding Speed","Armor, Light, Boots"
"boots_apostle_unique","Boots of the Apostle","Armor, Light, Boots, Unique"
"boots_apostle_unique_x","Boots of the Apostle","Armor, Light, Boots, Unique"
"bound_boots","Bound Boots","Armor, Light, Boots"
"bound_cuirass","Bound Cuirass","Armor, Light, Cuirass"
