"id","name","tags"
"bk_6thhouseravings","Parchment with Scrawlings",""
"bk_a1_11_zainsubaninotes","Zainsubani's Notes",""
"bk_a1_1_caiuspackage","Package for Caius Cosades",""
"bk_a1_1_directionscaiuscosades","Directions to Caius Cosades",""
"bk_a1_1_elone_to_Balmora","Elone's Directions to Balmora",""
"bk_a1_1_packagedecoded","decoded package",""
"bk_a1_2_antabolistocosades","Hasphat's notes for Cosades",""
"bk_a1_2_introtocadiusus","Letter to Senilias Cadiusus",""
"bk_a1_4_sharnsnotes","Nerevarine cult notes",""
"bk_A1_7_HuleeyaInformant","Notes from Huleeya",""
"bk_a1_v_vivecinformants","Mission to Vivec -- from Caius",""
"bk_a2_1_sevenvisions","The Seven Visions",""
"bk_a2_1_thestranger","The Stranger",""
"bk_a2_2_dagoth_message","Message from Dagoth Ur",""
"bk_ABCs","ABCs for Barbarians",""
"bk_Adren","WARNING!!!",""
"bk_Aedra_Tarer_Unique","Tarer's Aedra and Daedra",""
"bk_AedraAndDaedra","Aedra and Daedra",""
"bk_AffairsOfWizards","The Affairs of Wizards",""
"bk_ahnia","Note to Ahnia",""
"bk_Airship_Captains_Journal","Airship Captain's Journal",""
"bk_Ajira1","Ajira's Mushroom Report",""
"bk_Ajira2","Ajira's Flower Report",""
"bk_AlchemistsFormulary","The Alchemists Formulary",""
"bk_Alen_note","handwritten letter",""
"bk_AncestorsAndTheDunmer","Ancestors and the Dunmer",""
"bk_AnnotatedAnuad","The Annotated Anuad",""
"bk_AntecedantsDwemerLaw","Antecedants of Dwemer Law",""
"bk_Anticipations","The Anticipations",""
"bk_ArcanaRestored","Arcana Restored",""
"bk_ArcturianHeresy","The Arcturian Heresy",""
"bk_ArkayTheEnemy","Arkay the Enemy",""
"bk_arrilles_tradehouse","tradehouse notice",""
"bk_Artifacts_Tamriel","Famed Artifacts of Tamriel",""
"bk_Ashland_Hymns","Ashland Hymns",""
"bk_AuraneFrernis1","Aurane Frernis' Recipies",""
"bk_auranefrernis2","Aurane Frernis' Recipies",""
"bk_auranefrernis3","Aurane Frernis' Recipies",""
"bk_bartendersguide","Hanin's Wake",""
"bk_bartendersguide_01","Hanin's Wake",""
"bk_BeramJournal1","Beram Journal Entry 1",""
"bk_BeramJournal2","Beram Journal Entry 2",""
"bk_BeramJournal3","Beram Journal Entry 3",""
"bk_BeramJournal4","Beram Journal Entry 4",""
"bk_BeramJournal5","Beram Journal Entry 5",""
"bk_BiographyBarenziah1","Biography of Barenziah v I",""
"bk_BiographyBarenziah2","Biography of Barenziah v II",""
"bk_BiographyBarenziah3","Biography of Barenziah v III",""
"bk_BlackGlove","The Black Glove",""
"bk_BlasphemousRevenants","Blasphemous Revenants",""
"bk_BlightPotionNotice","Cure Blight Potion Notice",""
"bk_BlueBookOfRiddles","The Blue Book of Riddles",""
"bk_BM_Aevar","The Story of Aevar Stone-Singer",""
"bk_BM_Stockcert","EEC Stock Certificate",""
"bk_BM_StoneMap","Locations of the Stones",""
"bk_BMtrial_unique","Letter from Rigmor to Risi",""
"bk_Boethiah's Glory_unique","Boethiah's Glory",""
"bk_BoethiahPillowBook","Boethiah's Pillow Book",""
"bk_BookDawnAndDusk","The Book of Dawn and Dusk",""
"bk_BookOfDaedra","The Book of Daedra",""
"bk_BookOfLifeAndService","Book of Life and Service",""
"bk_BookOfRestAndEndings","Book of Rest and Endings",""
"bk_BriefHistoryEmpire1","Brief History of the Empire v 1",""
"bk_BriefHistoryEmpire1_oh","Odral's History of the Empire 1",""
"bk_BriefHistoryEmpire2","Brief History of the Empire v 2",""
"bk_BriefHistoryEmpire2_oh","Odral's History of the Empire 2",""
"bk_BriefHistoryEmpire3","Brief History of the Empire v 3",""
"bk_BriefHistoryEmpire3_oh","Odral's History of the Empire 3",""
"bk_BriefHistoryEmpire4","Brief History of the Empire v 4",""
"bk_BriefHistoryEmpire4_oh","Odral's History of the Empire 4",""
"bk_BriefHistoryofWood","No-h's Picture Book of Wood",""
"bk_BriefHistoryofWood_01","No-h's Picture Book of Wood",""
"bk_BrothersOfDarkness","The Brothers of Darkness",""
"bk_BrownBook426","Brown Book of 3E 426",""
"bk_CalderaMiningContract","Caldera Mining Contract",""
"bk_CalderaRecordBook1","Caldera Ledger",""
"bk_CalderaRecordBook2","Secret Caldera Ledger",""
"bk_CantatasOfVivec","The Cantatas of Vivec",""
"bk_carniusnote","Note from Carnius",""
"bk_ChangedOnes","The Changed Ones",""
"bk_charterFG","Fighters Guild Charter",""
"bk_charterMG","Mages Guild Charter",""
"bk_ChildrenOfTheSky","Children of the Sky",""
"bk_ChildrensAnuad","The Annotated Anuad",""
"bk_ChroniclesNchuleft","Chronicles of Nchuleft",""
"bk_clientlist","Client List",""
"bk_colony_Toralf","Tattered Note",""
"bk_colonyreport","Colony Status Report",""
"bk_commontongue","The Common Tongue",""
"bk_commontongue_irano","The Common Tongue: Irano's copy",""
"bk_Confessions","Confessions of a Skooma-Eater",""
"bk_ConsolationsOfPrayer","The Consolations of Prayer",""
"bk_contract_ralen","Weapons and Armor Contract",""
"bk_corpsepreperation1_c","Corpse Preparation v I",""
"bk_corpsepreperation1_o","Corpse Preparation v I",""
"bk_corpsepreperation2_c","Corpse Preparation v II",""
"bk_corpsepreperation3_c","Corpse Preparation v III",""
"bk_custom_armor","Custom Armor Price List",""
"bk_Dagoth_Urs_Plans","Dagoth Ur's Plans",""
"bk_darkestdarkness","Darkest Darkness",""
"bk_dbcontract","A Dark Brotherhood Contract",""
"bk_diary_sailor","Diary of a Lost Sailor",""
"bk_dispelrecipe_tgca","Dispel Potion Formula",""
"bk_DivineMetaphysics","Divine Metaphysics...",""
"bk_DoorsOfTheSpirit","The Doors of the Spirit",""
"bk_Dren_Hlevala_note","Note to Hlevala",""
"bk_Dren_shipping_log","Dren's shipping log",""
"bk_drenblackmail","Dren's Note",""
"bk_dwemermuseumwelcome","Dwemer Museum Welcome",""
"bk_eastempirecompanyledger","East Empire Company Ledger",""
"bk_easternprovincesimpartial","The Eastern Provinces...",""
"bk_EggOfTime","The Egg of Time",""
"bk_eggorders","Order Manifest",""
"bk_enamor","Note to Salyn Sarethi",""
"bk_falanaamonote","Note to Falanaamo",""
"bk_falljournal_unique","Journal of Tarhiel",""
"bk_fellowshiptemple","Fellowship of the Temple",""
"bk_firmament","The Firmament",""
"bk_fishystick","Capn's Guide to the Fishy Stick",""
"bk_five_far_stars","The Five Far Stars",""
"bk_fivesongsofkingwulfharth","Five Songs of King Wulfharth",""
"bk_formygodsandemperor","For my Gods and Emperor",""
"bk_fortpelagiadprisonerlog","Fort Pelagiad Prisoner Log",""
"bk_fragmentonartaeum","Fragment: On Artaeum",""
"bk_frontierconquestaccommodat","Frontier, Conquest...",""
"bk_fryssajournal","Journal of Fryssa",""
"bk_fur_armor","Custom Fur Armor Price List",""
"bk_galerionthemystic","Galerion The Mystic",""
"bk_galtisguvronsnote","Galtis Guvron's Note",""
"bk_galur_rithari's_papers","Galur Rithari's Papers",""
"bk_gnisiseggmineledger","Gnisis Eggmine Ledger",""
"bk_gnisiseggminepass","Gnisis Eggmine Pass",""
"bk_graspingfortune","Grasping Fortune",""
"bk_great_houses","Great Houses of Morrowind",""
"bk_guide_to_ald_ruhn","Guide to Ald'ruhn",""
"bk_guide_to_balmora","Guide to Balmora",""
"bk_guide_to_sadrithmora","Guide to Sadrith Mora",""
"bk_guide_to_vivec","Guide to Vivec",""
"bk_guide_to_vvardenfell","Guide to Vvardenfell",""
"bk_guylainesarchitecture","Guylaine's Architecture",""
"bk_hanginggardenswasten","Hanging Gardens...",""
"bk_Hlaalu_Vaults_Ledger","Hlaalu Vaults Ledger",""
"bk_HomiliesOfBlessedAlmalexia","Homilies of Blessed Almalexia",""
"bk_honorthieves","Honor Among Thieves",""
"bk_hospitality_papers","Hospitality Papers",""
"bk_HouseOfTroubles_c","The House of Troubles",""
"bk_HouseOfTroubles_o","The House of Troubles",""
"bk_Ibardad_Elante_notes","Elante's Notes",""
"bk_ILHermit_Page","Page from History of the Empire",""
"bk_impmuseumwelcome","Imperial Museum Welcome",""
"bk_indreledeed","Deed to Indrele's House",""
"bk_InvocationOfAzura","Invocation of Azura",""
"bk_Irano_note","handwritten note",""
"bk_istunondescosmology","A Less Rude Song",""
"bk_itermerelsnotes","Itermerel's Notes",""
"bk_joldanote","A hastily scrawled note",""
"bk_kagrenac'sjournal_excl","Kagrenac's Journal",""
"bk_kagrenac'splans_excl","Kagrenac's Planbook",""
"bk_kagrenac'stools","Kagrenac's Tools",""
"bk_landdeed_hhrd","Ascadian Isles Land Deed",""
"bk_landdeedfake_hhrd","Odral's Land Deed",""
"bk_leaflet_false","A Leaflet",""
"bk_LegendaryScourge","The Legendary Scourge",""
"bk_leggejournal","Settler's Journal",""
"bk_legionsofthedead","Legions of the Dead",""
"bk_letterfromgadayn","Letter from Gadayn",""
"bk_letterfromjzhirr","Letter From J'Zhirr",""
"bk_letterfromllaalam","Letter From Llaalam Dredil",""
"bk_letterfromllaalam2","Letter From Llaalam Dredil",""
"bk_LivesOfTheSaints","Lives of the Saints",""
"bk_lustyargonianmaid","The Lusty Argonian Maid",""
"bk_madnessofpelagius","The Madness of Pelagius",""
"bk_manyfacesmissinggod","The Monomyth",""
"bk_messagefrommasteraryon","Message from Master Aryon",""
"bk_miungei","Letter from Tsrazami",""
"bk_MixedUnitTactics","Mixed Unit Tactics v1",""
"bk_MysteriousAkavir","Mysterious Akavir",""
"bk_Mysticism","Mysticism",""
"bk_nchunaksfireandfaith","Nchunak's Fire and Faith",""
"bk_necrojournal","Rogue Necromancer's Journal",""
"bk_nemindasorders","Neminda's Orders",""
"bk_Nerano","Note from Bakarak",""
"bk_NerevarineNotice","Public notice",""
"bk_NerevarMoonandStar","Nerevar Moon-and-Star",""
"bk_nermarcnotes","Private Notes -- DO NOT READ",""
"bk_NGastaKvataKvakis_c","N'Gasta! Kvata! Kvakis!",""
"bk_NGastaKvataKvakis_o","N'Gasta! Kvata! Kvakis!",""
"bk_note","A worn and weathered note",""
"bk_notebyaryon","Notes by Aryon",""
"bk_notefrombashuk","Note from Bashuk",""
"bk_notefromberwen","Note from Berwen",""
"bk_notefrombildren","Note From Bildren",""
"bk_notefrombugrol","Note from Bugrol",""
"bk_notefromernil","Note From Ernil",""
"bk_notefromferele","Note from Ferele",""
"bk_notefromirgola","Note from Irgola",""
"bk_NoteFromJ'Zhirr","Note from J'zhirr",""
"bk_notefromnelos","Note from Nelos",""
"bk_notefromradras","Note From Radras",""
"bk_notefromsondaale","Note from Sondaale",""
"bk_notes-kagouti mating habits","Kagouti Mating Habits",""
"bk_notesoldout","Sold Out Notice",""
"bk_NoteToAmaya","Note to Amaya",""
"bk_notetocalderaguard","NoteToCalderaGuard",""
"bk_notetocalderamages","Note to Mages",""
"bk_notetocalderaslaves","Note to Slaves",""
"bk_notetoinorra","Note to Inorra",""
"bk_notetomalsa","Note to Malsa Ules",""
"bk_notetomenus","Note to Menus",""
"bk_notetotelvon","Note to Telvon",""
"bk_notetovalvius","Note to Valvius",""
"bk_ocato_recommendation","Letter from Ocato",""
"bk_oldways","The Old Ways",""
"bk_OnMorrowind","On Morrowind",""
"bk_onoblivion","On Oblivion",""
"bk_orderfrommollismo","Order From Mollismo",""
"bk_ordersforbivaleteneran","Orders for Bivale Teneran",""
"bk_ordolegionis","Ordo Legionis",""
"bk_OriginOfTheMagesGuild","Origin of the Mages Guild",""
