"id","name","tags"
"barrel_01","Barrel",""
"barrel_01_ahnassi_drink","Barrel",""
"barrel_01_ahnassi_food","Wooden Barrel",""
"barrel_01_arrows","Barrel",""
"barrel_01_ashyams","Barrel",""
"barrel_01_cheapfood20","Wooden Barrel",""
"barrel_01_cheapfood5","Wooden Barrel",""
"barrel_01_de_pos1","Barrel",""
"barrel_01_drinks","Barrel",""
"barrel_01_empty","Barrel",""
"barrel_01_float_food20","Wooden Barrel",""
"barrel_01_Ingredients","Barrel",""
"barrel_01_Ingredients_F","Floating Barrel",""
"barrel_01_manicky","Barrel",""
"barrel_01_moonsugar","Barrel",""
"barrel_01_pos","Barrel",""
"barrel_01_random_pos","Barrel",""
"barrel_01_saltrice","Barrel",""
"barrel_01_todd","Todd's Barrel of Testing",""
"barrel_01_torch","Barrel",""
"barrel_02","Barrel",""
"barrel_02_CheapFood5","Wooden Barrel",""
"barrel_02_eggs","Wooden Barrel",""
"barrel_02_float","Barrel",""
"barrel_02_floater","Floating Barrel",""
"barrel_02_floater_ing","Floating Barrel",""
"barrel_02_Ingred","Barrel",""
"barrel_02_marshmerrow","Barrel",""
"barrel_02_pants","Wooden Barrel",""
"barrel_02_shoes","Old Rotting Barrel",""
"barrel_bandit_01","Barrel",""
"barrel_IC25_Jon_Hawker","Barrel",""
"barrel_pants","Wooden Barrel",""
"barrel_shoes","Old Rotting Barrel",""
"barrel_smuggler_01","Barrel",""
"bottle_unique","Glass Bottle",""
"caryarel_barrel","Barrel",""
"cavern_spore00","Bloatspore",""
"chargen barrel fatigue","Barrel",""
"CharGenbarrel_01_drinks","Barrel",""
"CharGen_barrel_01","Barrel",""
"CharGen_barrel_02","Barrel",""
"CharGen_chest_02_empty","Wooden Chest",""
"CharGen_crate_01","Crate",""
"CharGen_crate_01_empty","Crate",""
"CharGen_crate_01_misc01","Wooden Crate",""
"CharGen_crate_02","Crate",""
"chest_01_v_bildren","Wooden Chest",""
"chest_01_v_daynali","Wooden Chest",""
