"id","name","tags"
"food_kwama_egg_01","Small Kwama Egg","Ingredient, Creature, Egg, Kwama"
"food_kwama_egg_02","Large Kwama Egg","Ingredient, Creature, Egg, Kwama"
"ingred_6th_corprusmeat_01","Large Wrapped Corprusmeat","Ingredient, Creature, Meat"
"ingred_6th_corprusmeat_02","Small Wrapped Corprusmeat","Ingredient, Creature, Meat"
"ingred_6th_corprusmeat_03","Medium Wrapped Corprusmeat","Ingredient, Creature, Meat"
"ingred_6th_corprusmeat_04","Wrapped Corprusmeat Hunk","Ingredient, Creature, Meat"
"ingred_6th_corprusmeat_05","Large Corprusmeat Hunk","Ingredient, Creature, Meat"
"ingred_6th_corprusmeat_06","Medium Corprusmeat Hunk","Ingredient, Creature, Meat"
"ingred_6th_corprusmeat_07","Small Corprusmeat Hunk","Ingredient, Creature, Meat"
"ingred_adamantium_ore_01","Adamantium Ore","Ingredient, Mineral, Ore"
"ingred_alit_hide_01","Alit Hide","Ingredient, Creature, Hide, Alit"
"ingred_ash_salts_01","Ash Salts","Ingredient, Mineral, Salt"
"ingred_ash_yam_01","Ash Yam","Ingredient, Food, Vegetable"
"ingred_bc_ampoule_pod","Ampoule Pod","Ingredient, Plant, Pod"
"ingred_bc_bungler's_bane","Bungler's Bane","Ingredient, Plant, Mushroom"
"ingred_bc_coda_flower","Coda Flower","Ingredient, Plant, Flower"
"ingred_bc_hypha_facia","Hypha Facia","Ingredient, Plant, Mushroom"
"ingred_bc_spore_pod","Spore Pod","Ingredient, Plant, Spore"
"ingred_bear_pelt","Bear Pelt","Ingredient, Creature, Pelt, Bear"
"ingred_belladonna_01","Ripened Belladonna Berries","Ingredient"
"ingred_belladonna_02","Unripened Belladonna Berries","Ingredient"
"ingred_bittergreen_petals_01","Bittergreen Petals","Ingredient, Plant, Petals"
"ingred_black_anther_01","Black Anther","Ingredient, Plant, Flower"
"ingred_black_lichen_01","Black Lichen","Ingredient, Plant, Lichen"
"ingred_bloat_01","Bloat","Ingredient, Plant, Mushroom"
"ingred_blood_innocent_unique","Blood of an Innocent","Ingredient, Creature, Blood, Unique"
"ingred_boar_leather","Bristleback Leather","Ingredient, Creature, Leather, Bristleback"
"ingred_bonemeal_01","Bonemeal","Ingredient, Mineral, Bonemeal"
"ingred_bread_01","Bread","Ingredient, Food, Bread"
