"id","name","tags"
"Act_BM_firelake00","",""
"adamantium","",""
"akul_glow_1024","",""
"Amber","",""
"aqua_1024_01","",""
"aqua_256_01","",""
"aqua_512_01","",""
"azura ring light","",""
"bc mushroom 128","",""
"bc mushroom 177","",""
"bc mushroom 256","",""
"bc mushroom 64","",""
"big blue light","",""
"big blue light_2","",""
"Blade Light","",""
"Blue Candle Bulb","",""
"Blue Candle Bulb_128","",""
"Blue Candle Bulb_177","",""
"Blue Candle Bulb_256","",""
"Blue Candle Bulb_512","",""
"Blue Candle Bulb_670","",""
"blue coast ref 1024","",""
"blue coast ref 512","",""
"blue ice ref 512","",""
"blue light","",""
"blue water ref","",""
"blue water ref 128","",""
"blue water ref 256","",""
"blue water ref 256_ripple","",""
"blue water ref 512","",""
"blue water ref 512_ripple","",""
"blue water ref 768","",""
"blue_128_01","",""
"blue_128_pulse","",""
"blue_256_ci_01","",""
"blue_256_deed pulse","",""
"blue_256_pulse","",""
"blue_256_pulse_512","",""
"blue_512_01","",""
"blue_night_lite_1024","",""
"BM_firepit_uni","",""
"BM_IC_big","",""
"BM_IC_big_2","",""
"BM_IC_big_3","",""
"BM_IC_brownish","",""
"BM_IC_green","",""
"BM_IC_med_green_02","",""
"BM_IC_med_yellow","",""
"BM_IC_med_yellow_dark","",""
"BM_IC_med_yellow_dark2","",""
"BM_IC_small_bright","",""
"BM_IC_small_dark","",""
"BM_IC_small_green","",""
"BM_KA_bluefire","",""
"BM_KA_bluefire_small","",""
"BM_KA_glo1","",""
"BM_KA_glo1_bright","",""
"BM_KA_glo2","",""
"BM_KA_glo2_5","",""
"BM_KA_glo2_5_green","",""
"BM_KA_glo3","",""
"BM_KA_glo4","",""
"BM_KA_glo_dark","",""
"BM_KA_green_big","",""
"BM_KA_green_big_dark","",""
"bm_light_penumbra1","",""
"BM_water glo","",""
"CharGen_lantern_03_sway","",""
"chargen_lighter","",""
"colony blue","",""
"colony blue3","",""
"colony cave bue1024","",""
"colony orange","",""
"colony red LG","",""
"colony red MED","",""
"colony red SM","",""
"colony red SM2","",""
"Colony_torch_1","",""
"Colony_torch_2","",""
"Colony_torch_3","",""
"dark_1000","",""
"dark_128","",""
"dark_128_d_01","",""
"dark_177","",""
"dark_256","",""
"dark_256_01","",""
"dark_256_d_01","",""
"dark_300","",""
"dark_512_01","",""
"dark_512_d_01","",""
"dark_64","",""
"dark_64_01","",""
"dark_64_01_d","",""
"dark_720","",""
"dark_768","",""
"dark_77","",""
"dark_tikitorch00","",""
"dwe_pulse_Bamz","",""
"ebony light","",""
"eggsack_glow_256","",""
"emerald light","",""
"Flame Light","",""
"Flame Light 768","",""
"Flame Light_64","",""
"Flame Light_Blue_128","",""
"Flame Light_Blue_64","",""
"Furn_De_Firepit_F","",""
"Furn_De_Firepit_F_01","",""
"Furn_De_Firepit_F_01_400","",""
"Furn_De_Firepit_F_128","",""
"Furn_De_Firepit_F_200","",""
"Furn_De_Firepit_F_323","",""
"Furn_De_Firepit_F_400","",""
"ghostgate glow","",""
"glacier light","",""
"glacier light 1024","",""
"glacier light 512","",""
"glacier_red_300","",""
"glowing lichen light","",""
"glowing lichen light 256","",""
"glowing lichen light 512","",""
"goblin caves","",""
"green light","",""
"green light_128","",""
"green light_256","",""
"green light_256_2","",""
"green light_256_3","",""
"green light_400","",""
"green_1000_01","",""
"green_1000_02","",""
"Green_SPulse_128","",""
"Green_SPulse_256","",""
"Green_SPulse_64","",""
"lava_light_1024","",""
"lava_light_2048","",""
"lava_light_300","",""
"lava_light_300_01","",""
"lava_light_4096","",""
"lava_light_500","",""
"lava_light_700","",""
"lava_light_flicker","",""
"light_6th_brazier","",""
"light_6th_brazier_01","",""
"light_6th_brazier_02","",""
"light_6th_brazier_400","",""
"light_6th_candle_01","",""
"light_6th_candle_01_77","",""
"light_6th_candle_01_off_f","",""
"light_6th_candle_02","",""
"light_6th_candle_02_64","",""
"light_6th_candle_02_77","",""
"light_6th_candle_03","",""
"light_6th_candle_04","",""
"light_6th_candle_05","",""
"light_6th_candle_05_Off_P","",""
"light_6th_candle_06","",""
"light_6th_candle_06_64","",""
"light_ashl_lantern_01","",""
"light_ashl_lantern_01_512","",""
"light_ashl_lantern_02","",""
"light_ashl_lantern_02_256","",""
"light_ashl_lantern_02_512","",""
"light_ashl_lantern_03","",""
"light_ashl_lantern_03_128","",""
"light_ashl_lantern_03_300","",""
"light_ashl_lantern_03_512","",""
"light_ashl_lantern_04","",""
"light_ashl_lantern_04_128","",""
"light_ashl_lantern_04_512","",""
"light_ashl_lantern_05","",""
"light_ashl_lantern_06","",""
"light_ashl_lantern_06_512","",""
"light_ashl_lantern_07","",""
"light_ashl_lantern_07_512","",""
"light_bar1_unique","",""
"light_bar2_unique","",""
"light_bar3_unique","",""
"light_bar4_unique","",""
"light_bar5_unique","",""
"light_bar6_unique","",""
"light_bar7_unique","",""
"light_bar8_unique","",""
"Light_BM_tomb","",""
"Light_BM_tomb_wind","",""
"Light_Com_Candle_01","Iron Candlestick",""
"Light_Com_Candle_01_64","Iron Candlestick",""
"light_com_candle_01_off","Iron Candlestick",""
"light_com_candle_02","Brass Candlestick",""
"light_com_candle_02_64","Brass Candlestick",""
"light_com_candle_03","Silver Candlestick",""
"light_com_candle_03_64","Silver Candlestick",""
"light_com_candle_04","",""
"light_com_candle_04_64","",""
"light_com_candle_05","Pewter Candlestick",""
"light_com_candle_05_64","Pewter Candlestick",""
"light_com_candle_05_off","Pewter Candlestick",""
"light_com_candle_06","",""
"light_com_candle_06_64","",""
"light_com_candle_07","",""
"light_com_candle_07_128","",""
"light_com_candle_07_157","",""
"light_com_candle_07_64","",""
"light_com_candle_07_77","",""
"light_com_candle_08","Silver Candlestick",""
"light_com_candle_08_64","Silver Candlestick",""
"light_com_candle_09","Pewter Candlestick",""
"light_com_candle_09_128","Pewter Candlestick",""
"light_com_candle_09_64","Pewter Candlestick",""
"light_com_candle_09_off","Pewter Candlestick",""
"light_com_candle_10","Silver Candlestick",""
"light_com_candle_10_128","Silver Candlestick",""
"light_com_candle_10_64","Silver Candlestick",""
"light_com_candle_10_off","Silver Candlestick",""
"Light_Com_Candle_11","",""
"Light_Com_Candle_11_01","",""
"Light_Com_Candle_11_256","",""
"Light_Com_Candle_11_77","",""
"Light_Com_Candle_12","Pewter Candlestick",""
"Light_Com_Candle_12_77","Pewter Candlestick",""
"Light_Com_Candle_12_Off","Pewter Candlestick",""
"Light_Com_Candle_13","",""
"Light_Com_Candle_13_128","",""
"Light_Com_Candle_13_77","",""
"Light_Com_Candle_14","Silver Candlestick",""
"Light_Com_Candle_14_77","Silver Candlestick",""
"Light_Com_Candle_15","Silver Candlestick",""
"Light_Com_Candle_16","Silver Candlestick",""
"Light_Com_Candle_16_77","Silver Candlestick",""
"light_com_chandelier_01","",""
"light_com_chandelier_01_128","",""
"light_com_chandelier_01_177","",""
"Light_Com_Chandelier_01_L","",""
"Light_Com_Chandelier_01_L_177","",""
"light_com_chandelier_01a","",""
"light_com_chandelier_02","",""
"light_com_chandelier_03","",""
"light_com_chandelier_03_01","",""
"light_com_chandelier_03_128","",""
"Light_Com_Chandelier_03_L","",""
"light_com_chandelier_04","",""
"light_com_chandelier_04_128","",""
"light_com_Dae_cursed_candle_10","Silver Candlestick",""
"light_com_lamp_01","",""
"light_com_lamp_01_175","",""
"light_com_lamp_01_177","",""
"light_com_lamp_01_77","",""
"light_com_lamp_02","",""
"light_com_lamp_02_128","",""
"light_com_lamp_02_177","",""
"light_com_lantern_01","Travel Lantern",""
"light_com_lantern_01_128","Travel Lantern",""
"light_com_lantern_01_256","Travel Lantern",""
"light_com_lantern_01_77","Travel Lantern",""
"light_com_lantern_01_Off","Travel Lantern",""
"light_com_lantern_01_S","",""
"light_com_lantern_02","Travel Lantern",""
"light_com_lantern_02_128","Travel Lantern",""
"light_com_lantern_02_128_Off","Travel Lantern",""
"light_com_lantern_02_177","Travel Lantern",""
"light_com_lantern_02_177_Boat01","",""
"light_com_lantern_02_200_Boat","",""
"light_com_lantern_02_256","Travel Lantern",""
"light_com_lantern_02_64","Travel Lantern",""
"light_com_lantern_02_INF","Pilgrim's Lantern",""
"light_com_lantern_02_Off","Travel Lantern",""
"light_com_lantern_bm_unique","The Watchman's Eye",""
"light_com_lantern_sweetie1","",""
"light_com_lantern_sweetie2","",""
"light_com_lantern_sweetie3","",""
"light_com_redware_lamp","Redware Lamp",""
"light_com_rm_chandelier_05","",""
"light_com_rm_chandelier_05_128","",""
"light_com_rm_chandelier_05_177","",""
"light_com_rm_chandelier_05_256","",""
"Light_Com_RM_Chandelier_05_L","",""
"Light_Com_RM_Chandelier_05_L_01","",""
"Light_Com_RM_Chandelier_05_L_02","",""
"light_com_rm_chandelier_06","",""
"light_com_sconce_01","",""
"light_com_sconce_01_200","",""
"light_com_sconce_01_77","",""
"light_com_sconce_02","",""
"light_com_sconce_02_128","",""
"light_com_sconce_02_77","",""
"light_com_torch_01","Torch",""
"light_com_torch_01_128","Torch",""
"light_com_torch_01_200","Torch",""
"light_com_torch_01_256","Torch",""
"light_com_torch_01_77","Torch",""
"light_com_torch_01_off","Torch",""
"light_com_torch_01_UNI","",""
"light_com_torch_02","Torch",""
"light_com_torch_burnedout_01","Burned out Torch",""
"light_com_torch_burnedout_UNI","",""
"light_com_wall_01","",""
"light_dae_brazier00","",""
"light_dae_brazier_320","",""
"light_dae_censer","",""
"light_de_buglamp_01","Bug Lamp",""
"light_de_buglamp_01_64","Bug Lamp",""
"light_de_buglamp_01_off","Bug Lamp",""
"light_de_candle_01","",""
"light_de_candle_01_64","",""
"light_de_candle_02","",""
"light_de_candle_02_64","",""
"light_de_candle_02_off","",""
"light_de_candle_03","Candle",""
"light_de_candle_03_64","Candle",""
"light_de_candle_04","",""
"light_de_candle_04_64","",""
"light_de_candle_05","Redware Candle",""
"light_de_candle_05_64","Redware Candle",""
"light_de_candle_05_77","Redware Candle",""
"light_de_candle_06","Ceramic Candlestick",""
"light_de_candle_06_64","Ceramic Candlestick",""
"light_de_candle_06_off","Ceramic Candlestick",""
"light_de_candle_07","",""
"light_de_candle_07_64","",""
"light_de_candle_08","",""
"light_de_candle_08_64","",""
"light_de_candle_09","",""
"light_de_candle_09_64","",""
"light_de_candle_09_94","",""
"light_de_candle_09_off","",""
"light_de_candle_10","Candle",""
"light_de_candle_10_64","Candle",""
"light_de_candle_11","Candle",""
"light_de_candle_11_64","Candle",""
"light_de_candle_11_Off","Candle",""
"light_de_candle_12","Candle",""
"light_de_candle_128_Off","Candle",""
"light_de_candle_12_64","Candle",""
"light_de_candle_13","Candle",""
"light_de_candle_13_64","Candle",""
"light_de_candle_13_Off","Candle",""
"light_de_candle_14","Candle",""
"light_de_candle_14_64","Candle",""
"light_de_candle_15","Brass Candlestick",""
"light_de_candle_15_64","Brass Candlestick",""
"light_de_candle_15_off","Brass Candlestick",""
"light_de_candle_16","Brass Candlestick",""
"light_de_candle_16_64","Brass Candlestick",""
"light_de_candle_17","Brass Candlestick",""
"light_de_candle_17_64","Brass Candlestick",""
"light_de_candle_18","Redware Candle",""
"light_de_candle_18_64","Redware Candle",""
"light_de_candle_19","Redware Candle",""
"light_de_candle_19_256","Redware Candle",""
"light_de_candle_19_64","Redware Candle",""
"Light_De_Candle_20","Candle",""
"Light_De_Candle_21","Candle",""
"Light_De_Candle_22","Candle",""
"Light_De_Candle_23","Brass Candlestick",""
"Light_De_Candle_23_177","Brass Candlestick",""
"Light_De_Candle_24","Brass Candlestick",""
"Light_De_Candle_24_64","Brass Candlestick",""
"Light_De_Candle_24_Static","",""
"Light_De_Candle_25","Redware Candle",""
"Light_De_Candle_26","Redware Candle",""
"light_de_candle_blue_01","Bamboo Candlestick",""
"light_de_candle_blue_01_64","Bamboo Candlestick",""
"light_de_candle_blue_01_Off","Bamboo Candlestick",""
"light_de_candle_blue_02","Bamboo Candlestick",""
"light_de_candle_blue_02_100","Bamboo Candlestick",""
"light_de_candle_blue_02_64","Bamboo Candlestick",""
"light_de_candle_green_01","Bamboo Candlestick",""
"light_de_candle_green_01_64","Bamboo Candlestick",""
"light_de_candle_green_01_Off","Bamboo Candlestick",""
"light_de_candle_ivory_01","Bamboo Candlestick",""
"light_de_candle_ivory_01_128","Bamboo Candlestick",""
"light_de_candle_ivory_01_64","Bamboo Candlestick",""
"light_de_candle_ivory_01_off","Bamboo Candlestick",""
"light_de_candle_ivory_64","Bamboo Candlestick",""
"light_de_candle_ivory_dead","Bamboo Candlestick",""
"light_de_candle_red_01","Bamboo Candlestick",""
"light_de_candle_red_01_64","Bamboo Candlestick",""
"light_de_candle_red_02","Bamboo Candlestick",""
"light_de_candle_red_02_64","Bamboo Candlestick",""
"light_de_lamp_01","",""
"light_de_lamp_01_128","",""
"light_de_lamp_01_177","",""
"light_de_lamp_01_200","",""
"light_de_lamp_01_256","",""
"light_de_lamp_01_512","",""
"light_de_lamp_01_64","",""
"light_de_lamp_01_77","",""
"light_de_lamp_01_Off","",""
"light_de_lamp_02","",""
"light_de_lamp_02_128","",""
"light_de_lamp_02_177","",""
"light_de_lamp_02_256","",""
"light_de_lamp_02_77","",""
"light_de_lamp_02_blue","",""
"light_de_lamp_02_blue_128","",""
"light_de_lamp_03","",""
"light_de_lamp_03_128","",""
"light_de_lamp_03_256","",""
"light_de_lamp_03_512","",""
"light_de_lamp_03_512_red","",""
"light_de_lamp_03_64","",""
"light_de_lamp_03_77","",""
"light_de_lamp_03_off","",""
"light_de_lamp_03_red","",""
"light_de_lamp_04","",""
"light_de_lamp_04_128","",""
"Light_De_Lamp_04_256","",""
"light_de_lamp_05","",""
"light_de_lamp_05_128","",""
"light_de_lamp_05_177","",""
"light_de_lamp_05_256","",""
"light_de_lamp_05_77","",""
"light_de_lamp_06","",""
"light_de_lamp_06_128","",""
"light_de_lamp_06_177","",""
"light_de_lamp_06_256","",""
"light_de_lamp_06_64","",""
"light_de_lamp_06_77","",""
"Light_De_Lamp_07_Blue","",""
"Light_De_Lamp_07_Blue_177","",""
"Light_De_Lamp_07_Blue_256","",""
"Light_De_Lamp_07_Blue_77","",""
"Light_De_Lamp_08_Red","",""
"Light_De_Lamp_09_Red","",""
"Light_De_Lantern_01","Paper Lantern",""
"Light_De_Lantern_01_128","Paper Lantern",""
"Light_De_Lantern_01_177","Paper Lantern",""
"Light_De_Lantern_01_77","Paper Lantern",""
"light_de_lantern_01_off","Paper Lantern",""
"Light_De_Lantern_01white","Paper Lantern",""
"light_de_lantern_02","Glass Lantern",""
"light_de_lantern_02-128","Glass Lantern",""
"light_de_lantern_02-177","Glass Lantern",""
"light_de_lantern_02_128","Glass Lantern",""
"light_de_lantern_02_256_blue","Glass Lantern",""
"light_de_lantern_02_256_blue_S","",""
"light_de_lantern_02_256_Off","Glass Lantern",""
"light_de_lantern_02_blue","Glass Lantern",""
"light_de_lantern_03","",""
"light_de_lantern_03_128","",""
"light_de_lantern_03_200","",""
"light_de_lantern_03_200_R","",""
"light_de_lantern_03_64","",""
