"id","name","tags"
"artifact_bittercup_01","Bittercup","MiscItem, Clutter, Unique"
"ashes_Dwemer","Ash pile","MiscItem, Clutter"
"bladepiece_02","Broken Dwemer Blade Piece","MiscItem, Clutter, Dwemer"
"bladepiece_03","Broken Dwemer Blade Piece","MiscItem, Clutter, Dwemer"
"BM_bearheart_UNIQUE","Heart of the Spirit Bear","MiscItem, Clutter, Unique"
"BM_Seeds_UNIQUE","Strange Seeds","MiscItem, Clutter, Unique"
"BM_waterlife_UNIQUE1","Waters of Life","MiscItem, Clutter, Unique"
"devote_bone_Pop00","Bone from Pop Je","MiscItem, Bone"
"devote_Brinne_Dust_00","Ashes of Lord Brinne","MiscItem, Remains"
"devote_Lyngas_Dust_00","Ashes of G. Lyngas","MiscItem, Remains"
"devote_Nan_Dust_00","Ashes of D. Bryant","MiscItem, Remains"
"dwemer_satchel00","Dwemer Satchel Pack","MiscItem, Clutter, Dwemer"
"Gold_001","Gold","MiscItem, Coin, Currency"
"Gold_005","Gold","MiscItem, Coin, Currency"
"Gold_010","Gold","MiscItem, Coin, Currency"
"Gold_025","Gold","MiscItem, Coin, Currency"
"Gold_100","Gold","MiscItem, Coin, Currency"
"Gold_Dae_cursed_001","Gold","MiscItem, Coin, Currency"
"Gold_Dae_cursed_005","Gold","MiscItem, Coin, Currency"
"index_andra","Andasreth Propylon Index","MiscItem, Propylon Index"
"index_beran","Berandas Propylon Index","MiscItem, Propylon Index"
"index_falas","Falasmaryon Propylon Index","MiscItem, Propylon Index"
"index_falen","Falensarano Propylon Index","MiscItem, Propylon Index"
"index_hlor","Hlormaren Propylon Index","MiscItem, Propylon Index"
"index_indo","Indoranyon Propylon Index","MiscItem, Propylon Index"
"index_maran","Marandus Propylon Index","MiscItem, Propylon Index"
"index_roth","Rotheran Propylon Index","MiscItem, Propylon Index"
"index_telas","Telasero Propylon Index","MiscItem, Propylon Index"
"index_valen","Valenvaryon Propylon Index","MiscItem, Propylon Index"
"key_abebaalslaves_01","Abebaal Slave Key","MiscItem, Key"
"key_addamasartusslaves_01","Addamasartus Slave Key","MiscItem, Key"
"key_adibael","Small Key","MiscItem, Key"
"key_aharunartusslaves_01","Aharunartus Slave Key","MiscItem, Key"
"key_ahnassi","Ahnassi's key","MiscItem, Key"
"key_ald_redaynia","Chest Key","MiscItem, Key"
"key_aldruhn_underground","Small Key","MiscItem, Key"
"key_aldsotha","Small Key","MiscItem, Key"
"key_Aleft_chest","Key to Aleft chest","MiscItem, Key"
"key_alvur","Alvur's Key","MiscItem, Key"
"key_Andalen_chest","Key to Andalen chest","MiscItem, Key"
"key_Andalen_tomb","Key to Andalen tomb","MiscItem, Key"
"key_Andas_tomb","Key to Andas tomb","MiscItem, Key"
"key_Andavel_tomb","Key to Andavel tomb","MiscItem, Key"
"key_Andrethi_chest","Key to Andrethi tomb chest","MiscItem, Key"
"key_Andules_chest","Key to Andules chest","MiscItem, Key"
"key_anja","Anja's Key","MiscItem, Key"
"key_Aralen","Key Aralen Tombs","MiscItem, Key"
"key_Aran_tomb","Key to Aran tomb","MiscItem, Key"
"Key_Arano_chest","Key to Arano Tomb chest","MiscItem, Key"
"Key_Arano_door","Key to Arano Tomb Door","MiscItem, Key"
"key_archcanon_private","Archcanon's Private Key","MiscItem, Key"
"key_Arenim","Arenim burial key","MiscItem, Key"
"key_Arenim_chest","Key to Arenim chest","MiscItem, Key"
"key_Arkngthunch_chest","Key to Arkngthunch chest","MiscItem, Key"
"key_armigers_stronghold","Armigers Stronghold dungeon key","MiscItem, Key"
"key_arobarmanor_01","Arobar Manor Key","MiscItem, Key"
"key_arobarmanorguard_01","Arobar Manor Guard's Key","MiscItem, Key"
"key_arrile","Standard Key","MiscItem, Key"
"key_arvs-drelen_cell","Arvs-Drelen Cell Key","MiscItem, Key"
"key_Aryon_chest","Key to Aryon chest","MiscItem, Key"
"key_ashalmawia_prisoncell","Ancient daedric Key","MiscItem, Key, Daedric"
"key_Ashirbadon","Old Key","MiscItem, Key"
"key_Ashmelech","Key to Asmelech ","MiscItem, Key"
"key_Ashmelech_chest","Key to Asmelech chest","MiscItem, Key"
"key_ashurninibi","Ancient daedric Key","MiscItem, Key, Daedric"
"key_ashurninibi_lost","Ancient, rusted Daedric Key","MiscItem, Key, Daedric"
"key_assarnud","Simple Key","MiscItem, Key"
"key_assarnudslaves_01","Assarnud Slave Key","MiscItem, Key"
"key_assemanu_01","Rusty Key","MiscItem, Key"
"key_assemanu_02","Old Key","MiscItem, Key"
"key_assi","Assi's Key","MiscItem, Key"
"key_assi_serimilk","Rusty Key","MiscItem, Key"
"key_aurane1","Aurane Frernis' Key","MiscItem, Key"
"key_balmorag_tong_01","Basement Key","MiscItem, Key"
"key_balmorag_tong_02","Storage Room Key","MiscItem, Key"
"key_Baram_tomb","Key to Baram tomb","MiscItem, Key"
"key_berandas","Stolen Key","MiscItem, Key"
"key_bivaleteneran_01","Bivale Teneran's Key","MiscItem, Key"
"key_bolayn","Bolayne's chest key","MiscItem, Key"
"key_Bols","Standard Key","MiscItem, Key"
"key_brallion","Brallion's Key","MiscItem, Key"
"key_Brinne_chest","Key to Lord Brinne's chest","MiscItem, Key"
"key_Bthanchend_chest","Key to Bthanchend chest","MiscItem, Key"
"key_Bthuand","Key to Bthuand","MiscItem, Key"
"key_cabin","Cabin Key","MiscItem, Key"
"key_caius_cosades","Caius Cosades' Key","MiscItem, Key"
"key_calderaslaves_01","Caldera Slave Key","MiscItem, Key"
"key_camp","Iron Key","MiscItem, Key, Iron"
"key_caryarel","Caryarel's Key","MiscItem, Key"
"key_cell_buckmoth_01","Buckmoth Prison Cell Key","MiscItem, Key"
"key_cell_ebonheart_01","Hawkmoth Prison Cell Key","MiscItem, Key"
