"id","name","tags"
"6th bell hammer","Sixth House Bell Hammer","Weapon, Blunt, Two-Handed, Hammer, Sixth House"
"adamantium_axe","Admantium Axe","Weapon, Axe, Two-Handed"
"adamantium_claymore","Adamantium Claymore","Weapon, Long Blade, Two-Handed, Claymore, Adamantium"
"adamantium_mace","Adamantium Mace","Weapon, Blunt, One-Handed, Mace, Adamantium"
"adamantium_shortsword","Adamantium Shortsword","Weapon, Short Blade, One-Handed, Shortsword, Adamantium"
"adamantium_shortsword_db","Adamantium Jinkblade of Wounds","Weapon, Short Blade, One-Handed, Blade, Adamantium"
"adamantium_spear","Adamantium Spear","Weapon, Spear, Two-Handed, Adamantium"
"Airan_Ahhe's_Spirit_Spear_uniq","Airan-Ahhe's Spirit Spear","Weapon, Spear, Two-Handed, Unique"
"ane_teria_mace_unique","Ane Teria's Mace","Weapon, Blunt, One-Handed, Mace, Unique"
"arrow of wasting flame","Arrow of Wasting Flame","Weapon, Ammunition, Arrow"
"arrow of wasting shard","Arrow of Wasting Shard","Weapon, Ammunition, Arrow"
"arrow of wasting spark","Arrow of Wasting Spark","Weapon, Ammunition, Arrow"
"arrow of wasting viper","Arrow of Wasting Viper","Weapon, Ammunition, Arrow"
"axe_queen_of_bats_unique","Wings of the Queen of Bats","Weapon, Axe, Two-Handed, Unique"
"azura_star_unique","Azura's Star","Weapon, Marksman, Thrown, Throwing Star, Unique"
"banhammer_unique","BanHammer","Weapon, Blunt, Two-Handed, Hammer, Unique"
"battle axe of wounds","Battle Axe of Wounds","Weapon, Axe, Two-Handed, Battle Axe"
"Bipolar Blade","BiPolar Blade","Weapon, Long Blade, Two-Handed, Blade"
"Bipolar Blade_x","BiPolar Blade","Weapon, Long Blade, Two-Handed, Blade"
"black dart","Black Dart","Weapon, Marksman, Thrown, Dart"
"bladepiece_01","Odd Dwemer Weapon","Weapon, Long Blade, One-Handed, Dwemer"
"bleeder dart","Bleeder Dart","Weapon, Marksman, Thrown, Dart"
"BM frostgore","Frostgore","Weapon, Short Blade, One-Handed"
"BM huntsman axe","Huntsman Axe","Weapon, Axe, One-Handed"
"BM huntsman crossbow","Huntsman Crossbow","Weapon, Marksman, Crossbow"
"BM huntsman longsword","Huntsman Longsword","Weapon, Long Blade, One-Handed, Longsword"
"BM Huntsman Spear","Huntsman Spear","Weapon, Spear, Two-Handed"
"BM huntsman war axe","Huntsman War Axe","Weapon, Axe, One-Handed, War Axe"
"BM Huntsmanbolt","Huntsman Bolt","Weapon, Ammunition, Bolt"
"BM ice dagger","Stalhrim Dagger","Weapon, Short Blade, One-Handed, Dagger, Stalhrim"
"BM ice longsword","Stalhrim Longsword","Weapon, Long Blade, One-Handed, Longsword, Stalhrim"
"BM ice longsword_FG_Unique","Stalhrim Longsword of Flame","Weapon, Long Blade, One-Handed, Longsword, Stalhrim, Unique"
"BM ice mace","Stalhrim Mace","Weapon, Blunt, One-Handed, Mace, Stalhrim"
"BM ice war axe","Stalhrim War Axe","Weapon, Axe, One-Handed, War Axe, Stalhrim"
"BM nord leg","Severed Nord Leg","Weapon, Blunt, One-Handed"
"BM Nordic Pick","Ancient Nordic Pick Axe","Weapon, Axe, One-Handed, Nordic"
"BM nordic silver axe","Nordic Silver Axe","Weapon, Axe, One-Handed, Silver, Nordic"
"BM nordic silver axe_ber","Berserker Silver Axe","Weapon, Axe, One-Handed, Silver"
"BM nordic silver axe_spurius","Nordic Axe of Paralysis","Weapon, Axe, One-Handed, Nordic"
"BM nordic silver battleaxe","Nordic Silver Battleaxe","Weapon, Axe, Two-Handed, Battle Axe, Silver, Nordic"
"BM nordic silver battleaxe_ber","Berserker Silver Battleaxe","Weapon, Axe, Two-Handed, Battle Axe, Silver"
"BM nordic silver claymore","Nordic Silver Claymore","Weapon, Long Blade, Two-Handed, Claymore, Silver, Nordic"
"BM nordic silver claymore_ber","Berserker Silver Claymore","Weapon, Long Blade, Two-Handed, Claymore, Silver"
"BM nordic silver dagger","Nordic Silver Dagger","Weapon, Short Blade, One-Handed, Dagger, Silver, Nordic"
"BM nordic silver longsword","Nordic Silver Longsword","Weapon, Long Blade, One-Handed, Longsword, Silver, Nordic"
"BM nordic silver longsword_ber","Berserker Silver Longsword","Weapon, Long Blade, One-Handed, Longsword, Silver"
"BM nordic silver longsword_cft","Clanbringer","Weapon, Long Blade, One-Handed"
"BM nordic silver mace","Nordic Silver Mace","Weapon, Blunt, One-Handed, Mace, Silver, Nordic"
"BM nordic silver shortsword","Nordic Silver Shortsword","Weapon, Short Blade, One-Handed, Shortsword, Silver, Nordic"
"BM nordic_longsword_tracker","Nordic Silver Longsword","Weapon, Long Blade, One-Handed, Longsword, Silver, Nordic"
"bm reaver battle axe","Blood Axe","Weapon, Axe, Two-Handed"
"BM riekling lance","Riekling Lance","Weapon, Short Blade, One-Handed, Spear, Lance"
"BM riekling sword","Riekling Blade","Weapon, Long Blade, One-Handed, Blade"
"BM riekling sword_rusted","Rusted Riekling Blade","Weapon, Long Blade, One-Handed, Blade"
"BM silver dagger wolfender","Wolfender Silver Dagger","Weapon, Short Blade, One-Handed, Dagger, Silver"
"BM Winterwound Dagger","Winterwound Dagger","Weapon, Short Blade, One-Handed, Dagger"
"BM_arrow_riekling_uni","Chitin Arrow","Weapon, Ammunition, Arrow, Chitin, Unique"
"BM_axe_Heartfang_Unique","Nordic Silver Battleaxe","Weapon, Axe, Two-Handed, Battle Axe, Silver, Nordic, Unique"
"BM_dagger_wolfgiver","Wolfgiver Silver Dagger","Weapon, Short Blade, One-Handed, Dagger, Silver"
"bm_ebony_staff_necro","Staff of Carnal Channeling","Weapon, Blunt, Two-Handed, Staff"
"bm_ebonyarrow_s","Ebony Arrow of Slaying","Weapon, Ammunition, Arrow, Ebony"
"bm_ebonylongsword_s","Shadowsting","Weapon, Long Blade, One-Handed"
"BM_hunter_battleaxe_unique","Nordic Silver Battleaxe","Weapon, Axe, Two-Handed, Battle Axe, Silver, Nordic, Unique"
"BM_hunterspear_unique","Spear of the Hunter","Weapon, Spear, Two-Handed, Unique"
"BM_ice_minion_lance","Riekling Lance","Weapon, Short Blade, One-Handed, Spear, Lance"
"BM_Mace_Aevar_UNI","Mace of Aevar Stone-Singer","Weapon, Blunt, One-Handed, Mace, Unique"
"BM_nordic_silver_lgswd_bloodska","Bloodskal","Weapon, Long Blade, One-Handed"
"bm_saber_seasplitter","Seasplitter","Weapon, Long Blade, One-Handed"
