"id","name","tags"
"AB_a_Backbasket","Basket",""
"AB_a_BonemHelmOpen","Bonemold Open Helm",""
"AB_a_BonemLightBoots","Sal-Amur Bonemold Boots",""
"AB_a_BonemLightBracerL","Sal-Amur Bonemold Bracer L",""
"AB_a_BonemLightBracerR","Sal-Amur Bonemold Bracer R",""
"AB_a_BonemLightCuirass","Sal-Amur Bonemold Cuirass",""
"AB_a_BonemLightGreaves","Sal-Amur Bonemold Greaves",""
"AB_a_BonemLightHelm","Sal-Amur Bonemold Helm",""
"AB_a_BonemLightPaulL","Sal-Amur Bonemold Pauldron L",""
"AB_a_BonemLightPaulR","Sal-Amur Bonemold Pauldron R",""
"AB_a_BugBlueBoots","Blue Bug Boots",""
"AB_a_BugBlueCuirass","Blue Bug Cuirass",""
"AB_a_BugBlueGntLeft","Blue Bug Gauntlet - Left",""
"AB_a_BugBlueGntRight","Blue Bug Gauntlet - Right",""
"AB_a_BugBlueGreaves","Blue Bug Greaves",""
"AB_a_BugBlueHelm","Blue Bug Helm",""
"AB_a_BugBluePldLeft","Blue Bug Left Pauldron",""
"AB_a_BugBluePldRight","Blue Bug Right Pauldron",""
"AB_a_BugBlueShield","Blue Bug Shield",""
"AB_a_BugGreenBoots","Green Bug Boots",""
"AB_a_BugGreenCuirass","Green Bug Cuirass",""
"AB_a_BugGreenGntLeft","Green Bug Gauntlet - Left",""
"AB_a_BugGreenGntRight","Green Bug Gauntlet - Right",""
"AB_a_BugGreenGreaves","Green Bug Greaves",""
"AB_a_BugGreenHelm","Green Bug Helm",""
"AB_a_BugGreenPldLeft","Green Bug Left Pauldron",""
"AB_a_BugGreenPldRight","Green Bug Right Pauldron",""
"AB_a_BugGreenShield","Green Bug Shield",""
"AB_a_CephHelmOpen","Telvanni Cephalopod Helm",""
"AB_a_CephPauldronLeft","Cephalopod Left Pauldron",""
"AB_a_CephPauldronRight","Cephalopod Right Pauldron",""
"AB_a_ChitinHelmOpen","Chitin Open Helm",""
"AB_a_ChitinHlaHelm01","Khestis Chitin Helmet",""
"AB_a_ChitinRedHelm01","Sho-Hadad Chitin Helmet",""
"AB_a_ChitinScoutHelm","Chitin Scout Helm",""
"AB_a_ChitinTelHelm01","Mir-Moljuhn Chitin Helmet",""
"AB_a_ClothHelm1","Cloth Neck Wrap",""
"AB_a_ClothHelm2","Cloth Neck Wrap",""
"AB_a_ClothHelm3","Cloth Neck Wrap",""
"AB_a_DaeAzuraHelm","Daedric Face of Revelation",""
"AB_a_DaeDagonHelm","Face of the Husband of Fire",""
"AB_a_DaeMolagHelm","Face of the Forbidden Tickle",""
"AB_a_DaeSheogHelm","Face of Comforting Tendrils ",""
"AB_a_DreughBoots","Dreugh Boots",""
"AB_a_DreughBracerL","Dreugh Bracer Left",""
"AB_a_DreughBracerR","Dreugh Bracer Right",""
"AB_a_DreughGreaves","Dreugh Greaves",""
"AB_a_DreughHelmClose","Dreugh Helm",""
"AB_a_DreughPldLeft","Dreugh Pauldron Left",""
"AB_a_DreughPldRight","Dreugh Pauldron Right",""
"AB_a_DustBoots","Dust Merchant Boots",""
"AB_a_DustBracerLeft","Dust Merchant Bracer L.",""
"AB_a_DustBracerRight","Dust Merchant Bracer R.",""
"AB_a_DustChest","Dust Merchant Coat",""
"AB_a_DustGreaves","Dust Merchant Greaves",""
"AB_a_DustHelm","Dust Merchant Helmet",""
"AB_a_DustPldrLeft","Dust Merchant Pauldron L.",""
"AB_a_DustPldrRight","Dust Merchant Pauldron R.",""
"AB_a_EbonyHelmOpen","Ebony Open Helm",""
"AB_a_EggminerHelm","Egg Miner's Mask",""
"AB_a_GlassAssassinPauldronLeft","Glass Assassin Pauldron Left",""
"AB_a_GlassAssassinPauldronRight","Glass Assassin Pauldron Right",""
"AB_a_GlassHelmClose","Glass Helm",""
"AB_a_ImpBmBoots","Imperial Battlemage Boots",""
"AB_a_ImpBmCuirass","Imperial Battlemage Cuirass",""
"AB_a_ImpBmGreaves","Imperial Battlemage Greaves",""
"AB_a_ImpBmHelm","Imperial Battlemage Hood",""
"AB_a_ImpBmPldLeft","Imperial Battlemage Pauldron L",""
"AB_a_ImpBmPldRight","Imperial Battlemage Pauldron R",""
"AB_a_InvisShield","Shield",""
"AB_a_IronDeBoots","Dunmer Iron Boots",""
"AB_a_IronDeCuirass","Dunmer Iron Cuirass",""
"AB_a_IronDeHelm","Dunmer Iron Helmet",""
"AB_a_IronDeHelmTong","Native Tongman Iron Helm",""
