"id","name","tags"
"AB_bk_aDubiousTale","A Dubious Tale",""
"AB_bk_AetherialEphemeris","Aetherial Ephemeris",""
"AB_bk_AetherialEphemeris_o","Aetherial Ephemeris",""
"AB_bk_AffairOfBards","An Affair of Bards",""
"AB_bk_AlchemistBeginners","Alchemy for Beginners",""
"AB_bk_AlchemistCompendium","Complete Alchemists Compendium",""
"AB_bk_AlchemistCompendium1","The Alchemists Compendium I",""
"AB_bk_AlchemistCompendium2","The Alchemists Compendium II",""
"AB_bk_AlchemistCompendium3","The Alchemists Compendium III",""
"AB_bk_AlchemistCompendium4","The Alchemists Compendium IV",""
"AB_bk_AlchemistCompendium5","The Alchemists Compendium V",""
"AB_bk_AlchemistCompendiumClosed","Complete Alchemists Compendium",""
"AB_bk_AlchemistFauna","The Fauna of Vvardenfell",""
"AB_bk_AlchemistFaunaSolstheim","The Hunter's Guide to Solstheim",""
"AB_bk_AlchemistFlora","Vvardenfell Flora Compendium",""
"AB_bk_AlchemistFlora1","Vvardenfell Flora Volume I",""
"AB_bk_AlchemistFlora2","Vvardenfell Flora Volume II",""
"AB_bk_AlchemistFlora3","Vvardenfell Flora Volume III",""
"AB_bk_AlchemistFlora4","Vvardenfell Flora Volume IV",""
"AB_bk_AlchemistFlora5","Vvardenfell Flora Volume V",""
"AB_bk_AlchemistFlora6","Vvardenfall Flora Volume VI",""
"AB_bk_AlchemistFloraBloat","Vvardenfell Flora - Bloatspore",""
"AB_bk_AlchemistFloraClosed","Vvardenfell Flora Compendium",""
"AB_bk_AlchemistFloraMournhold","The Flora of Mournhold",""
"AB_bk_AlchemistFloraSolstheim","The Special Flora of Solstheim",""
"AB_bk_AlessianApologetics","Alessian Apologetics",""
"AB_bk_ArgonianAccount1_sk","The Argonian Account, Chapter 1",""
"AB_bk_ArgonianAccount2","The Argonian Account, Chapter 2",""
"AB_bk_ArgonianAccount3_sk","The Argonian Account, Chapter 3",""
"AB_bk_ArgonianAccount4","The Argonian Account, Chapter 4",""
"AB_bk_ArkayTheGod","Ark'ay the God",""
"AB_bk_aScholarsGuideToNymphs","A Scholar's Guide to Nymphs",""
"AB_bk_aTypeOfZero","A Type of Zero",""
"AB_bk_AvoidingDanger","Avoiding Danger!",""
"AB_bk_BlacksmithArmor01","The Armorer's Handbook Vol. 1",""
"AB_bk_BlacksmithArmor02","The Armorer's Handbook Vol. 2",""
"AB_bk_BlacksmithArmor03","The Armorer's Handbook Vol. 3",""
"AB_bk_BlacksmithComplete","The Complete Blacksmith",""
"AB_bk_BloatCultivation","Bloatspore Cultivation",""
"AB_bk_CodexArcana1_sk","Codex Arcana, Volume I",""
"AB_bk_CodexArcana2_sk","Codex Arcana, Volume II",""
"AB_bk_CodexArcana3_sk","Codex Arcana, Volume III",""
"AB_bk_CodexArcana4_sk","Codex Arcana, Volume IV",""
"AB_bk_CrudeJokes","Common Jokes and Riddles",""
"AB_bk_CrudeLimericks","Crassius' Crude Limericks",""
"AB_bk_DaedraLesser","The Book of Lesser Daedra",""
"AB_bk_DaedricAlphabet","Daedric for Dunmer",""
"AB_bk_DaeshrineSurvey","Daedric Shrines in Vvardenfell",""
"AB_bk_DarkElvesOfTheWest","Dark Elves of the West",""
"AB_bk_DibellaWhispers","Dibella's Whispers",""
"AB_bk_DiseaseBlight","Alvo's Book of Blight Diseases",""
"AB_bk_DiseaseCommon","Alvo's Book of Common Diseases",""
"AB_bk_DunmerInsults","Insults of the Dunmer",""
"AB_bk_DunmerStrongholds","The Key to Dunmer Strongholds",""
"AB_bk_DwemerRuins","Dwemer Ruins of Vvardenfell",""
"AB_bk_FoolsEbony1","Fools' Ebony, Part The Oneth",""
"AB_bk_FoolsEbony2","Fools' Ebony, Part The Twoth",""
"AB_bk_FoolsEbony3","Fools' Ebony, Part The Threeth",""
"AB_bk_FoolsEbony4","Fools' Ebony, Part The Fourth",""
"AB_bk_FoolsEbony5","Fools' Ebony, Part The Fiveth",""
"AB_bk_FoolsEbony6","Fools' Ebony, Part the Sixth",""
"AB_bk_FragmentsFromTheAdabal","Fragments from ""The Adabal-a""",""
"AB_bk_Guars","Pack Guars",""
"AB_bk_GuideToBretons","Traveller's Guide to Bretons",""
"AB_bk_GuideToEnchanting_sk","Verena's Guide to Enchanting",""
"AB_bk_GuideToOrcs","Traveller's Guide to Orcs",""
"AB_bk_HarvestingByTheHeavens","Harvesting By The Heavens",""
"AB_bk_HarvestingByTheHeavens_o","Harvesting By The Heavens",""
"AB_bk_ImperialEggMining","Imperial Egg Mining",""
"AB_bk_Journal01","Blank Journal",""
"AB_bk_Journal01_o","Blank Journal",""
"AB_bk_Journal02","Blank Journal",""
"AB_bk_Journal02_o","Blank Journal",""
"AB_bk_Journal03","Blank Journal",""
"AB_bk_Journal03_o","Blank Journal",""
"AB_bk_KnowingYourPlace","Knowing Your Place",""
"AB_bk_MapsOfVvardenfell","Maps of Vvardenfell",""
"AB_bk_MarasTear","Mara's Tear",""
"AB_bk_MarasTear_sko","Mara's Tear",""
"AB_bk_Minerals","Mineralogical Survey",""
"AB_bk_NativeFloraOfSolstheim","Native Flora of Solstheim",""
"AB_bk_NordSongs","Nord Drinking Songs",""
"AB_bk_OfJephre","Of Jephre",""
"AB_bk_OfMenAndMer","Of Men and Mer",""
"AB_bk_OnLycanthropy","On Lycanthropy",""
"AB_bk_SayingsOfTamriel","Sayings of Tamriel",""
"AB_bk_Secrets","The Book of Secrets",""
"AB_bk_SpiritsVvardenfell","Spirits of Vvardenfell",""
"AB_bk_TamingGuar","The Taming of Guar",""
"AB_bk_TheAlikr","The Alik'r",""
"AB_bk_TheAsylumBall","The Asylum Ball",""
"AB_bk_TheDreadfulTheft","The Dreadful Theft",""
"AB_bk_TheFaerie","The Faerie",""
"AB_bk_TheFirstScrollOfBaarDar","The First Scroll of Baan Dar",""
"AB_bk_TheLightAndTheDark","The Light and The Dark",""
"AB_bk_TheMemoryStone","The Memory Stone",""
"AB_bk_TheStoryofLysirius","The Story of Lysirius",""
"AB_bk_TombRegistry","Tribunal Temple Tomb Registry",""
"AB_bk_Wabbajack","Wabbajack",""
"AB_bk_WhiteGuar","Tale of the White Guar",""
"AB_bk_WhiteGuar_sk","Tale of the White Guar",""
"AB_bk_WildflowersVvardenfell","Wildflowers of Vvardenfell",""
"AB_bk_WildflowersVvardenfell_o","Wildflowers of Vvardenfell",""
"AB_Info_AvoidNode","InfoBox - AvoidNode",""
"AB_Info_CandlePlacement","InfoBox - Candle Placement",""
"AB_Info_CaveScaffold","InfoBox - Cave Scaffold",""
"AB_Info_ClimbingPicks","InfoBox - Climbing Picks",""
"AB_Info_DwrvChainJunction","InfoBox - Dwemer Chain Junc",""
"AB_Info_DwrvGrateStairs","InfoBox - Dwemer Grate Stairs",""
"AB_Info_DwrvMachineKit","InfoBox - Dwemer Machine Kit",""
"AB_Info_DwrvNixieLights","InfoBox - Dwemer Nixie Lights",""
"AB_Info_DwrvScaffold","InfoBox - Dwemer Scaffold Set",""
"AB_Info_DwrvScaffoldLadders","InfoBox - Dwemer Scaff Ladders",""
"AB_Info_DwrvStencilTricks","InfoBox - Dwemer Stencil Tricks",""
"AB_Info_DwrvStove","InfoBox - Dwemer Stove",""
"AB_Info_ImpChainPull","InfoBox - Imperial Chain Pull",""
"AB_Info_KwamaAcidDrips","InfoBox - Kwama Acid Drips",""
"AB_Info_KwamaEggBoom","InfoBox - Kwama Egg Boom",""
"AB_Info_KwamaForagerTower","InfoBox - Kwama Forager Tower",""
"AB_Info_LightRay","InfoBox - Light Rays",""
"AB_Info_ScamptallowCandles","InfoBox - Scamptallow Candles",""
"AB_Info_StencilHoles","InfoBox - Stencil Based Holes",""
"AB_Info_VelHiddenTowerDoor","InfoBox - Velothi Hidden Door",""
"AB_sc_AlchemyRecipe01","Recipe - Gift of Speed",""
"AB_sc_AlchemyRecipe02","Recipe - Cheap Restore",""
"AB_sc_AlchemyRecipe03","Recipe - Silverfish",""
"AB_sc_AlchemyRecipe04","Recipe - Rejuvenation",""
"AB_sc_AlchemyRecipe05","Recipe - Brick Wall",""
"AB_sc_AlchemyRecipe06","Recipe - Mages Steadfast Mirror",""
"AB_sc_AlchemyRecipe07","Recipe - Eevle's Elixir",""
"AB_sc_AlchemyRecipe08","Recipe - Underwater Explorer",""
"AB_sc_AncestralGuidance","Scroll of Ancestral Guidance",""
"AB_sc_Blank","Standard Scroll",""
"AB_sc_BlankBargain","Bargain Scroll",""
"AB_sc_BlankCheap","Cheap Scroll",""
"AB_sc_BlankExclusive","Exclusive Scroll",""
"AB_sc_BlankQuality","Quality Scroll",""
"AB_sc_CrumpledPaper01","Crumpled Page",""
"AB_sc_CrumpledPaper02","Crumpled Page",""
"AB_sc_mapBlackMarsh","Map of Black Marsh",""
"AB_sc_mapCyrodiil","Map of Cyrodiil",""
"AB_sc_mapElsweyr","Map of Elsweyr",""
"AB_sc_mapHammerfell","Map of Hammerfell",""
"AB_sc_mapHighRock","Map of High Rock",""
"AB_sc_mapMorrowind","Map of Morrowind",""
"AB_sc_mapSkyrim","Map of Skyrim",""
"AB_sc_mapTamriel","Map of Tamriel",""
"AB_sc_mapValenSummerset","Map of Valenwood and Summerset",""
"AB_sc_mapVvAldRuhn","Map of Ald'ruhn",""
"AB_sc_mapVvardenfell","Map of Vvardenfell",""
"AB_sc_mapVvBalmora","Map of Balmora",""
"AB_sc_mapVvSadrithMora","Map of Sadrith Mora",""
"AB_sc_mapVvVivec","Map of Vivec",""
"AB_sc_paperCrumpled ","Crumpled Paper",""
"AB_sc_paperPlainCrumpledInk","Stained Crumpled Paper",""
"AB_sc_paperPlainInkRing","Stained Paper",""
"AB_sc_TheFourthBookOfDust","The Fourth Book of Dust",""
"AB_sc_TheSoftDoctrinesOfMagnus","The Soft Doctrines of Magnus",""
"AB_sc_TramaRoot","On Trama Root",""
"AB_ScEn_Almsivi_d","Defective Scroll of Almsivi",""
"AB_ScEn_AncestralGuidance","Scroll of Ancestral Guidance",""
"AB_ScEn_BalthamsInsight","Scroll of Baltham's Insight",""
