"id","name","tags"
"AB_c_CommonAmulet01","Common Amulet",""
"AB_c_CommonAmulet02","Common Amulet",""
"AB_c_CommonBelt01","Common Belt",""
"AB_c_CommonBelt02","Common Belt",""
"AB_c_CommonRing01","Common Ring",""
"AB_c_CommonRing02","Common Ring",""
"AB_c_CommonRobeBlack","Common Robe",""
"AB_c_CommonShirt02b","Common Shirt",""
"AB_c_CommonShirt05L","Common Shirt",""
"AB_c_DwemerAmuletClock","Dwemer Amulet",""
"AB_c_ExpensiveAmulet01","Expensive Amulet",""
"AB_c_ExpensiveBelt01","Expensive Belt",""
"AB_c_ExpensiveRing01","Expensive Ring",""
"AB_c_ExpensiveRing02","Expensive Ring",""
"AB_c_ExpensiveRing03","Expensive Ring",""
"AB_c_ExquisiteAmulet01","Exquisite Amulet",""
"AB_c_ExquisiteRing01","Exquisite Ring",""
"AB_c_ExtravagantAmulet01","Extravagant Glass Amulet",""
"AB_c_ExtravagantRing01","Extravagant Ring",""
"AB_c_ExtravagantRing02","Extravagant Ring",""
"AB_cEn_OgrimStrengthBelt","Belt of Ogrim's Strength",""
