"id","name","tags"
"AB_f_Bloodgrass_01","Bloodgrass",""
"AB_f_Bloodgrass_02","Planeriven Bloodgrass",""
"AB_f_BlueKanet_01","Blue Kanet",""
"AB_f_BlueKanet_02","Blue Kanet",""
"AB_f_BlueKanHBundle","Blue Kanet",""
"AB_f_CinderLichen_01","Cinderspark Lichen",""
"AB_f_CinderLichen_02","Cinderspark Lichen",""
"AB_f_ComBerryHBundle","Comberries",""
"AB_f_Dustcap_01","Dustcap",""
"AB_f_Dustcap_02","Dustcap",""
"AB_f_Dustcap_03","Dustcap",""
"AB_f_Dustcap_04","Dustcap",""
"AB_f_Fomentarius_01","Blistering Fomentarius",""
"AB_f_Fomentarius_02","Blistering Fomentarius",""
"AB_f_Fomentarius_03","Blistering Fomentarius",""
"AB_f_GlowingMuscaria_01","Glowing Chanterelle",""
"AB_f_GlowingMuscaria_02","Glowing Chanterelle",""
"AB_f_GoldKanHBundle","Gold Kanet",""
"AB_f_HacKle-loHBundle","Hackle-Lo Leaves",""
"AB_f_HackleLo3_o","Hackle-lo",""
"AB_f_HackleLo4_o","Hackle-lo",""
"AB_f_HackleLo5_o","Hackle-lo",""
"AB_f_HackleLo6_o","Hackle-lo",""
"AB_f_Harrada_01","Harrada",""
"AB_f_Harrada_01b","Harrada",""
"AB_f_Harrada_02","Planeriven Harrada",""
"AB_f_HeatherHBundle","Heather",""
"AB_f_MarshmBundle1_o","Marshmerrow Bundle",""
"AB_f_MarshmBundle2_o","Marshmerrow Bundle",""
"AB_f_MarshmGroup_o","Marshmerrow Cluster",""
"AB_f_PomegranateTree01","Pomegranates",""
"AB_f_PomegranateTree02","Pomegranates",""
"AB_f_ScyphaMycena01","Scypha Mycena",""
"AB_f_ScyphaMycena02","Scypha Mycena",""
"AB_f_ScyphaMycena03","Scypha Mycena",""
"AB_f_ScyphaMycena04","Scypha Mycena",""
"AB_f_ScyphaMycena05","Scypha Mycena",""
"AB_f_TramaVine_01","Trama Vine",""
"AB_f_TramaVine_02","Trama Vine",""
"AB_f_TramaVine_03","Trama Vine",""
"AB_f_Urnula_01","Veiled Urnula",""
"AB_f_Urnula_02","Veiled Urnula",""
"AB_f_Urnula_03","Veiled Urnula",""
"AB_f_ViciousMuscaria_01","Vicious Chanterelle",""
"AB_f_ViciousMuscaria_02","Vicious Chanterelle",""
"AB_m_EbonyKwama01","Raw Ebony Vein",""
"AB_o_6thBarrel01","Barrel",""
"AB_o_6thCrate01","Crate",""
"AB_o_6thCrate02","Crate",""
"AB_o_6thCrate03","Crate",""
"AB_o_6thCrate04","Crate",""
"AB_o_6thUrnShort","Iron Urn",""
"AB_o_6thUrnShortMisc","Iron Urn",""
"AB_o_6thUrnTall","Large Iron Urn",""
"AB_o_6thUrnTallMisc","Large Iron Urn",""
"AB_o_AlchJarBGSlime","Jar of Bittergreen Slime",""
"AB_o_AlchJarCorpWeep","Jar of Corprus Weepings",""
"AB_o_AlchJarDreughWax","Jar of Dreugh Wax",""
"AB_o_AlchJarEctoplasm","Jar of Ectoplasm",""
"AB_o_AlchJarResin","Jar of Resin",""
"AB_o_AlchJarShalkResin","Jar of Shalk Resin",""
"AB_o_AlchJarTelResin","Jar of Telvanni Resin",""
"AB_o_AshlScathecraw","Scathecraw Bundle",""
"AB_o_AshlTrinketBox","Trinket Box",""
"AB_o_Bag01Cards","Bag",""
"AB_o_Bag01Food","Bag",""
"AB_o_Bag01Gold","Bag",""
"AB_o_Bag01PosCheap","Bag",""
"AB_o_Bag01PosExp","Bag",""
"AB_o_Bag01Sewing","Bag",""
"AB_o_Bag01Writing","Bag",""
"AB_o_Bag02Cards","Bag",""
"AB_o_Bag02Food","Bag",""
"AB_o_Bag02Gold","Bag",""
"AB_o_Bag02PosCheap","Bag",""
"AB_o_Bag02PosExp","Bag",""
"AB_o_Bag02Sewing","Bag",""
"AB_o_Bag02Writing","Bag",""
"AB_o_Barrel01Bandit","Barrel",""
"AB_o_Barrel01DrinksImp","Barrel",""
"AB_o_Barrel01DrinksLoc","Barrel",""
"AB_o_Barrel01Food","Barrel",""
"AB_o_Barrel01Group","Stack of Barrels",""
"AB_o_Barrel01GroupPos","Stack of Barrels",""
"AB_o_Barrel01Ing","Barrel",""
"AB_o_Barrel01Pos","Barrel",""
"AB_o_Barrel01Smuggler","Barrel",""
"AB_o_Barrel02Group","Stack of Barrels",""
"AB_o_Barrel02GroupPos","Stack of Barrels",""
"AB_o_BarrelFillSturgeon","Sturgeons",""
"AB_o_BarrelS01Food","Barrel",""
"AB_o_BarrelS01Ing","Barrel",""
"AB_o_BarrelS01Pos","Barrel",""
"AB_o_BarrelS02ClothCom","Barrel",""
"AB_o_BarrelS02Food","Barrel",""
"AB_o_BarrelS02Ing","Barrel",""
"AB_o_BarrelS02ShoesCom","Barrel",""
"AB_o_BasketCover1","Covered Basket",""
"AB_o_BasketCover1Bread","Covered Basket",""
"AB_o_BasketCover1Couple","Covered Basket",""
"AB_o_BasketCover1Picnic","Covered Basket",""
"AB_o_BoxFlour","Box of Flour",""
"AB_o_BoxFlourRespawn","Box of Flour",""
"AB_o_BucketFillSfish","Slaughterfish",""
"AB_o_BucketFillSturgeon","Sturgeons",""
"AB_o_ComBasket01Ashl","Basket",""
"AB_o_ComBasket01Food","Basket",""
"AB_o_ComBasket01Ing","Basket",""
"AB_o_ComBasket01Pillows","Basket of Pillows",""
"AB_o_ComBasket01Pos","Basket",""
"AB_o_ComChest02ChpArWp","Chest",""
"AB_o_ComChestIronBandit","Small Iron Box",""
"AB_o_ComChestIronDrugs","Small Iron Box",""
"AB_o_ComChestIronEbony","Small Iron Box",""
"AB_o_ComChestIronEmpty","Small Iron Box",""
"AB_o_ComChestIronGems","Small Iron Box",""
"AB_o_ComChestIronGlass","Small Iron Box",""
"AB_o_ComChestIronGld100","Small Iron Box",""
"AB_o_ComChestIronGld250","Small Iron Box",""
"AB_o_ComChestIronGld50","Small Iron Box",""
"AB_o_ComChestIronGld500","Small Iron Box",""
"AB_o_ComChestIronJewelr","Small Iron Box",""
"AB_o_ComChestIronLckPck","Small Iron Box",""
"AB_o_ComChestIronPosExp","Small Iron Box",""
"AB_o_ComChestIronRepHmr","Small Iron Box",""
"AB_o_ComChestIronSilvwr","Small Iron Box",""
"AB_o_ComChestIronSolGem","Small Iron Box",""
"AB_o_ComChestWornCloth","Large Chest",""
"AB_o_ComChestWornClothF","Large Chest",""
"AB_o_ComChestWornClothM","Large Chest",""
"AB_o_ComChestWornMsugar","Worn Chest",""
"AB_o_ComChestWornPos","Rusted Chest",""
"AB_o_ComChestWornTrink","Worn Chest",""
"AB_o_ComClosetThin","Closet",""
"AB_o_ComCoffinEmpty","Coffin",""
"AB_o_ComCoffinMisc","Coffin",""
"AB_o_ComCookHutchClCook","Hutch",""
"AB_o_ComCookHutchClEmpt","Hutch",""
"AB_o_ComCookHutchClTblw","Hutch",""
"AB_o_ComCookHutchOpCook","Hutch",""
"AB_o_ComCookHutchOpEmpt","Hutch",""
"AB_o_ComCookHutchOpTblw","Hutch",""
"AB_o_ComCookTableCloth","Table",""
"AB_o_ComCookTableCook","Table",""
"AB_o_ComCookTableEmpty","Table",""
"AB_o_ComCookTableKnives","Table",""
"AB_o_ComCrate01","Crate",""
"AB_o_ComCrate01Armor","Crate",""
"AB_o_ComCrate01Bandit","Crate",""
"AB_o_ComCrate01Cloth","Crate",""
"AB_o_ComCrate01Pos","Crate",""
"AB_o_ComCrate01Tablew","Crate",""
"AB_o_ComCrate02","Crate",""
"AB_o_ComCrate02Armor","Crate",""
"AB_o_ComCrate02Bandit","Crate",""
"AB_o_ComCrate02Cloth","Crate",""
"AB_o_ComCrate02Pos","Crate",""
"AB_o_ComCrate02Tablew","Crate",""
"AB_o_ComCrate03","Crate",""
"AB_o_ComCrate03Armor","Crate",""
"AB_o_ComCrate03Bandit","Crate",""
"AB_o_ComCrate03Cloth","Crate",""
"AB_o_ComCrate03EbonWeap","Crate",""
"AB_o_ComCrate03GlasWeap","Crate",""
"AB_o_ComCrate03ImpWeap","Crate",""
"AB_o_ComCrate03Pos","Crate",""
"AB_o_ComCrate04","Crate",""
"AB_o_ComCrate04Armor","Crate",""
"AB_o_ComCrate04Bandit","Crate",""
"AB_o_ComCrate04Cloth","Crate",""
