"id","name","tags"
"AB_IngCrea_ClannClaw_01","Clannfear Claw","Ingredient, Creature, Claw, Clannfear"
"AB_IngCrea_DaeTeeth_01","Daedroth Teeth","Ingredient, Creature, Teeth, Daedroth"
"AB_IngCrea_DreughShell_01","Dreugh Shell","Ingredient, Creature, Shell, Dreugh"
"AB_IngCrea_DungCake","Dung Cake","Ingredient, Food, Pastry"
"AB_IngCrea_GlowbugThoraxBlue","Glowbug Thorax","Ingredient, Creature, Thorax"
"AB_IngCrea_GlowbugThoraxGreen","Glowbug Thorax","Ingredient, Creature, Thorax"
"AB_IngCrea_GuarMeat_01","Guar Meat","Ingredient, Creature, Meat, Guar"
"AB_IngCrea_HorseMeat01","Horse Meat","Ingredient, Creature, Meat, Horse"
"AB_IngCrea_KwamaEggBlighted","Blighted Kwama Egg","Ingredient, Creature, Egg, Kwama"
"AB_IngCrea_KwamaPoison","Kwama Poison","Ingredient, Creature, Venom, Kwama"
"AB_IngCrea_LichDust","Lich Dust","Ingredient, Creature, Dust, Lich"
"AB_IngCrea_OgrimLard","Grim Lard","Ingredient, Creature, Fat"
"AB_IngCrea_SaintsHair","Saint's Hair","Ingredient, Creature, Hair"
"AB_IngCrea_ScribShell_01","Scrib Shell","Ingredient, Creature, Shell, Scrib"
"AB_IngCrea_SfMeat_01","Slaughterfish Meat","Ingredient, Creature, Meat, Slaughterfish"
"AB_IngCrea_Silkgut","Silkgut","Ingredient, Plant"
"AB_IngCrea_SpiderMilk","Spider's Milk","Ingredient, Creature, Milk, Spider"
"AB_IngCrea_SpiderVenom","Spider Venom","Ingredient, Creature, Venom, Spider"
"AB_IngCrea_SprigganEar","Spriggan's Ear","Ingredient, Creature, Ear, Spriggan"
"AB_IngCrea_SturgeonMeat01","Sturgeon Meat","Ingredient, Creature, Meat, Sturgeon"
"AB_IngCrea_SturgeonMeat02","Sturgeon Meat","Ingredient, Creature, Meat, Sturgeon"
"AB_IngCrea_SturgeonMeat03","Sturgeon Meat","Ingredient, Creature, Meat, Sturgeon"
"AB_IngCrea_SturgeonRoe","Sturgeon Roe","Ingredient, Food, Roe, Sturgeon"
"AB_IngCrea_TwilightMembrane","Winged Twilight Membrane","Ingredient, Creature, Membrane, Winged Twilight"
"AB_IngFlor_BgSlime_01","Bittergreen Slime","Ingredient, Plant"
"AB_IngFlor_Bloodgrass_01","Bloodgrass","Ingredient, Plant"
"AB_IngFlor_Bloodgrass_02","Planeriven Bloodgrass","Ingredient, Plant"
"AB_IngFlor_BlueKanet_01","Blue Kanet","Ingredient, Plant"
"AB_IngFlor_CinderSparkLichen_01","Cinderspark Lichen","Ingredient, Plant, Lichen"
"AB_IngFlor_Dustcap","Dustcap","Ingredient, Plant, Mushroom"
"AB_IngFlor_Fomentarius","Blistering Fomentarius","Ingredient, Plant, Mushroom"
"AB_IngFlor_GlMuscaria_01","Glowing Chanterelle","Ingredient, Plant, Mushroom"
"AB_IngFlor_Harrada_01","Harrada","Ingredient, Plant"
"AB_IngFlor_Harrada_02","Planeriven Harrada","Ingredient, Plant"
"AB_IngFlor_Pomegranate01","Pomegranate","Ingredient, Food, Fruit"
"AB_IngFlor_Pomegranate02","Pomegranate","Ingredient, Food, Fruit"
"AB_IngFlor_Scypha","Scypha Mycena Caps","Ingredient, Plant, Mushroom"
"AB_IngFlor_TelvanniResin","Telvanni Resin","Ingredient, Plant, Resin"
"AB_IngFlor_Urnula","Veiled Urnula Cap","Ingredient, Plant, Mushroom"
"AB_IngFlor_ViMuscaria_01","Vicious Chanterelle","Ingredient, Plant, Mushroom"
"AB_IngFood_Bread01a","Bread","Ingredient, Food, Bread"
"AB_IngFood_Bread01b","Bread","Ingredient, Food, Bread"
"AB_IngFood_Bread02","Bread","Ingredient, Food, Bread"
"AB_IngFood_ComJam","Comberry Jam","Ingredient, Food"
"AB_IngFood_DoughLump","Dough","Ingredient, Food"
"AB_IngFood_DoughRolled","Dough","Ingredient, Food"
"AB_IngFood_KwamaEggCentCut","Century Kwama Egg","Ingredient, Creature, Egg, Kwama"
"AB_IngFood_KwamaEggCentWrap","Wrapped Century Kwama Egg","Ingredient, Creature, Egg, Kwama"
"AB_IngFood_KwamaEggSpoilLarge","Spoiled Kwama Egg","Ingredient, Creature, Egg, Kwama"
"AB_IngFood_KwamaEggSpoilSmall","Spoiled Kwama Egg","Ingredient, Creature, Egg, Kwama"
"AB_IngFood_KwamaLoaf","Goros","Ingredient"
"AB_IngFood_KwamaLoafSlice","Goros Slice","Ingredient"
"AB_IngFood_SaltriceBread","Saltrice Bread","Ingredient, Food, Bread"
"AB_IngFood_SaltricePorridge","Saltrice Porridge","Ingredient, Food"
"AB_IngFood_ScuttlePie","Scuttle Pie","Ingredient, Food"
"AB_IngFood_Sweetroll","Sweetroll","Ingredient, Food, Pastry"
"AB_IngFood_WickwheatDumpling","Wickwheat Dumpling","Ingredient, Food"
"AB_IngMine_Amber_01","Amber","Ingredient, Mineral, Gem"
"AB_IngMine_Amethyst_01","Amethyst","Ingredient, Mineral, Gem"
"AB_IngMine_BlackPearl_01","Black Pearl","Ingredient, Mineral, Gem"
"AB_IngMine_BlackTourmaline_01","Black Tourmaline","Ingredient, Mineral, Gem"
"AB_IngMine_BlueDiamond","Blue Diamond","Ingredient, Mineral, Gem"
"AB_IngMine_ChalkWhite","Chalk","Ingredient, Mineral"
"AB_IngMine_Clay01","Clay","Ingredient, Mineral, Clay"
"AB_IngMine_Clay02","Clay","Ingredient, Mineral, Clay"
"AB_IngMine_Diopside_01","Star Diopside","Ingredient, Mineral, Gem"
"AB_IngMine_Firejade_01","Firejade","Ingredient"
"AB_IngMine_Garnet_01","Garnet","Ingredient, Mineral, Gem"
"AB_IngMine_GoldPearl_01","Golden Pearl","Ingredient, Mineral, Gem"
"AB_IngMine_Lodestone","Lodestone","Ingredient, Mineral"
"AB_IngMine_Obsidian_01","Obsidian","Ingredient, Mineral"
"AB_IngMine_Peridot_01","Peridot","Ingredient, Mineral, Gem"
"AB_IngMine_RedDiamond","Red Diamond","Ingredient, Mineral, Gem"
"AB_IngMine_Sapphire_01","Sapphire","Ingredient, Mineral, Gem"
"AB_IngMine_Sulphur","Sulphur","Ingredient, Mineral"
"AB_IngMine_Topaz_01","Topaz","Ingredient, Mineral, Gem"
