"id","name","tags"
"AB_Key_IronRuin01","Iron Key","MiscItem, Key, Iron"
"AB_Key_IronRuin02","Iron Key","MiscItem, Key, Iron"
"AB_Key_IronRuin03","Iron Key","MiscItem, Key, Iron"
"AB_Key_Junk","Worthless Old Key","MiscItem, Key"
"AB_Key_Keyring","Keyring","MiscItem, Clutter"
"AB_Misc_6thAshStatue02","Ash Statue","MiscItem, Decoration"
"AB_Misc_6thAshStatue04","Ash Statue","MiscItem, Decoration"
"AB_Misc_6thAshStatue07","Ash Statue","MiscItem, Decoration"
"AB_Misc_6thAshStatue13","Ash Statue","MiscItem, Decoration"
"AB_Misc_6thBell","Sixth House Bell","MiscItem, Clutter, Sixth House"
"AB_Misc_6thBowl","Sixth House Bowl","MiscItem, Tableware, Sixth House"
"AB_Misc_6thFlute","Sixth House Flute","MiscItem, Instrument, Sixth House"
"AB_Misc_6thMug","Sixth House Mug","MiscItem, Tableware, Sixth House"
"AB_Misc_6thPlate01","Sixth House Plate","MiscItem, Tableware, Sixth House"
"AB_Misc_6thPlate02","Sixth House Plate","MiscItem, Tableware, Sixth House"
"AB_Misc_Abacus","Abacus","MiscItem, Clutter"
"AB_Misc_AlchJarEmpty01","Alchemical Jar","MiscItem, Clutter"
"AB_Misc_AlchJarEmpty02","Alchemical Jar","MiscItem, Clutter"
"AB_Misc_AshlFlute","Ashlander Flute","MiscItem, Instrument, Ashlander"
"AB_Misc_BallLeather","Leather Ball","MiscItem, Clutter, Leather"
"AB_Misc_BallWoodBrown","Wooden Ball","MiscItem, Clutter, Wood"
"AB_Misc_BallWoodRed","Wooden Ball","MiscItem, Clutter, Wood"
"AB_Misc_BkRuinedFolio","Ruined Book","MiscItem, Clutter"
"AB_Misc_BkRuinedOctavo01","Ruined Book","MiscItem, Clutter"
"AB_Misc_BkRuinedOctavo02","Ruined Book","MiscItem, Clutter"
"AB_Misc_BkRuinedQuarto","Ruined Book","MiscItem, Clutter"
"AB_Misc_Blotter","Blotter","MiscItem, Clutter"
"AB_Misc_Bobbin_01","Bobbin","MiscItem, Clutter"
"AB_Misc_Bobbin_02","Bobbin","MiscItem, Clutter"
"AB_Misc_Bobbin_03","Bobbin","MiscItem, Clutter"
"AB_Misc_Bobbin_04","Bobbin","MiscItem, Clutter"
"AB_Misc_Bobbin_05","Bobbin","MiscItem, Clutter"
"AB_Misc_Bone","Bone","MiscItem, Bone"
"AB_Misc_BoneRacerSkull","Cliff Racer Skull","MiscItem, Bone"
"AB_Misc_BoneRatSkull","Rat Skull","MiscItem, Bone"
"AB_Misc_BoneSkelArgFoot","Foot","MiscItem, Clutter"
"AB_Misc_BoneSkelArgPelvis","Pelvis","MiscItem, Clutter"
"AB_Misc_BoneSkelArgSkull","Skull","MiscItem, Bone"
"AB_Misc_BoneSkelArgSkullJaw","Jaw","MiscItem, Clutter"
"AB_Misc_BoneSkelArgSkullUpper","Skull","MiscItem, Bone"
"AB_Misc_BoneSkelArgTail","Tail","MiscItem, Clutter"
"AB_Misc_BoneSkelArmL","Left Arm","MiscItem, Clutter"
"AB_Misc_BoneSkelArmR","Right Arm","MiscItem, Clutter"
"AB_Misc_BoneSkelArmUpperL.1","Left Upper Arm","MiscItem, Clutter"
"AB_Misc_BoneSkelArmUpperL","Left Upper Arm","MiscItem, Clutter"
"AB_Misc_BoneSkelArmUpperR.1","Right Upper Arm","MiscItem, Clutter"
"AB_Misc_BoneSkelArmUpperR","Right Upper Arm","MiscItem, Clutter"
"AB_Misc_BoneSkelArmWristL.1","Left Wrist","MiscItem, Clutter"
"AB_Misc_BoneSkelArmWristL","Left Wrist","MiscItem, Clutter"
"AB_Misc_BoneSkelArmWristR.1","Right Wrist","MiscItem, Clutter"
"AB_Misc_BoneSkelArmWristR","Right Wrist","MiscItem, Clutter"
"AB_Misc_BoneSkelFootL.1","Left Foot","MiscItem, Clutter"
"AB_Misc_BoneSkelFootL","Left Foot","MiscItem, Clutter"
"AB_Misc_BoneSkelFootR.1","Right Foot","MiscItem, Clutter"
"AB_Misc_BoneSkelFootR","Right Foot","MiscItem, Clutter"
"AB_Misc_BoneSkelHandL.1","Left Hand","MiscItem, Clutter"
"AB_Misc_BoneSkelHandL","Left Hand","MiscItem, Clutter"
"AB_Misc_BoneSkelHandR.1","Right Hand","MiscItem, Clutter"
"AB_Misc_BoneSkelHandR","Right Hand","MiscItem, Clutter"
"AB_Misc_BoneSkelKhaFoot","Foot","MiscItem, Clutter"
"AB_Misc_BoneSkelKhaTail","Tail","MiscItem, Clutter"
"AB_Misc_BoneSkelLegL","Left Leg","MiscItem, Clutter"
"AB_Misc_BoneSkelLegR","Right Leg","MiscItem, Clutter"
"AB_Misc_BoneSkelLegShinL.1","Left Shin","MiscItem, Clutter"
"AB_Misc_BoneSkelLegShinL","Left Shin","MiscItem, Clutter"
"AB_Misc_BoneSkelLegShinR.1","Right Shin","MiscItem, Clutter"
"AB_Misc_BoneSkelLegShinR","Right Shin","MiscItem, Clutter"
"AB_Misc_BoneSkelLegUpperL.1","Upper Left Leg","MiscItem, Clutter"
"AB_Misc_BoneSkelLegUpperL","Upper Left Leg","MiscItem, Clutter"
"AB_Misc_BoneSkelLegUpperR.1","Upper Right Leg","MiscItem, Clutter"
"AB_Misc_BoneSkelLegUpperR","Upper Right Leg","MiscItem, Clutter"
"AB_Misc_BoneSkelPelvis","Pelvis","MiscItem, Clutter"
"AB_Misc_BoneSkelRibs","Ribs","MiscItem, Clutter"
"AB_Misc_BoneSkelSkullGhoul","Ash Ghoul Skull","MiscItem, Bone"
"AB_Misc_BoneSkelSkullJaw","Jaw","MiscItem, Clutter"
"AB_Misc_BoneSkelSkullNoJaw","Skull","MiscItem, Bone"
"AB_Misc_BoneSkelSkullUpper","Skull","MiscItem, Bone"
"AB_Misc_BoneSkelTorso","Torso","MiscItem, Clutter"
"AB_Misc_BoneSkelTorsoBroken","Broken Torso","MiscItem, Clutter"
"AB_Misc_BottleBrkBluBot","Broken Bottle","MiscItem, Tableware"
"AB_Misc_BottleBrkBluTop","Broken Bottle","MiscItem, Tableware"
"AB_Misc_BottleBrkBrwBot","Broken Bottle","MiscItem, Tableware"
"AB_Misc_BottleBrkBrwTop","Broken Bottle","MiscItem, Tableware"
"AB_Misc_BottleBrkGrnBot","Broken Bottle","MiscItem, Tableware"
"AB_Misc_BottleBrkGrnTop","Broken Bottle","MiscItem, Tableware"
"AB_Misc_BottleBrkRedBot","Broken Bottle","MiscItem, Tableware"
"AB_Misc_BottleBrkRedTop","Broken Bottle","MiscItem, Tableware"
"AB_Misc_Brush","Brush","MiscItem, Clutter"
"AB_Misc_CeramicTeapot01","Ceramic Teapot","MiscItem, Clutter, Ceramic"
"AB_Misc_CeramicTeapot01Hang","Ceramic Teapot","MiscItem, Clutter, Ceramic"
"AB_Misc_ChiselCold","Cold Chisel","MiscItem, Clutter"
"AB_Misc_ChiselHot","Hot Chisel","MiscItem, Clutter"
