"id","name","tags"
"AB_w_AdamRapier","Adamantium Rapier",""
"AB_w_AshlBoneArrow","Ashlander Bone Arrow",""
"AB_w_AshlEbonyArrow","Ashlander Ebony Arrow",""
"AB_w_AshlGlassArrow","Ashlander Glass Arrow",""
"AB_w_AshlGlassClub","Ashlander Glass Club",""
"AB_w_AshlGlassDagger","Ashlander Glass Dagger",""
"AB_w_AshlGlassLongsword","Ashlander Glass Longsword",""
"AB_w_AshlGlassShortsword","Ashlander Glass Shortsword",""
"AB_w_AshlGlassSpear","Ashlander Glass Spear",""
"AB_w_AshlGlassStaff","Ashlander Glass Staff",""
"AB_w_AshlGlassWarAxe","Ashlander Glass War Axe",""
"AB_w_AshlStaffAzura","Staff of Visions",""
"AB_w_AshlStaffBoethiah","Staff of Trials",""
"AB_w_AshlStaffMephala","Staff of Secrets",""
"AB_w_BoneArrow","Bone Arrow",""
"AB_w_BoneBolt","Bone Bolt",""
"AB_w_BoneSaw","Bonesaw",""
"AB_w_BoneScepter","Bone Scepter",""
"AB_w_BoneScepterBldFeast","Blood Feast Scepter",""
"AB_w_BoneScepterDevil","Devil Scepter",""
"AB_w_BoneScepterFiend","Fiend Scepter",""
"AB_w_BoneScepterSummAnc","Bone Scepter of the Ancestors",""
"AB_w_BoneScepterSummSkel","Boneruler",""
"AB_w_BottleBroken","Broken Bottle",""
"AB_w_ChitinDart","Chitin Dart",""
"AB_w_ChitinGreatmace","Chitin Greatmace",""
"AB_w_ChitinHalberd","Chitin Halberd",""
"AB_w_ChitinLongbow","Chitin Longbow",""
"AB_w_ChitinLongspear","Chitin Longspear",""
"AB_w_ChitinLongsword","Chitin Longsword",""
"AB_w_ChitinMace","Chitin Mace",""
"AB_w_ChitinSickle","Chitin Sickle",""
"AB_w_CookKnifeBone","Boning Knife",""
"AB_w_CookKnifeBread","Bread Knife",""
"AB_w_CookKnifeChef","Cook's Knife",""
"AB_w_CookKnifeCleave","Cleaver",""
"AB_w_CookKnifeDinner","Knife",""
"AB_w_DaedricHalberd","Daedric Halberd",""
"AB_w_DaedricKnife","Daedric Throwing Knife",""
"AB_w_DaedricRapier","Daedric Rapier",""
"AB_w_DaedricScepter","Daedric Scepter",""
"AB_w_DaedricScepterSheo","Sheogorath's Taming Rod",""
"AB_w_DaedricShortbow","Daedric Shortbow",""
"AB_w_DaedricStar","Daedric Throwing Star",""
"AB_w_DaeLongpear","Daedric Longspear",""
"AB_w_DreughArrow","Dreugh Arrow",""
"AB_w_DreughBattleAxe","Dreugh Battle Axe",""
"AB_w_DreughClaymore","Dreugh Claymore",""
"AB_w_DreughDagger","Dreugh Dagger",""
"AB_w_DreughGreatmace","Dreugh Greatmace",""
"AB_w_DreughHalberd","Dreugh Halberd",""
"AB_w_DreughLongsword","Dreugh Longsword",""
"AB_w_DreughMace","Dreugh Mace",""
"AB_w_DreughShortbow","Dreugh Shortbow",""
"AB_w_DreughShortsword","Dreugh Shortsword",""
"AB_w_DreughSpear","Dreugh Spear",""
"AB_w_DreughWarAxe","Dreugh War Axe",""
"AB_w_DwrvArbalest","Dwarven Arbalest",""
"AB_w_DwrvBolt","Dwarven Bolt",""
"AB_w_DwrvDagger","Dwarven Dagger",""
"AB_w_DwrvKnife","Dwarven Throwing Knife",""
"AB_w_DwrvLongspear","Dwarven Longspear",""
"AB_w_DwrvLongsword","Dwarven Longsword",""
"AB_w_DwrvScepter","Dwarven Scepter",""
"AB_w_DwrvScepterDrnFatigue","Scepter of Wounds",""
"AB_w_DwrvScepterPoison","Last Judgment",""
"AB_w_DwrvScepterShock","Storm Crest",""
"AB_w_DwrvScepterSound","Dwarven Acoustic Rod",""
"AB_w_DwrvSpectreHammer","Dwarven Hammer",""
"AB_w_DwrvSpectreSword","Dwarven Shortsword",""
"AB_w_DwrvStar","Dwarven Throwing Star",""
"AB_w_DwrvToolCrowbar","Dwemer Crowbar",""
"AB_w_EbonyBolt","Ebony Bolt",""
"AB_w_EbonyBolt_Bdeath","Ebony Bolt of Black Death",""
"AB_w_EbonyBolt_Rdeath","Ebony Bolt of Red Death",""
"AB_w_EbonyBolt_Viper","Ebony Viper Bolt",""
"AB_w_EbonyBow","Ebony Longbow",""
"AB_w_EbonyClaymore","Ebony Claymore",""
"AB_w_EbonyDagger","Ebony Dagger",""
"AB_w_EbonyDaiKatana","Ebony Dai-katana",""
"AB_w_EbonyGlaive","Ebony Glaive",""
"AB_w_EbonyHalberd","Ebony Halberd",""
"AB_w_EbonyKatana","Ebony Katana",""
"AB_w_EbonyKnife","Ebony Throwing Knife",""
