"id","name","tags"
"TR_i2_454_llansubalm","Llansu Balm",""
"TR_i2_454_serynward","Unguent of St. Seryn",""
"TR_i2_tramatea","Trama Tea",""
"TR_i3-287_skooma_spiled","Waterlogged Skooma",""
"TR_i3-726-Imp_p_blindingflash","Blinding Flash Potion",""
"TR_i3-726-Imp_p_ether","Potion of Ether",""
"TR_i3-726-Imp_p_inspiration","Potion of Inspiration",""
"TR_i3-726-Imp_p_nether","Potion of Nether",""
"TR_i3-726-Imp_p_physlube","Potion of Physical Lubrication",""
"TR_i3-726-Imp_p_psychlube","Potion of Psychical Lubrication",""
"TR_i3-726-Imp_p_rejuveation_e","Exclusive Rejuvenation Potion",""
"TR_i3-726-Imp_p_rejuveation_q","Quality Rejuvenation Potion",""
"TR_i3-726-Imp_p_socilube","Potion of Social Lubrication",""
"TR_i3-726-Imp_p_wind","Potion of the Wind",""
"TR_m0_YakinPotion","Yakin Bael's Potion",""
"TR_m1_bugmusk","Half Bottle of Bug Musk",""
"TR_m1_Faruna_SpecialMix","Faruna's Special Mix",""
"TR_m1_FW_TelynReagent","Telyn's Reagent",""
"TR_M1_GS_MQ_5_Reward","Sacred Oil",""
"TR_m1_PT_Redram_Pot","Rantela Irenam's Shadow Potion",""
"TR_m1_Q59_MaI_Pot","Rantela Irenam's Shadow Potion",""
"TR_M1_Q66_Ra2_rat_blood","Plague Rat Blood",""
"TR_m1_q_SinsalAccuse","Deadly Poison",""
"TR_m1_Tel_Scampskinsoup_AA","Scamp Broth",""
"TR_m1_unknown_potion","Unidentified potion",""
"TR_m1_unknown_potion_2","Unidentified Potion",""
"TR_m1_unknown_potion_3","Unidentified Potion",""
"TR_m2_Bthang_dwrv_Oil","Spoiled Dwemer Oil",""
"TR_m2_i2_454_powder","Timsa Powder",""
"TR_m2_q_14_NalethSkooma","Naleth's Skooma",""
"TR_m2_q_14_Potion","Syrinia's Potion",""
"TR_m2_q_18_Potion","Sendas's Cure",""
"TR_m2_q_4_AnnavenePoison","Annavene Selas' Poison",""
"TR_m2_q_AB_RegrowthPotion","Regrowth Potion",""
"TR_m2_q_VaerinPunavit","Refined Punavit Residue",""
"TR_m3-131_Levitation_spoiled","Spoiled Rising Force Potion",""
"TR_m3_AimrahPoison01","Weak Poison",""
"TR_m3_Aim_SevenWondersPotion","Potion of Seven Wonders",""
"TR_m3_AT_SilentNight_pot","Narusya's Potion of Silence",""
