"id","name","tags"
"TR_m1_drathcaltel","Drathor's Calcinator",""
"TR_m1_faruna_alembic","Faruna's Alembic",""
"TR_m1_faruna_calcinator","Faruna's Calcinator",""
"TR_m1_faruna_mortar_ya","Faruna's Mortar and Pestle",""
"TR_m1_faruna_retort","Faruna's Retort",""
"TR_m1_rathra_alembic","Rathra's Alembic",""
"TR_m1_rathra_calcinator","Rathra's Calcinator",""
"TR_m1_rathra_mortar","Rathra's Mortar and Pestle",""
"TR_m1_rathra_retort","Rathra's Retort",""
"TR_m7_apparatus_g_calcinator_02","Grandmaster's Calcinator",""
"TR_m7_apparatus_j_retort_02","Journeyman's Retort",""
"TR_m7_apparatus_m_alembic_02","Master's Alembic",""
"TR_m7_apparatus_sm_alembic_02","Secret Master's Alembic",""
"TR_m7_apparatus_sm_calcin_02","Secret Master's Calcinator",""
"TR_m7_apparatus_sm_mortar_02","SecretMaster's Mortar and Pestl",""
"TR_m7_apparatus_sm_retort_02","Secret Master's Retort",""
"TR_m7_Ns_JNS_3_TombAlembic","Apprentice's Alembic",""
"TR_m7_Ns_JNS_3_TombCalcinator","Apprentice's Calcinator",""
"TR_m7_Ns_JNS_3_TombMortar","Journeyman's Mortar and Pestle",""
"TR_m7_Ns_JNS_3_TombRetort","Journeyman's Retort",""
