"id","name","tags"
"TR_a-m2-56-gashcrown","Gashcrown","Armor, Medium, Helmet"
"TR_Alandro_towershield","Alandro's Shield","Armor, Light, Shield"
"TR_a_i3-737_Tarons_Reach","Captain Taron's Reach","Armor, Light, Bracer, Right"
"TR_Firemoth_Scrap_Helmet_En","Bthamun's Soothsight","Armor, Medium, Helmet"
"TR_i2-235_bonemold_towershield","Bonemold Tower Shield","Armor, Medium, Shield, Bonemold"
"TR_i2-235_dragonscale_tower","Dragonscale Tower Shield","Armor, Medium, Shield"
"TR_i2-235_dwemer_shield","Dwemer Shield","Armor, Heavy, Shield, Dwemer"
"TR_i2-235_goblin_shield","Goblin Buckler","Armor, Light, Shield"
"TR_i2-235_imperial shield","Imperial Shield","Armor, Heavy, Shield, Imperial"
"TR_i2-235_iron_towershield","Iron Tower Shield","Armor, Heavy, Shield, Iron"
"TR_i2-235_steel_towershield","Steel Tower Shield","Armor, Heavy, Shield, Steel"
"TR_i2-410_a_dres_cuirass_broken","Native Gah'Kogo Cuirass","Armor, Medium, Cuirass"
"TR_i3-280_a_ProvocativeHelm","Provocative Helmet","Armor, Heavy, Helmet"
"TR_i3-649_imp shield nopickup","Imperial Shield","Armor, Heavy, Shield, Imperial"
"TR_m1_C_Eyeball88_Helm","Helm of the Creative","Armor, Light, Helmet"
"TR_m1_Ench_Shield_i62","Lleneris Darys' Shield","Armor, Medium, Shield"
"TR_m1_Ench_Shield_i62_free","Lleneris Darys' Shield","Armor, Medium, Shield"
"TR_m1_Ench_Towershield","Mirror Shield","Armor, Light, Shield"
"TR_m1_FWMG_BootsOfCapacity","Boots of Capacity","Armor, Light, Boots"
"TR_m1_FW_WizardRestraintL","Left Wizard's Shackle","Armor, Heavy, Bracer, Left"
"TR_m1_FW_WizardRestraintR","Right Wizard's Shackle","Armor, Heavy, Bracer, Right"
"TR_m1_GalanBrandtCuirass","Cuirass of Great Bulwark","Armor, Medium, Cuirass"
"TR_m1_Goblin_Trophy","Goblin Slayer's Trophy","Armor, Light, Shield"
"TR_m1_GrazgobShield","Grazgob gro-Muzbog's Shield","Armor, Heavy, Shield"
"TR_m1_g_boots_jump","Acrobat's Boots","Armor, Light, Boots"
"TR_m1_molecrab_cuirass_protect","Mole Crab Cuirass of Fortitude","Armor, Light, Cuirass"
"TR_m1_q_GadavesGreaves","Gadaves' Dreugh Greaves","Armor, Medium, Greaves, Dreugh"
"TR_m1_q_RanShield1","Iron Shield","Armor, Heavy, Shield, Iron"
"TR_m1_q_RanShield2","Iron Shield","Armor, Heavy, Shield, Iron"
"TR_m1_raptures fist","Rapture's Fist","Armor, Medium, Gauntlet, Left"
"TR_m1_silver_duchguard_cuirass","Duchess' Guard Silver Cuirass","Armor, Heavy, Cuirass, Silver"
"TR_m1_TT_RatagosGauntlet","Ratagos' Guard","Armor, Medium, Gauntlet, Right"
"TR_m1_TW_AeonianShield","Aeonian Shield","Armor, Heavy, Shield"
"TR_m2_a_Crabwalker_boots","Boots of the Crabwalker","Armor, Light, Boots"
"TR_m2_a_explorer_boots","Boots of the Explorer","Armor, Light, Boots"
"TR_m2_a_Gidaves'_Bracer","Gidaves' Bracer","Armor, Medium, Bracer, Right"
"TR_m2_a_Lzigat_PauldL_Uni","Left Pauldron of Lzigat","Armor, Heavy, Pauldron, Left, Unique"
"TR_m2_a_Lzigat_PauldR_Uni","Right Pauldron of Lzigat","Armor, Heavy, Pauldron, Right, Unique"
"TR_m2_a_RepairHelm_uni","Dwemer Mechanic's Headgear","Armor, Heavy, Helmet, Dwemer, Unique"
"TR_m2_face_hortator_uni","Face of the Hortator","Armor, Heavy, Helmet, Unique"
"TR_M2_MG_Lamp_Kaishi_Cuirass","Cuirass of Star's Benison","Armor, Heavy, Cuirass"
"TR_m2_q_22_CursedShield","Dwemer Shield","Armor, Heavy, Shield, Dwemer"
"TR_m2_q_22_CursedShieldEx","Dwemer Shield","Armor, Heavy, Shield, Dwemer"
