"id","name","tags"
"TR_AimrahIC6_KeepersLog","Ulvo's Diary",""
"TR_AimrahIC6_KeepersLog2","Notes on Dreugh",""
"TR_AimrahIC6_Sermon28Revised","36 Lessons of Vivec, Sermon 28",""
"TR_bk-m2-56-delynmanuscript","Equity and Transgression",""
"TR_bk_i2-25-Bonewalkerbook","Bonewalker Preparation",""
"TR_bk_i2-25_Temple-corpse-prep","Corpse preparation directions",""
"TR_bk_i2-428-Tri_war loot","The Fate of House Dwemer",""
"TR_bk_i2-428_houseshonored","The True Houses",""
"TR_bk_i3-730","Note to Sathis",""
"TR_bk_i4-398-Invoice","Delivery Invoice",""
"TR_bk_i4-410_note","Note",""
"TR_bk_m2-68_bwblessings","Bonewalker Blessings",""
"TR_bk_m2_i2-437-tri_chronicle","Temple Administration Chronicle",""
"TR_bk_m2_i2-437-tri_ledger","Necrom Temple Maintenance",""
"TR_bk_m2_i2-437-tri_ledger2","Necrom Temple Annual Expenses",""
"TR_bk_m2_i2-437-tri_ledger2uni","Necrom Temple Financial Summary",""
"TR_bk_m2_i2-437-tri_ledger4c","Necrom Temple Ledger",""
"TR_bk_m2_i2-437-tri_ledger4o","Necrom Temple Ledger",""
"TR_bk_m2_i2-437-tri_ledger5","Necrom Temple Annual Income",""
"TR_bk_m2_i3-437-Tri_freportm","Necrom Monthly Financial Report",""
"TR_bk_m3_Nethril-records","Nethril Plantation Records",""
"TR_bk_m4-290-Ledger","Bodrum Ledger",""
"TR_BK_m4-327_Ledger","Ledger",""
"TR_bk_m4-368-ArmorerNote","Tattered Note",""
"TR_bk_m4_letter_Wesencolm","Letter From Wesencolm",""
"TR_bk_notefromsmugglers","Hastily Scrawled Note",""
"TR_bk_obituary_i2-428-Tri","An Obituary",""
"TR_Firemoth_InventoryRegist_01","Inventory Register",""
"TR_Firemoth_ShipwreckLog01","Journal of Aventus Phrelitus",""
"TR_FM_Bk_PrisonLedger","Firemoth Prison Ledger",""
"TR_FM_Bk_SmugglingNotes","Firemoth Investigation Notes",""
"TR_Gan-Ettu","Quest Landmark",""
"TR_i2-25-Tri-notes","Notes",""
"TR_i2-355-TriBlessing01","Blessing of the Living Gods",""
"TR_i2-355-TriBlessing02","Shelter from the Sharmat",""
"TR_i2-355-TriBlessing03","Guidance of the Ancestors",""
"TR_i2-355-TriBlessing04","Supplication to Almsivi",""
"TR_i2-355-TriBlessing05","Protection from the Sinners",""
"TR_i2-427_bklament","The Second Book of Lamentations",""
"TR_i2_16 Eggmines Ledger","Akamora Eggmines Ledger",""
"TR_i2_238_bk_aquisition","Scroll Lending Rules",""
"TR_i2_238_bk_rogue_indoril","Commandant's Log",""
"TR_i2_238_bk_scrollledger","Ledger",""
"TR_i2_238_note_alaud","Note to Alaud",""
"TR_i2_238_note_soren","A Note to Soren",""
"TR_i2_303_journalNerendus","Journal of Giden Nerendus",""
"TR_i2_9_Arazanos Lyrics","Scribbled down Lyrics",""
"TR_i3-244_bk_recipes","Baking Recipes",""
"TR_i3-277_contract","Blank Loan Contract",""
"TR_i3-277_Records","Financial Records",""
"TR_i3-279-NOTE","note",""
"TR_i3-280_sc_WarningNote","WARNING!",""
"TR_i3-287-Imp-NC","Navy chart",""
"TR_i3-287_bk_Confi_Ledger-o","Imperial Navy Ledger",""
"TR_i3-287_bk_Navy_Ledger-c","Imperial Navy Ledger",""
"TR_i3-287_bk_Navy_Ledger-o","Imperial Navy Ledger",""
"TR_i3-30-urnlog","records",""
"TR_i3-374-hla_logbook","Teyn Customs Shipping Log",""
"TR_i3-407-Ind_prison log","Prisoner Checklist",""
"TR_i3-542_Tattered_Journal","A Tattered Journal",""
"TR_i3-591_sc_MoraelynNote1","First of withered fragments",""
"TR_i3-591_sc_MoraelynNote2","Second of withered fragments",""
"TR_i3-591_sc_MoraelynNote3","Third of withered fragments",""
"TR_i3-685_TheTaleOfBloodstoneSh","The Tale of Bloodstone Shrine",""
"TR_i3-688_shippingledger","Shipping Ledger",""
"TR_i3-722_bk_cookie_recipe","Biscuit Recipe",""
"TR_i3-729_bk_MiningLedger","Adamantium Mining Ledger",""
"TR_i3-729_bk_missingsurveyors","Missing Miners",""
"TR_i3-729_bk_strangesightin","Strange Sightings Report",""
"TR_i3-729_bk_surveyteam","Survey Team Report",""
"TR_i3-789-Imp_PillowNote","Note under the pillow",""
"TR_i4-256-Hla_MiningContract","Mining Contract",""
"TR_i4-256-Hla_RecordBook1","Ledger",""
"TR_i4-502_note","Note from Faldrim",""
"TR_i4_477_note","Sloppy Scrawlings",""
"TR_LA1_Grotto_1_Journal_1","Thief's Journal 1",""
"TR_LA1_Grotto_1_Journal_2","Thief's Journal 2",""
"TR_LA_ParuddmasMaw_Int_Dung","Dungeon Entrance",""
"TR_LA_ParuddmasMaw_Treasure","Treasure",""
"TR_LA_Stronghold_Pilgrim","Note to Pilgrim",""
"TR_m0_Firemoth_IC","Note To Self",""
"TR_m0_Firemoth_PlayerHome","Note To Self",""
"TR_m0_HH_OranInvitationLetter","Letter from Atran Oran",""
"TR_m0_MG_TenyeminweLetter","Letter to Banvira Auctoria",""
"TR_m0_q_AjiraLetter","Letter to Bribanne Erien",""
"TR_m0_q_AndasLetter","Letter from Tholer Andas",""
"TR_m0_q_TT_AnoForondas","Letter to Ano Forondas",""
"TR_m1_bk_BowmanJournal_Siridun","Old Journal from Siridunbal",""
"TR_m1_bk_BO_PrisonLog","Bal Oyra Prison Log",""
"TR_m1_bk_Ghost_Note","Note",""
"TR_m1_bk_GilanSpeech_Uni","Gilan Llarethi's Speech",""
"TR_m1_bk_i1-36","Journal of Tyertil",""
"TR_m1_bk_Icebreaker_PrisonLog","Icebreaker Keep Prison Log",""
"TR_m1_bk_IL_Tiberianote","Package for Tiberia Rone",""
"TR_m1_bk_lettertolavidia","Letter to Lavidia",""
"TR_m1_bk_Plain","Blank Book",""
"TR_m1_bk_RR_einnisa_diary","Einnisa's Journal",""
"TR_m1_bk_RR_MineList","Ranyon-ruhn Mining Ledger",""
"TR_m1_bk_SilverSerpentJournal","Private Notebook",""
"TR_m1_bk_TheRealBarenziahII","The Real Barenziah Part 2",""
"TR_m1_bk_TO_MM_Log","The Magic Mudcrab Logbook",""
"TR_m1_bk_T_Vault_Ledger","Telvanni Vault Ledger",""
"TR_m1_bk_T_Visitor_Book","Telvanni Council Visitors Log",""
"TR_m1_Briricca_Accounts","Briricca Accounts",""
"TR_m1_EECnote_i1-13","Letter to Old Ebonheart",""
"TR_m1_EEC_Cost_Estimate","EEC Cost Estimate",""
"TR_m1_FG_Darnellnote","Darnell's ""Letter of Arrest""",""
"TR_m1_FW_AntoniRecords","Antoni Records",""
"TR_m1_FW_BrazenNote","An unsigned note",""
"TR_m1_FW_Briricca_Vaults","Briricca Vaults",""
"TR_m1_FW_CEWarrant","Search Warrant: Brazen Maiden",""
"TR_m1_FW_College_BookNote1","Note to Absolon",""
"TR_m1_FW_College_BookNote2","Notes on ""First Council Census""",""
"TR_m1_FW_College_BookNote3","Scholar's Notes",""
"TR_m1_FW_College_BookNote4","Note on the Sermons",""
"TR_m1_FW_College_Classroom1","Classroom",""
"TR_m1_FW_College_Classroom2","Classroom",""
"TR_m1_FW_College_Classroom3","Classroom",""
"TR_m1_FW_College_EnrollmentInfo","Tuition and Fees",""
"TR_m1_FW_College_EnrollmentLog","Enrollment Log",""
"TR_m1_FW_College_GiLeiNote","Letter to Jeanette Sitte",""
"TR_m1_FW_College_LibChimar","Chimarvamidium",""
"TR_m1_FW_College_LibEmpBooks","The Empire",""
"TR_m1_FW_College_LibGeoBooks","Geographic Texts",""
"TR_m1_FW_College_LibHistBooks","The Wider Empire",""
"TR_m1_FW_College_LibMagBooks","Arcana and the Sciences",""
"TR_m1_FW_College_LibMwBooks","Morrowind",""
"TR_m1_FW_College_LibNecrBooks","Necromantic Texts",""
"TR_m1_FW_College_LibPhiBooks","Philosophies of Thought",""
"TR_m1_FW_College_LibPoetry","Poetry and Verse",""
"TR_m1_FW_College_LibRareBooks","Rarities",""
"TR_m1_FW_College_MusAnchor","Anchor of the Crimson Storm",""
"TR_m1_FW_College_MusBone","Kamal Bone Fragment",""
"TR_m1_FW_College_MusDeTomb","Ancestral Tombs",""
"TR_m1_FW_College_MusDwe","Dwarven Artifacts",""
"TR_m1_FW_College_MusMap","Navigational Tools",""
"TR_m1_FW_College_MusPainting1","The Shoals of Septimia",""
"TR_m1_FW_College_MusPainting2","Cape Craesa",""
"TR_m1_FW_College_MusPottery","Dark Elf Craftsmanship",""
"TR_m1_FW_College_MusQuey","Quey Canoe",""
"TR_m1_FW_College_MusRunestone","Roscrean Runestone Fragment",""
"TR_m1_FW_College_MusShield","Shield of the Emperor",""
"TR_m1_FW_College_MusStone","The Stone of Septimia",""
"TR_m1_FW_College_MusTelv","Dark Elven Helms",""
"TR_m1_FW_College_MusToro","Ynesai Toro",""
"TR_m1_FW_College_MusTsaesci","Tsaesci Artifacts",""
"TR_m1_FW_College_Mus_Banner","War-Banner of Prince Bashomon",""
"TR_m1_FW_College_NotesGeog","Student's Notes",""
"TR_m1_FW_College_NotesLaw","Student's Notes",""
"TR_m1_FW_College_Vaynth","Duchess Vaynth",""
"TR_m1_FW_DaranithAd","Dungeon or Daranith?",""
"TR_m1_FW_DustmothNote01","Furious Scrawlings",""
"TR_m1_FW_DustmothNote02","Dustmoth Dossier - Volume VII",""
"TR_m1_FW_IC2_NoteBad","Letter from Gilara Renus",""
"TR_m1_FW_IC2_NoteGood","Letter from Gilara Renus",""
"TR_m1_FW_IC5_OrotrhiNote","Note on Orothri Ancestral Tomb",""
"TR_m1_FW_LetterToSelura","Letter to Selura",""
"TR_m1_FW_MGEncryptionKeys","Banvira's Encryption Keys",""
"TR_m1_FW_MG_AbsolonNotebook","Absolon's Notebook",""
"TR_m1_FW_OutOfOrder_Prisoner","",""
"TR_m1_FW_Palace_HouseholdRecord","Ducal Household Records",""
"TR_m1_FW_Palace_TreasuryRecords","Treasury Records",""
"TR_m1_FW_RL_ShippingLog01","Runners League Shipping Log",""
"TR_m1_FW_RL_ShippingLog02","Runners League Shipping Log",""
"TR_m1_FW_SecretNote","Directions to the Commission",""
