"id","name","tags"
"TR_amulet_baluath","Baluath Amulet",""
"TR_amulet_orlukh","Orlukh Amulet",""
"TR_ext_glove_m2-56_brevur","Brevur's Aurous Grasp",""
"TR_FM_Cl_AmuletAbyssalThunderer","Amulet of the Abyssal Thunderer",""
"TR_i2_454_threeseals","Three Seals Amulet",""
"TR_i2_ancestralwardamulet","Ancestral Ward Amulet",""
"TR_i3-217_BrokenShoes","Damaged Shoes",""
"TR_i3-217_DamagedShoes","Common Shoes",""
"TR_i4-517_belt_purity","Belt of Purity",""
"TR_i4_359_Lasska_ring","Lasska's Wedding Ring",""
"TR_m0_LuckyBelt","Alomon's Lucky Belt",""
"TR_m0_Passwall_Amulet_Inert","Amulet of Passwall [Damaged]",""
"TR_m1_AlavisRingOfSoothing","Alavi's Ring of Soothing",""
"TR_m1_amulet_josephus","Josephus Family Amulet",""
"TR_m1_cl_i2_MelieRobe","Melie's Robe",""
"TR_m1_EEC_ZarenPants","Zaren's Pants",""
"TR_m1_fisherman's_amulet","Fisherman's Lucky Amulet",""
"TR_m1_fisherman_ring","Gavis Arantam's Ring",""
"TR_m1_FW_IC_RingRespite","Ring of Respite",""
"TR_m1_FW_StoneSeptimia","Stone of Septimia",""
"TR_m1_HT_Fa1_Reward","Falar's Emberfist",""
"TR_m1_HT_Nu1_almalexias_grace","Amulet of Almalexia's Grace",""
"TR_m1_HT_Nu1_Bonerasiers_Amulet","Boneraiser's Amulet",""
"TR_m1_Long_fingers","Longfingers",""
"TR_m1_Nandor_Amulet","Amulet of Swift Swimming",""
"TR_m1_Nimble_Fingers","Nimblefingers",""
"TR_m1_Piransunabi_anglering","Ring of Angler's Lure",""
"TR_m1_PT_Redram_Reward_Ring","Inera's Ring of Shaming Silence",""
"TR_m1_Q50_GO3_RingforVSadas","Ring of Averting Gaze",""
"TR_m1_Q54_AlavisRingOfSoothing","Alavi's Ring of Soothing",""
"TR_m1_Q59_LiT_reward","Ghernn's Ring of Fire",""
"TR_m1_Q_am_weird_uni","Weird Amulet",""
"TR_m1_Q_AmuletOfEvasion","Amulet of Evasion",""
"TR_m1_Q_AngonsRobe","Angon's Poisoneater Robe",""
"TR_m1_q_Bah_gloveL","Stuffed Guarskin Left Glove",""
"TR_m1_q_Bah_gloveR","Stuffed Guarskin Right Glove",""
"TR_m1_q_BradasouRing","Bradasou's Ring",""
"TR_m1_q_CacophanyRing","Siren's Ring",""
"TR_m1_q_Dr1Reward","Amulet of Farthil's Ward",""
"TR_m1_q_GaldasiReward","Amulet of Swiftstep",""
"TR_m1_q_Ineptitude","Ring of Ineptitude",""
"TR_m1_q_MG3Reward","Amulet of Humbling Touch",""
"TR_m1_q_MG3RewardRing","Viccia's Ring of Alteration",""
"TR_m1_q_MG6RewardLeft","Ether Bloom",""
"TR_m1_q_MG6RewardRight","Ether Leech",""
"TR_m1_q_Mi2Reward","Ring of Ostros' Knack",""
"TR_m1_q_Radasar's Veil","Radasar's Veil",""
"TR_m1_Q_RangirthRing","Ring of Rising Fortunes",""
"TR_m1_q_RathraAmulet","Amulet of Redistribution",""
"TR_m1_q_RathraGlove1","The Left Hand of the Warlock",""
"TR_m1_q_RathraGlove2","The Right Hand of the Warlock",""
