"id","name","tags"
"TR_i3-280_ingred_cursed_diamond","Maniel's Diamond","Ingredient, Mineral, Gem"
"TR_i3-591_ingred_RaathimAsh","Raathim Gravedust","Ingredient, Mineral, Dust"
"TR_i3-685_OutlawsBlood","Blood Stone","Ingredient, Creature, Blood"
"TR_i4-507_ingred_hla_pearl","Edelmine's Pearl","Ingredient, Mineral, Gem"
"TR_m1_ingred_ceph_shell_uni","Ruined Cephalopod Shell","Ingredient, Creature, Shell, Unique"
"TR_m1_Ingred_Opal_i62","Opal Stone","Ingredient, Mineral, Gem"
"TR_m1_q51_ingred_BOmusk_UNI","Raw Musk","Ingredient, Unique"
"TR_m1_Q59_PR_disease_meat","Diseased Rat Meat","Ingredient, Creature, Meat, Rat"
"TR_m1_q67_Fa1_Seeds","Desert Siren Seeds","Ingredient, Plant, Seeds"
"TR_m1_Q_BlackRose_Stationary","Black Rose Offering","Ingredient, Plant, Flower"
"TR_m1_Q_Ingred_BlackRose","Black Rose Offering","Ingredient, Plant, Flower"
"TR_m1_Q_Ingred_NobleSedge","Noble Sedge Flowers Offering","Ingredient, Plant, Flower"
"TR_m1_Q_Ingred_Topaz","Topaz Offering","Ingredient, Mineral, Gem"
"TR_m1_Q_NobleSedge_Stationary","Noble Sedge Flowers Offering","Ingredient, Plant, Flower"
"TR_m1_Q_Topaz_Stationary","Topaz Offering","Ingredient, Mineral, Gem"
"TR_m2_aztear_i2-383-ind","Azura's Tear","Ingredient"
"TR_m2_meteor_i2-383-ind","Meteor Fragment","Ingredient, Mineral"
"TR_m2_q_22_Dust","Ancient Dust","Ingredient, Mineral, Dust"
"TR_m2_q_29_4_silk","Daedra Silk","Ingredient, Creature, Silk"
"TR_m2_q_38_ashbonemeal","Contaminated Bonemeal","Ingredient, Mineral, Bonemeal"
"TR_m2_q_38_ectoplasm","Ectoplasm","Ingredient, Creature, Ectoplasm"
"TR_m2_q_38_purebonemeal","Bonemeal","Ingredient, Mineral, Bonemeal"
"TR_m2_q_9_BGPetals","Bittergreen Petals","Ingredient, Plant, Petals"
"TR_m2_q_9_Eyestar_uni","Star's Eye","Ingredient, Creature, Eye, Unique"
"TR_m3_i3_413_white clay","White Clay","Ingredient, Mineral, Clay"
"TR_m3_nelyn_cursed_pearl","Pearl","Ingredient, Mineral, Gem"
"TR_m3_OE_q_HorseMeat","Horse Meat","Ingredient, Creature, Meat, Horse"
"TR_m3_OE_RatMeatPoison","Poisoned Rat Meat","Ingredient, Creature, Meat, Rat"
"TR_m3_OE_TG_Vomit","Vomit","Ingredient"
"TR_m3_q_14_fish","Delamus' Stinky Fish Meat","Ingredient, Creature, Meat"
"TR_m3_q_A5_SmuggledEbony","Raw Ebony","Ingredient, Mineral, Ore"
"TR_m3_q_A9_rewardemerald","Emerald","Ingredient, Mineral, Gem"
"TR_m3_q_kwamasmuggle","Large Kwama Egg","Ingredient, Creature, Egg, Kwama"
"TR_m3_q_OE_MG_Dae_Gems","<Cursed Gem Spawn Point>","Ingredient"
"TR_m3_q_OE_MG_Dae_Sapphire","<Cursed Gem Spawn Point>","Ingredient"
"TR_m3_TT_Dis_marshrootincense","Marsh Root Incense","Ingredient, Plant, Root"
"TR_m3_TT_JalorPowder","Suspicious Powder","Ingredient, Mineral, Powder"
"TR_m3_TT_JalorPowder02","Suspicious Powder","Ingredient, Mineral, Powder"
"TR_m4_AA_SehutuHeart","Bel-Betu's Heart","Ingredient, Creature, Heart"
"TR_m4_AA_Tomb_2_Emerald","Emerald","Ingredient, Mineral, Gem"
"TR_m4_ing_rotten_guar_meat","Rotten Guar Meat","Ingredient, Creature, Meat, Guar"
"TR_m4_menaan_int_8_biscuit","Complimentary Biscuit","Ingredient, Food, Pastry"
"TR_m4_q_AG_gift","Heirloom of the Lost Tribe","Ingredient"
"TR_m4_TJ_MoonshadowRose","Moonshadow Rose","Ingredient, Plant, Flower"
"TR_m4_TT_SpawnBittergreen","Bittergreen Petals","Ingredient, Plant, Petals"
"TR_m4_TT_SpawnHackleLo","Hackle-Lo Leaf","Ingredient, Plant, Leaf"
"TR_m7_AHPicnicBread_01","Bread","Ingredient, Food, Bread"
"TR_m7_AHPicnicBread_02","Bread","Ingredient, Food, Bread"
"TR_m7_AHPicnicCabbage","Cabbage Leaf","Ingredient, Food, Vegetable"
"TR_m7_AHPicnicCrabMeat","Crab Meat","Ingredient, Creature, Meat, Crab"
"TR_m7_Dradivas_Stone","Healing Stone","Ingredient, Mineral"
"TR_m7_Kalk_Evenfall_Sapphire","Evenfall","Ingredient"
"TR_m7_Kalk_Orc_Flesh","Orc Flesh","Ingredient, Creature, Flesh"
"TR_m7_Ns_JNS_3_TombAD","Ashdew","Ingredient"
"TR_m7_Ns_MG_Hemlock_01","Hemlock Seeds","Ingredient, Plant, Seeds"
"TR_m7_NVA8_boar_leather","Bristleback Leather","Ingredient, Creature, Leather, Bristleback"
"TR_m7_NVA8_IngCrea_GoatPelt_01","Goat Fur","Ingredient, Creature, Fur, Goat"
"TR_m7_NVA8_ingred_bear_pelt","Bear Pelt","Ingredient, Creature, Pelt, Bear"
