"id","name","tags"
"TR_FM_LighthouseFire","",""
"TR_FM_MineFire","",""
"TR_i2_445_GreenLight","",""
"TR_i2_445_GreenLightSmall","",""
"TR_i2_445_MachBlueLight","",""
"TR_i2_445_MainBlueLight","",""
"TR_i2_445_NicheBlue","",""
"TR_i2_445_NicheLight","",""
"TR_i2_445_templelight","",""
"tr_light_m2-56-ghostlight","",""
"TR_light_m2-68_small","",""
"TR_light_m4-358_green","",""
"TR_light_m4-506_candle_03_off","Candle",""
"TR_light_m4-506_candle_10_off","Candle",""
"TR_light_TR_i3-153_candle","",""
"TR_M1_aqua_128_01_i1-46-Tel","",""
"TR_m1_BO_fire_small","",""
"TR_m1_bthalight1","",""
"TR_m1_bthalight2","",""
"TR_m1_bthalight3","",""
"TR_m1_bthalight4","",""
"TR_m1_bthalight5","",""
"TR_m1_bthalight6","",""
"TR_m1_de_lantern_05_sar","",""
"TR_m1_FW_lighthouse_fire","",""
"TR_m1_FW_TG2_Candlestick","Friela Antoni's Candlestick",""
"TR_m1_l_i2_brazier256o","",""
"TR_m1_l_i2_brazierbrk","",""
"TR_m1_l_i2_eyes","",""
"TR_m1_light_GF_A_i63","",""
"TR_m1_light_GF_B_i63","",""
"TR_m1_lud_dwrv_invis","",""
"TR_m1_lud_light_manky","",""
"TR_m1_lud_light_scriptholder","",""
"TR_m1_lud_scriptholder1","",""
"TR_M1_orange_32_01_d_i1-46-Tel","",""
"TR_M1_orange_64_01_d_i1-46-Tel","",""
"TR_m1_Q_rgirthswitchlight","",""
"TR_m2_bloatspore_128","",""
"TR_m2_bloatspore_512","",""
"TR_m2_blue_water","",""
"TR_m2_dwrv_Bulb256","",""
"TR_m2_dwrv_FillerLight","",""
"TR_m2_dwrv_Neon256","",""
"TR_m2_i360_light_red Censer","",""
"TR_M2_Kaishi_Lantern","Kaishi's Lantern",""
"TR_m2_kmlz_Amb","",""
"TR_m2_kmlz_Azm_Light1Off","",""
"TR_m2_kmlz_Azm_Light1On","",""
"TR_m2_kmlz_Azm_Light2Off","",""
"TR_m2_kmlz_Azm_Light2On","",""
"TR_m2_kmlz_ChefB_Light","",""
"TR_m2_kmlz_HoR_LightOff","",""
"TR_m2_kmlz_HoR_LightOn","",""
"TR_m2_kmlz_King_LightOn1","",""
"TR_m2_kmlz_King_LightOn2","",""
"TR_m2_kmlz_Lzi_Fake","",""
"TR_m2_kmlz_VoH_LightOff","",""
"TR_m2_kmlz_VoH_LightOn","",""
