"id","name","tags"
"TR_AldIuval_AbndBarrack_key","Key to Barracks","MiscItem, Key"
"TR_AldIuval_AbndTavern_key","Tavern Key","MiscItem, Key"
"TR_Armun_i03_Bazak_key","Key to Bazak","MiscItem, Key"
"TR_i-238_KEY_01","Thelaro Chapels Key","MiscItem, Key"
"TR_i-238_KEY_02","Thelaro Family Tombs Key","MiscItem, Key"
"TR_i-238_KEY_03","Thelaro Maintenance Key","MiscItem, Key"
"TR_i2-342-Ind_Key","Marisanibal Key","MiscItem, Key"
"TR_i2-342-Ind_Slave Key","Marisanibal Slave Key","MiscItem, Key"
"TR_i2-66_key_DD08","Akamora Jail Key","MiscItem, Key"
"TR_i2_445_DummyKeyA","Necrom Temple Key 'A'","MiscItem, Key"
"TR_i2_445_DummyKeyS","Necrom Temple Key 'S'","MiscItem, Key"
"TR_i2_445_DummyKeyV","Necrom Temple Key 'V'","MiscItem, Key"
"TR_i2_445_key_A","Ornate Key Marked 'A'","MiscItem, Key"
"TR_i2_445_key_S","Ornate Key Marked 'S'","MiscItem, Key"
"TR_i2_445_key_V","Ornate Key Marked 'V'","MiscItem, Key"
"TR_i2_445_schematic","Dwemer Schematic","MiscItem, Clutter, Dwemer"
"TR_i2_445_SealingSkull","Dolesi Rothalor's Skull","MiscItem, Bone"
"TR_i2_key_i340_slaves","Berantus Slave Key","MiscItem, Key"
"TR_i3-276_key-lower","Iron Key","MiscItem, Key, Iron"
"TR_i3-276_key-upper","Iron Key","MiscItem, Key, Iron"
"TR_i3-279-room","Silver Key","MiscItem, Key, Silver"
"TR_i3-283_key_vault","Long Silver Key","MiscItem, Key, Silver"
"TR_i3-287_chests","Iron Key","MiscItem, Key, Iron"
"TR_i3-287_Door","Silver Key","MiscItem, Key, Silver"
"TR_i3-287_Door2","Ornate Steel Key","MiscItem, Key, Steel"
"TR_i3-287_key_wall","Corroded Key","MiscItem, Key"
"TR_i3-591_RaathimLichgateKey","Ancient Key","MiscItem, Key"
"TR_i3-702_key_small_chest","Small Key","MiscItem, Key"
"TR_i3-721-cellar","Nickel Key","MiscItem, Key"
"TR_i3-721-CHESTS","Bronze Key","MiscItem, Key, Bronze"
"TR_i3-721-treasure","Ornate Copper Key","MiscItem, Key"
"TR_i3-743_VereKey","Veremmu Gate Key","MiscItem, Key"
"TR_i3-743_VereKey2","Veremmu Minor Chest Key","MiscItem, Key"
"TR_i3-743_VereKey3","Veremmu Major Chest Key","MiscItem, Key"
"TR_i3-762_Key_Chest","Worn Iron Key","MiscItem, Key, Iron"
"TR_i3-762_Key_Door","Old Door Key","MiscItem, Key"
"TR_i3-775-Imp_key","Bronze Key","MiscItem, Key, Bronze"
"TR_i3-789-Ind_Key","Vhul Tradehouse Key","MiscItem, Key"
"TR_i4-292_slavekey","Slave Key","MiscItem, Key"
"TR_key_divayth01","Divayth's 567th Key","MiscItem, Key"
