"id","name","tags"
"TR_Aug_m2_pilgrim_staff","Pilgrim's staff","Weapon, Blunt, Staff"
"TR_FM_Wp_Decay","Decay","Weapon"
"TR_FM_Wp_Eclipse","Eclipse","Weapon"
"TR_FM_Wp_StaffDraconicEvasion","Staff of Draconic Evasion","Weapon, Blunt, Staff"
"TR_i2-307_Staff_Fire","Dwarven Staff Of Fire","Weapon, Blunt, Staff, Dwemer"
"TR_i2-410_silver longsword_brok","Silver Longsword","Weapon, Long Blade, Longsword, Silver"
"TR_i2_313_axe Silversling","Silversling","Weapon"
"TR_i2_445_Muatra_dummy","Muatra","Weapon"
"TR_i3-217_Knife","Knife","Weapon, Short Blade, Knife"
"TR_i3-476-Ind_staff","Dalen-Zanchu Staff","Weapon, Blunt, Staff"
"tr_i4-507_w_hla_club","Utu-Ihha's Dreugh Club","Weapon, Blunt, Club, Dreugh"
"TR_i4-517_rathal_staff","Giron Rathal's Staff","Weapon, Blunt, Staff"
"TR_m1_Adadpaliki_Vhammer","Steel Viper Longhammer","Weapon, Blunt, Hammer, Steel"
"tr_m1_bthal_oathrung_dummy","Oathrung","Weapon"
"TR_m1_CS_Flamespear","Glass Flamespear","Weapon, Spear, Glass"
"TR_m1_dae_naginata_curse_i62","Daedric Naginata","Weapon, Daedric"
"TR_m1_FW_IC5_StaffHomecoming","Silver Staff of Homecoming","Weapon, Blunt, Staff, Silver"
"TR_m1_FW_IC6_DivineLightRod","Rod of Divine Light","Weapon, Blunt, Rod"
"TR_m1_FW_IC_TaldeusSword","Sword of Taldeus","Weapon, Long Blade, Sword"
"TR_m1_FW_MG09_Witherbrand","Witherbrand","Weapon"
"TR_m1_FW_QueensCutlassUNI","Cutlass of Queen Barenziah","Weapon, Long Blade, Cutlass"
"TR_m1_FW_TG3_HronDagger","Hrongal's Nordic Dagger","Weapon, Short Blade, Dagger, Nordic"
"TR_m1_GalanBrandtScimitar","Brandt's Adamantium Scimitar","Weapon, Long Blade, Scimitar, Adamantium"
"TR_m1_IC_Warhammer","Warhammer of Empire Everlasting","Weapon, Blunt, Warhammer"
"TR_m1_IL_reflectkatana","Ebony Mirror-Blade","Weapon, Blade, Ebony"
"TR_m1_IL_Thromilspear","Ebony Bardiche of Corruption","Weapon, Ebony"
"TR_m1_IL_Vyciusspear","Dwarven Longspear of Extraction","Weapon, Spear, Dwemer"
"TR_m1_Niv_q_LishAxe","Lish gro-Garrok's Axe","Weapon, Axe"
"TR_m1_Q50_G05_Dagger","Dull Chitin Dagger","Weapon, Short Blade, Dagger, Chitin"
"TR_m1_Q50_GO5_Fake_axe_uni","Axe of Boethiah's Cleaving","Weapon, Axe, Unique"
"TR_m1_Q50_GO5_Real_axe_uni","Axe of Boethiah's Cleaving","Weapon, Axe, Unique"
"TR_m1_q_AttackPiece6","Dwarven Shortsword","Weapon, Short Blade, Shortsword, Dwemer"
