"id","name","tags"
"T_Bre_Drink_AperitifBevonche_01","Bevonche",""
"T_Bre_Drink_Beer_01","Beer",""
"T_Bre_Drink_BrandyChallegoux_01","Challegoux",""
"T_Bre_Drink_CiderPommon_01","Pommon",""
"T_Bre_Drink_DigestifEillevon_01","Eillevon",""
"T_Bre_Drink_Duxpom","Duxpomme",""
"T_Bre_Drink_Jinevere","Jinevere",""
"T_Bre_Drink_LiquorBreque_01","Breque na'Brac",""
"T_Bre_Drink_WineBalfiera_01","Balfiera Pearlwine",""
"T_Bre_Drink_WineHeartplum_01","Heartplum Wine",""
"T_Bre_Drink_WineMarivon_01","Marivon Heartwine",""
"T_Bre_Drink_WineWayrest_01","Wayrest Spiced Wine",""
"T_Cnq_Ngopta","Ngopta",""
"T_Com_Poison_Blind_B","Bargain Potion of Blindness",""
"T_Com_Poison_Blind_C","Cheap Potion of Blindness",""
"T_Com_Poison_Blind_E","Exclusive Potion of Blindness",""
"T_Com_Poison_Blind_Q","Quality Potion of Blindness",""
"T_Com_Poison_Blind_S","Standard Potion of Blindness",""
"T_Com_Poison_DamageAgl_B","Bargain Damage Agility Potion",""
"T_Com_Poison_DamageAgl_C","Cheap Damage Agility Potion",""
"T_Com_Poison_DamageAgl_E","Exclusive Damage Agility Potion",""
"T_Com_Poison_DamageAgl_Q","Quality Damage Agility Potion",""
"T_Com_Poison_DamageAgl_S","Standard Damage Agility Potion",""
"T_Com_Poison_DamageEnd_B","Bargain Damage Endurance",""
"T_Com_Poison_DamageEnd_C","Cheap Damage Endurance",""
"T_Com_Poison_DamageEnd_E","Exclusive Damage Endurance",""
"T_Com_Poison_DamageEnd_Q","Quality Damage Endurance",""
"T_Com_Poison_DamageEnd_S","Standard Damage Endurance",""
"T_Com_Poison_DamageFatigue_B","Bargain Damage Fatigue Potion",""
"T_Com_Poison_DamageFatigue_C","Cheap Damage Fatigue Potion",""
"T_Com_Poison_DamageFatigue_E","Exclusive Damage Fatigue Potion",""
"T_Com_Poison_DamageFatigue_Q","Quality Damage Fatigue Potion",""
"T_Com_Poison_DamageFatigue_S","Standard Damage Fatigue Potion",""
"T_Com_Poison_DamageHealth_B","Bargain Damage Health Potion",""
"T_Com_Poison_DamageHealth_C","Cheap Damage Health Potion",""
"T_Com_Poison_DamageHealth_E","Exclusive Damage Health Potion",""
"T_Com_Poison_DamageHealth_Q","Quality Damage Health Potion",""
"T_Com_Poison_DamageHealth_S","Standard Damage Health Potion",""
"T_Com_Poison_DamageInt_B","Bargain Damage Intelligence",""
"T_Com_Poison_DamageInt_C","Cheap Damage Intelligence",""
"T_Com_Poison_DamageInt_E","Exclusive Damage Intelligence",""
"T_Com_Poison_DamageInt_Q","Quality Damage Intelligence",""
"T_Com_Poison_DamageInt_S","Standard Damage Intelligence",""
"T_Com_Poison_DamageLuck_B","Bargain Damage Luck",""
"T_Com_Poison_DamageLuck_C","Cheap Damage Luck",""
"T_Com_Poison_DamageLuck_E","Exclusive Damage Luck",""
"T_Com_Poison_DamageLuck_Q","Quality Damage Luck",""
"T_Com_Poison_DamageLuck_S","Standard Damage Luck",""
"T_Com_Poison_DamageMagicka_B","Bargain Damage Magicka Potion",""
"T_Com_Poison_DamageMagicka_C","Cheap Damage Magicka Potion",""
"T_Com_Poison_DamageMagicka_E","Exclusive Damage Magicka Potion",""
"T_Com_Poison_DamageMagicka_Q","Quality Damage Magicka Potion",""
"T_Com_Poison_DamageMagicka_S","Standard Damage Magicka Potion",""
"T_Com_Poison_DamagePerson_B","Bargain Damage Personality",""
"T_Com_Poison_DamagePerson_C","Cheap Damage Personality",""
"T_Com_Poison_DamagePerson_E","Exclusive Damage Personality",""
"T_Com_Poison_DamagePerson_Q","Quality Damage Personality",""
