"id","name","tags"
"TR_Real_Chest_Minerals","Chest [Final Listing]",""
"T_Arg_WoodenPot_02","Wooden Pot",""
"T_Arg_WoodenPot_02_pos","Wooden Pot",""
"T_Bkm_Flora_SomnFern01","Somnalius",""
"T_CathKep_Furn_Urn_01","Urn",""
"T_CathKep_Furn_Urn_02","Urn",""
"T_CathKep_Furn_Urn_03","Urn",""
"T_Cnq_Flora_DriftPuf_01","<Depreciated>",""
"T_Cnq_Flora_DriftPuf_02","<Depreciated>",""
"T_Cnq_Flora_DriftPuf_03","<Depreciated>",""
"T_Cnq_Flora_DriftPuf_04","<Depreciated>",""
"T_Cnq_Flora_DriftPuf_05","<Depreciated>",""
"T_CyrAyl_DngRuin_Ch1Coi","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch1Emp","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch1Pos","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch2Coi","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch2Emp","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch2Pos","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch3Arw","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch3Emp","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch3Pos","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch3Scr","Ayleid Reliquary",""
"T_CyrAyl_DngRuin_Ch4Arm","Ayleid Chest",""
"T_CyrAyl_DngRuin_Ch4Emp","Ayleid Chest",""
"T_CyrAyl_DngRuin_Ch4Pos","Ayleid Chest",""
"T_CyrAyl_DngRuin_Ch4Wpn","Ayleid Chest",""
"T_CyrCom_FurnM_Dw1Empty","<Deprecated>",""
"T_CyrCom_FurnM_Dw2Empty","<Deprecated>",""
"T_CyrCom_FurnM_Dw3Empty","<Deprecated>",""
"T_CyrCom_FurnM_Dw4Empty","<Deprecated>",""
"T_CyrCom_Furn_Ch1ArmFur","Chest",""
"T_CyrCom_Furn_Ch1ArmIron","Chest",""
"T_CyrCom_Furn_Ch1ArmLeat","Chest",""
"T_CyrCom_Furn_Ch1ArmLgn1","Chest",""
"T_CyrCom_Furn_Ch1ArmNewt","Chest",""
"T_CyrCom_Furn_Ch1ArmNor","Chest",""
"T_CyrCom_Furn_Ch1ArmNvy","Chest",""
"T_CyrCom_Furn_Ch1Ayl","Chest",""
"T_CyrCom_Furn_Ch1BandGC","Chest",""
"T_CyrCom_Furn_Ch1BkCol","Chest",""
"T_CyrCom_Furn_Ch1BkCult","Chest",""
"T_CyrCom_Furn_Ch1BkNib","Chest",""
"T_CyrCom_Furn_Ch1BkWiz","Chest",""
"T_CyrCom_Furn_Ch1BkWizEv","Chest",""
"T_CyrCom_Furn_Ch1CltCmGC","Chest",""
"T_CyrCom_Furn_Ch1Dragnsc","Chest",""
"T_CyrCom_Furn_Ch1DriCol","Chest",""
"T_CyrCom_Furn_Ch1DriNib","Chest",""
"T_CyrCom_Furn_Ch1Dwe","Chest",""
"T_CyrCom_Furn_Ch1Empt","Chest",""
"T_CyrCom_Furn_Ch1G025","Chest",""
"T_CyrCom_Furn_Ch1G080","Chest",""
"T_CyrCom_Furn_Ch1Missile","Chest",""
"T_CyrCom_Furn_Ch1MscGC","Chest",""
"T_CyrCom_Furn_Ch1Potion","Chest",""
"T_CyrCom_Furn_Ch1Repair","Chest",""
"T_CyrCom_Furn_Ch1Scrolls","Chest",""
"T_CyrCom_Furn_Ch1Skooma","Chest",""
"T_CyrCom_Furn_Ch1Smith","Chest",""
"T_CyrCom_Furn_Ch1Smug","Chest",""
"T_CyrCom_Furn_Ch1Soulgem","Chest",""
"T_CyrCom_Furn_Ch1Thief","Chest",""
"T_CyrCom_Furn_Ch1Wiz","Chest",""
"T_CyrCom_Furn_Ch1WizEvil","Chest",""
"T_CyrCom_Furn_Ch1WpnDunm","Chest",""
"T_CyrCom_Furn_Ch1WpnIron","Chest",""
"T_CyrCom_Furn_Ch1WpnLgn","Chest",""
"T_CyrCom_Furn_Ch1WpnNor","Chest",""
"T_CyrCom_Furn_Ch1WpnRga","Chest",""
"T_CyrCom_Furn_Ch2BandGC","Wooden Chest",""
"T_CyrCom_Furn_Ch2CltCmGC","Wooden Chest",""
"T_CyrCom_Furn_Ch2DriCol","Wooden Chest",""
"T_CyrCom_Furn_Ch2Empty","Wooden Chest",""
"T_CyrCom_Furn_Ch2FGuild","Fighters' Guild Equipment Chest",""
"T_CyrCom_Furn_Ch2G010","Wooden Chest",""
"T_CyrCom_Furn_Ch2MGuild","Mages' Guild Supply Chest",""
"T_CyrCom_Furn_Ch2Miner","Wooden Chest",""
"T_CyrCom_Furn_Ch2MscGC","Wooden Chest",""
"T_CyrCom_Furn_Ch2OreAdam","Wooden Chest",""
"T_CyrCom_Furn_Ch2OreIron","Wooden Chest",""
"T_CyrCom_Furn_Ch2OreSilv","Wooden Chest",""
"T_CyrCom_Furn_Ch2Pelts","Wooden Chest",""
"T_CyrCom_Furn_Ch2Repair","Wooden Chest",""
"T_CyrCom_Furn_Ch2Sailor","Wooden Chest",""
"T_CyrCom_Furn_Ch2Skooma","Wooden Chest",""
"T_CyrCom_Furn_Ch2Smith","Wooden Chest",""
"T_CyrCom_Furn_Ch2Smug","Wooden Chest",""
"T_CyrCom_Furn_Ch2Tools","Wooden Chest",""
"T_CyrCom_Furn_Ch3Apparat","Chest",""
"T_CyrCom_Furn_Ch3ArmAdam","Chest",""
"T_CyrCom_Furn_Ch3ArmBron","Chest",""
"T_CyrCom_Furn_Ch3ArmDrag","Chest",""
"T_CyrCom_Furn_Ch3ArmLgn1","Chest",""
"T_CyrCom_Furn_Ch3ArmNor","Chest",""
"T_CyrCom_Furn_Ch3ArmNvy","Chest",""
"T_CyrCom_Furn_Ch3ArmOrc","Chest",""
"T_CyrCom_Furn_Ch3ArmStl","Chest",""
"T_CyrCom_Furn_Ch3BkCol","Chest",""
"T_CyrCom_Furn_Ch3BkCult","Chest",""
"T_CyrCom_Furn_Ch3BkNib","Chest",""
"T_CyrCom_Furn_Ch3BkSchol","Chest",""
"T_CyrCom_Furn_Ch3BkWiz","Chest",""
"T_CyrCom_Furn_Ch3BkWizEv","Chest",""
"T_CyrCom_Furn_Ch3CltEpGC","Chest",""
"T_CyrCom_Furn_Ch3Empty","Chest",""
"T_CyrCom_Furn_Ch3G150","Chest",""
"T_CyrCom_Furn_Ch3G500","Chest",""
"T_CyrCom_Furn_Ch3Jewel","Chest",""
"T_CyrCom_Furn_Ch3Potion","Chest",""
"T_CyrCom_Furn_Ch3Scroll","Chest",""
"T_CyrCom_Furn_Ch3SilvWar","Chest",""
"T_CyrCom_Furn_Ch3Wiz","Chest",""
"T_CyrCom_Furn_Ch3WizEvil","Chest",""
"T_CyrCom_Furn_Ch3WpnAdam","Chest",""
"T_CyrCom_Furn_Ch3WpnAka","Chest",""
"T_CyrCom_Furn_Ch3WpnLgn","Chest",""
"T_CyrCom_Furn_Ch3WpnNor","Chest",""
"T_CyrCom_Furn_Ch3WpnOrc","Chest",""
"T_CyrCom_Furn_Ch3WpnSilv","Chest",""
"T_CyrCom_Furn_Ch3WpnStl","Chest",""
"T_CyrCom_Furn_PotFish1","Pot",""
"T_CyrCom_Furn_PotMeat","Pot",""
"T_CyrCom_Furn_PotRiceS","Pot",""
"T_CyrCom_Furn_PotShrm1","Pot",""
"T_CyrCom_Var_Bl1Arrow","Barrel",""
"T_CyrCom_Var_Bl1Ayl","Barrel",""
"T_CyrCom_Var_Bl1BandGC1","Barrel",""
"T_CyrCom_Var_Bl1BandGC2","Barrel",""
