"id","name","tags"
"T_Glb_UNI_Skyrim_Ice_01","Skyrim Ice",""
"T_IngCrea _GremlinEarWax_01","Gremlin Earwax",""
"T_IngCrea _SnowraySting_01","Snowray Sting",""
"T_IngCrea _StridentBirdEgg_01","Strident Runner Egg",""
"T_IngCrea _StridentBirdFeath_01","Strident Runner Feathers",""
"T_IngCrea_AebisFeathers_01","Aebis Feathers",""
"T_IngCrea_AlphynClaw_01","Alphyn Claw",""
"T_IngCrea_Ambergris","Ambergris",""
"T_IngCrea_Ambergris_float","Ambergris",""
"T_IngCrea_Angelfish_01","Angelfish",""
"T_IngCrea_ArmunHide_01","Armun Kagouti Hide",""
"T_IngCrea_AspisGland","Aspis Venom Gland",""
"T_IngCrea_AstralJellyfish_01","Astral Jellyfish",""
"T_IngCrea_AtavisticEye_01","Atavistic Eye",""
"T_IngCrea_BarkHeart_01","Bark Heart",""
"T_IngCrea_BarkScale_01","Bark Scale",""
"T_IngCrea_BarracudaSteak_01","Barracuda Steak",""
"T_IngCrea_BarracudaTailfin_01","Barracuda Tailfin",""
"T_IngCrea_BearpeltBlack_01","Black Bear Pelt",""
"T_IngCrea_BeetleResin_01","Beetle Resin",""
"T_IngCrea_BeetleShell_01","Dust Beetle Shell",""
"T_IngCrea_BeetleShell_02","Crag Beetle Shell",""
"T_IngCrea_BeetleShell_03","Wood Beetle Shell",""
"T_IngCrea_BeetleShell_04","Horned Beetle Shell",""
"T_IngCrea_BezoarStone_01","Bezoar Stone",""
"T_IngCrea_BosmerBeeswax_01","Beeswax",""
"T_IngCrea_ButterflyWingCyr_01","Red Fan Butterfly Wing",""
"T_IngCrea_ButterflyWingCyr_02","Blue Chalk Butterfly Wing",""
"T_IngCrea_ButterflyWingCyr_03","Ocularis Butterfly Wing",""
"T_IngCrea_ButterflyWingCyr_04","Fruitbearer Butterfly Wing",""
"T_IngCrea_ButterflyWingCyr_05","Ephialtic Nightkiss Wing",""
"T_IngCrea_ButterflyWingCyr_06","Drakewing Butterfly Wing",""
"T_IngCrea_ButterflyWingSky_01","Sweetroll Butterfly Wing",""
"T_IngCrea_ButterflyWingSky_02","Scrapling Butterfly Wing",""
"T_IngCrea_ButterflyWingSky_03","Amberwing Butterfly Wing",""
"T_IngCrea_ButterflyWingSky_04","Cloud Flutterling Wing",""
"T_IngCrea_CanahFeather","Canah Feather",""
"T_IngCrea_CaveTrollEar_01","Cave Troll Ear",""
"T_IngCrea_CephalopodShell_01","Cephalopod Shell Fragment",""
"T_IngCrea_CetaceanMelon","Cetacean Melon",""
"T_IngCrea_ClamMeat","Clam Meat",""
"T_IngCrea_DaedricBatEye_01","Daedra Eye",""
"T_IngCrea_DonkeyHide_01","Donkey Hide",""
"T_IngCrea_Dragonscales_01","Dragonscales",""
"T_IngCrea_DridreaSilk_01","Daedra Silk",""
"T_IngCrea_DurzogHide_01","Durzog Hide",""
"T_IngCrea_DuskyParrotfish_01","Dusky Parrotfish",""
"T_IngCrea_DWyrmGland","Danswyrm Venom Gland",""
"T_IngCrea_EmbalmingPaste_01","Embalming Paste",""
"T_IngCrea_EyestarDae_01","Eyestar",""
"T_IngCrea_Eyestar_01","Eyestar",""
"T_IngCrea_FlyMusk_01","Raw Musk",""
"T_IngCrea_FrogEye_01","Frog Eyeball",""
"T_IngCrea_FrostTrollPelt_01","Frost Troll Pelt",""
"T_IngCrea_GoatPelt_01","Goat Fur",""
"T_IngCrea_GoldTanthaBeak_01","Gold Tantha Beak",""
"T_IngCrea_GremlinEarWax_01","Gremlin Earwax",""
"T_IngCrea_HagravenFeathers_01","Hagraven Feathers",""
"T_IngCrea_HirvHide_01","Hirv Hide",""
"T_IngCrea_HoomEgg_01","Hoom Egg",""
"T_IngCrea_HopperAntler_01","Hopper Antler",""
"T_IngCrea_HopperMeat","Sharai Hopper Meat",""
"T_IngCrea_HorkerPupPelt_01","Horker Pup Pelt",""
"T_IngCrea_HorkerPupPelt_02","Horker Pup Pelt",""
"T_IngCrea_HorkerPupPelt_03","Horker Pup Pelt",""
"T_IngCrea_HumanHeart","Human Heart",""
"T_IngCrea_IcewraithTeeth_01","Ice Wraith Teeth",""
"T_IngCrea_IronToadHide","Iron Hide",""
"T_IngCrea_Ivory","Ivory",""
"T_IngCrea_Jadescales_01","Jadescales",""
