"id","name","tags"
"tr_misc_exp_compass","Expensive Compass","MiscItem, Clutter"
"T_Arg_CeramicBottle_01","Ceramic Bottle","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicBottle_02","Ceramic Bottle","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicCup_01","Ceramic Cup","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicCup_02","Ceramic Cup","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicFlask_01","Ceramic Flask","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicFlask_02","Ceramic Flask","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicFlask_03","Ceramic Flask","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicJug_01","Ceramic Jug","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicJug_02","Ceramic Jug","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicPitcher_01","Ceramic Pitcher","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicPitcher_02","Ceramic Pitcher","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicPlate_01","Ceramic Plate","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicPlate_02","Ceramic Plate","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicPot_01","Ceramic Pot","MiscItem, Tableware, Ceramic"
"T_Arg_CeramicPot_02","Ceramic Pot","MiscItem, Tableware, Ceramic"
"T_Arg_WoodenBowl_01","Wooden Bowl","MiscItem, Tableware, Wood"
"T_Arg_WoodenBowl_02","Wooden Bowl","MiscItem, Tableware, Wood"
"T_Arg_WoodenBowl_03","Wooden Bowl","MiscItem, Tableware, Wood"
"T_Arg_WoodenCup_01","Wooden Cup","MiscItem, Tableware, Wood"
"T_Arg_WoodenCup_02","Wooden Cup","MiscItem, Tableware, Wood"
"T_Arg_WoodenCup_03","Wooden Cup","MiscItem, Tableware, Wood"
"T_Arg_WoodenFlask_01","Wooden Flask","MiscItem, Tableware, Wood"
"T_Arg_WoodenFork_01","Wooden Fork","MiscItem, Utensil, Wood"
"T_Arg_WoodenJar_01","Wooden Jar","MiscItem, Clutter, Wood"
"T_Arg_WoodenKettle_01","Wooden Kettle","MiscItem, Tableware, Wood"
