"id","name","tags"
"a_banner_brown","",""
"a_banner_gray","",""
"a_banner_green","",""
"a_banner_red","",""
"a_banner_tan","",""
"a_bedroll_01","Bedroll",""
"a_bugbowl_a","",""
"a_bugbowl_e","",""
"a_bugbowl_u","",""
"a_bugbowl_z","",""
"a_cooking_grille","",""
"a_cooking_ladle","",""
"a_cooking_pot","Cooking Pot",""
"a_fire_coals","",""
"a_fire_cooking","Cookfire",""
"a_fire_doused","Fire Pit",""
"a_log_04","",""
"a_player_locator","",""
"a_table_01","Worktable",""
"a_table_02","",""
"a_table_03","",""
"a_water_jug","Water Keg",""
"a_yurt_door_01_ext","Door",""
"a_yurt_door_01_ext_n","Door",""
"a_yurt_door_01_int","Door",""
"a_yurt_door_01_int_d","Door",""
"a_yurt_door_locator","",""
"a_yurt_ext_01","Yurt",""
"a_yurt_ext_01_n","Yurt",""
"a_yurt_ext_smoke","",""
"a_yurt_int_01","",""
"a_yurt_int_01_d","",""
"a_yurt_smoke_locator","",""
"a_yurt_weather_sound","",""
